source,group,n,weighted,mean_pinc,median_pinc,mean_wag,bin,collapse,n_bin,share,mean_pinc_bin,median_pinc_bin,mean_wag_bin
acs2023_employed_25_64,us_born_nh_white,771130,73195165.000000,85313.246335,61171.080000,77156.049964,software,it_broad,9122,0.012080,152532.103507,131517.822000,144869.505976
acs2023_employed_25_64,us_born_nh_white,771130,73195165.000000,85313.246335,61171.080000,77156.049964,other_computer,it_broad,17564,0.023312,101234.180207,86659.030000,95443.139532
acs2023_employed_25_64,us_born_nh_white,771130,73195165.000000,85313.246335,61171.080000,77156.049964,cis_manager,it_broad,3958,0.004978,151926.369642,129478.786000,146976.272741
acs2023_employed_25_64,us_born_nh_white,771130,73195165.000000,85313.246335,61171.080000,77156.049964,computer_hardware,it_broad,258,0.000294,156536.520868,132537.340000,146298.289543
acs2023_employed_25_64,us_born_nh_white,771130,73195165.000000,85313.246335,61171.080000,77156.049964,math,other_stem,3585,0.004665,119280.807611,99912.764000,113761.416194
acs2023_employed_25_64,us_born_nh_white,771130,73195165.000000,85313.246335,61171.080000,77156.049964,physician,physician,5101,0.006400,299485.275788,251820.946000,274926.756752
acs2023_employed_25_64,us_born_nh_white,771130,73195165.000000,85313.246335,61171.080000,77156.049964,other_healthcare,other_healthcare,53781,0.069620,85736.289807,71366.260000,79837.693080
acs2023_employed_25_64,us_born_nh_white,771130,73195165.000000,85313.246335,61171.080000,77156.049964,other_engineer,other_engineer,20160,0.026001,113231.786804,98893.246000,105852.967992
acs2023_employed_25_64,us_born_nh_white,771130,73195165.000000,85313.246335,61171.080000,77156.049964,other_manager,other_manager,111514,0.144396,128235.826938,91777.010360,115402.335830
acs2023_employed_25_64,us_born_nh_white,771130,73195165.000000,85313.246335,61171.080000,77156.049964,rest,rest,546087,0.708255,71168.731062,53014.936000,63737.159575
acs2023_employed_25_64,us_born_nh_white,771130,73195165.000000,85313.246335,61171.080000,77156.049964,unknown,unknown,0,0.000000,,,
acs2023_employed_25_64,us_born_nh_white,771130,73195165.000000,85313.246335,61171.080000,77156.049964,not_it,not_it,740228,0.959337,83712.530911,61171.080000,75475.604480
acs2023_employed_25_64,us_born_nh_white,771130,73195165.000000,85313.246335,61171.080000,77156.049964,not_it_not_md,not_it_not_md,735127,0.952937,82263.471441,61171.080000,74136.155509
acs2023_employed_25_64,us_born_nh_white,771130,73195165.000000,85313.246335,61171.080000,77156.049964,not_it_not_md_not_eng,not_it_not_md_not_eng,714967,0.926936,81394.798672,61171.080000,73246.487118
acs2023_employed_25_64,india_born,17232,1826062.000000,133369.374625,108068.908000,126683.760277,software,it_broad,3099,0.193136,162173.487421,142732.520000,157986.361288
acs2023_employed_25_64,india_born,17232,1826062.000000,133369.374625,108068.908000,126683.760277,other_computer,it_broad,1698,0.100871,134299.118756,122342.160000,129965.626933
acs2023_employed_25_64,india_born,17232,1826062.000000,133369.374625,108068.908000,126683.760277,cis_manager,it_broad,451,0.026330,185837.528146,163122.880000,181684.524117
acs2023_employed_25_64,india_born,17232,1826062.000000,133369.374625,108068.908000,126683.760277,computer_hardware,it_broad,68,0.004500,164201.726802,153029.651800,161832.267971
acs2023_employed_25_64,india_born,17232,1826062.000000,133369.374625,108068.908000,126683.760277,math,other_stem,286,0.016881,134534.996634,122342.160000,132893.451932
acs2023_employed_25_64,india_born,17232,1826062.000000,133369.374625,108068.908000,126683.760277,physician,physician,481,0.024972,300309.631005,254879.500000,276355.113212
acs2023_employed_25_64,india_born,17232,1826062.000000,133369.374625,108068.908000,126683.760277,other_healthcare,other_healthcare,1003,0.056339,111829.391888,94815.174000,104057.537042
acs2023_employed_25_64,india_born,17232,1826062.000000,133369.374625,108068.908000,126683.760277,other_engineer,other_engineer,1147,0.069687,144981.231578,125910.473000,140822.123708
acs2023_employed_25_64,india_born,17232,1826062.000000,133369.374625,108068.908000,126683.760277,other_manager,other_manager,2336,0.129780,185668.619822,152927.700000,172203.332079
acs2023_employed_25_64,india_born,17232,1826062.000000,133369.374625,108068.908000,126683.760277,rest,rest,6663,0.377504,86353.492271,60151.562000,80476.272797
acs2023_employed_25_64,india_born,17232,1826062.000000,133369.374625,108068.908000,126683.760277,unknown,unknown,0,0.000000,,,
acs2023_employed_25_64,india_born,17232,1826062.000000,133369.374625,108068.908000,126683.760277,not_it,not_it,11916,0.675163,122739.131402,90737.102000,114859.854074
acs2023_employed_25_64,india_born,17232,1826062.000000,133369.374625,108068.908000,126683.760277,not_it_not_md,not_it_not_md,11435,0.650191,115919.212425,86659.030000,108657.334033
acs2023_employed_25_64,india_born,17232,1826062.000000,133369.374625,108068.908000,126683.760277,not_it_not_md_not_eng,not_it_not_md_not_eng,10288,0.580504,112430.435512,81561.440000,104796.082169
acs2023_employed_25_64,india_born_recent_noncit,2625,315055.000000,101460.379995,91756.620000,100223.977342,software,it_broad,632,0.261021,125933.744159,119283.606000,125096.544655
acs2023_employed_25_64,india_born_recent_noncit,2625,315055.000000,101460.379995,91756.620000,100223.977342,other_computer,it_broad,244,0.096904,103968.525153,101951.800000,103612.375424
acs2023_employed_25_64,india_born_recent_noncit,2625,315055.000000,101460.379995,91756.620000,100223.977342,cis_manager,it_broad,42,0.019993,118629.536404,120303.124000,117429.083497
acs2023_employed_25_64,india_born_recent_noncit,2625,315055.000000,101460.379995,91756.620000,100223.977342,computer_hardware,it_broad,12,0.004891,108738.825934,96507.573880,106333.411817
acs2023_employed_25_64,india_born_recent_noncit,2625,315055.000000,101460.379995,91756.620000,100223.977342,math,other_stem,66,0.025754,104171.255756,96854.210000,103532.165984
acs2023_employed_25_64,india_born_recent_noncit,2625,315055.000000,101460.379995,91756.620000,100223.977342,physician,physician,46,0.015150,198972.063487,79522.404000,195167.742643
acs2023_employed_25_64,india_born_recent_noncit,2625,315055.000000,101460.379995,91756.620000,100223.977342,other_healthcare,other_healthcare,94,0.038701,96105.980949,76463.850000,95178.740490
acs2023_employed_25_64,india_born_recent_noncit,2625,315055.000000,101460.379995,91756.620000,100223.977342,other_engineer,other_engineer,193,0.081471,115277.937731,98077.631600,114921.933389
acs2023_employed_25_64,india_born_recent_noncit,2625,315055.000000,101460.379995,91756.620000,100223.977342,other_manager,other_manager,285,0.104629,127723.178416,117244.570000,124311.647701
acs2023_employed_25_64,india_born_recent_noncit,2625,315055.000000,101460.379995,91756.620000,100223.977342,rest,rest,1011,0.351485,66683.756723,45878.310000,65398.728291
acs2023_employed_25_64,india_born_recent_noncit,2625,315055.000000,101460.379995,91756.620000,100223.977342,unknown,unknown,0,0.000000,,,
acs2023_employed_25_64,india_born_recent_noncit,2625,315055.000000,101460.379995,91756.620000,100223.977342,not_it,not_it,1695,0.617191,90102.492587,71366.260000,88567.152976
acs2023_employed_25_64,india_born_recent_noncit,2625,315055.000000,101460.379995,91756.620000,100223.977342,not_it_not_md,not_it_not_md,1649,0.602041,87362.902645,71366.260000,85884.659596
acs2023_employed_25_64,india_born_recent_noncit,2625,315055.000000,101460.379995,91756.620000,100223.977342,not_it_not_md_not_eng,not_it_not_md_not_eng,1456,0.520569,82994.072340,61171.080000,81340.193815
acs2023_employed_25_64,india_born_settled,14607,1511007.000000,140022.612038,112146.980000,132200.800841,software,it_broad,2467,0.178982,173193.227354,150888.664000,167987.459341
acs2023_employed_25_64,india_born_settled,14607,1511007.000000,140022.612038,112146.980000,132200.800841,other_computer,it_broad,1454,0.101698,140325.129863,127439.750000,135201.429053
acs2023_employed_25_64,india_born_settled,14607,1511007.000000,140022.612038,112146.980000,132200.800841,cis_manager,it_broad,409,0.027651,195969.960112,163632.639000,191371.822661
acs2023_employed_25_64,india_born_settled,14607,1511007.000000,140022.612038,112146.980000,132200.800841,computer_hardware,it_broad,56,0.004419,177002.135704,153947.218000,174640.975074
acs2023_employed_25_64,india_born_settled,14607,1511007.000000,140022.612038,112146.980000,132200.800841,math,other_stem,220,0.015030,145383.105193,128459.268000,143383.411607
acs2023_employed_25_64,india_born_settled,14607,1511007.000000,140022.612038,112146.980000,132200.800841,physician,physician,435,0.027020,312156.796111,270172.270000,285846.560531
acs2023_employed_25_64,india_born_settled,14607,1511007.000000,140022.612038,112146.980000,132200.800841,other_healthcare,other_healthcare,909,0.060016,113943.474146,96854.210000,105251.330573
acs2023_employed_25_64,india_born_settled,14607,1511007.000000,140022.612038,112146.980000,132200.800841,other_engineer,other_engineer,954,0.067230,152486.514312,132537.340000,147366.456879
acs2023_employed_25_64,india_born_settled,14607,1511007.000000,140022.612038,112146.980000,132200.800841,other_manager,other_manager,2051,0.135025,195030.865894,152937.895180,179941.192437
acs2023_employed_25_64,india_born_settled,14607,1511007.000000,140022.612038,112146.980000,132200.800841,rest,rest,5652,0.382929,90117.981772,61171.080000,83361.886477
acs2023_employed_25_64,india_born_settled,14607,1511007.000000,140022.612038,112146.980000,132200.800841,unknown,unknown,0,0.000000,,,
acs2023_employed_25_64,india_born_settled,14607,1511007.000000,140022.612038,112146.980000,132200.800841,not_it,not_it,10221,0.687250,128850.376905,93795.656000,119783.190459
acs2023_employed_25_64,india_born_settled,14607,1511007.000000,140022.612038,112146.980000,132200.800841,not_it_not_md,not_it_not_md,9786,0.660231,121348.619032,91756.620000,112987.098979
