group,metric,mean,se_year,white,gap,gap_se_year,n_years
india_g1,earnings,105867.522746,2715.675263,67008.480214,38859.042532,3761.723888,5
india_g1,tax_minus_cash,28638.701967,1118.437064,15608.324944,13030.377023,1478.879636,5
india_g1,ba_share,0.892465,0.008586,0.442763,0.449701,0.009712,5
india_g1,age_std_earnings,105711.067636,3010.548373,67008.480214,38702.587422,3979.833662,5
india_g1,age_std_tax_minus_cash,29068.969926,1306.252753,15608.324944,13460.644982,1625.570597,5
india_g1,age_std_ba,0.864462,0.010261,0.442763,0.421699,0.011220,5
india_g2,earnings,112889.297947,5648.051209,67008.480214,45880.817733,6219.015752,5
india_g2,tax_minus_cash,34745.945607,1851.252626,15608.324944,19137.620663,2088.856098,5
india_g2,ba_share,0.849256,0.016859,0.442763,0.406492,0.017459,5
india_g2,age_std_earnings,114184.909458,7359.580850,67008.480214,47176.429243,7806.350284,5
india_g2,age_std_tax_minus_cash,35450.557994,3090.487437,15608.324944,19842.233049,3238.409503,5
india_g2,age_std_ba,0.814299,0.015739,0.442763,0.371535,0.016380,5
india_g3plus_race,earnings,79395.581641,6372.856993,67008.480214,12387.101427,6883.965480,5
india_g3plus_race,tax_minus_cash,20156.360772,2611.393671,15608.324944,4548.035827,2784.880682,5
india_g3plus_race,ba_share,0.716462,0.040378,0.442763,0.273699,0.040632,5
india_g3plus_race,age_std_earnings,81128.743475,7133.768469,67008.480214,14120.263261,7593.834805,5
india_g3plus_race,age_std_tax_minus_cash,19709.483705,3756.984563,15608.324944,4101.158760,3879.576848,5
india_g3plus_race,age_std_ba,0.704497,0.048095,0.442763,0.261734,0.048309,5
india_g2_diaspora,earnings,80941.067193,9722.747898,67008.480214,13932.586979,10065.162749,5
india_g2_diaspora,tax_minus_cash,20377.913439,2185.923029,15608.324944,4769.588495,2390.490117,5
india_g2_diaspora,ba_share,0.668871,0.070534,0.442763,0.226108,0.070680,5
india_g2_diaspora,age_std_earnings,83561.071339,10366.081381,67008.480214,16552.591125,10687.905205,5
india_g2_diaspora,age_std_tax_minus_cash,21279.568990,1952.927024,15608.324944,5671.244046,2179.474128,5
india_g2_diaspora,age_std_ba,0.682420,0.071855,0.442763,0.239656,0.071999,5
asian_indian_native_selfid,earnings,99173.221468,4703.642456,67008.480214,32164.741254,5375.865216,5
asian_indian_native_selfid,tax_minus_cash,28943.778361,1411.483429,15608.324944,13335.453417,1711.277003,5
asian_indian_native_selfid,ba_share,0.779038,0.026043,0.442763,0.336275,0.026435,5
asian_indian_native_selfid,age_std_earnings,95993.229111,5397.547058,67008.480214,28984.748897,5992.427615,5
asian_indian_native_selfid,age_std_tax_minus_cash,27350.942674,1649.305304,15608.324944,11742.617730,1912.169317,5
asian_indian_native_selfid,age_std_ba,0.748189,0.024060,0.442763,0.305426,0.024484,5
