age,n_g3plus_id,n_gp_observed,n_gp_india,n_gp_all_us,w_g3plus,w_gp_india,w_gp_all_us
all_ages,499,252,151,41,1365876.230000,413361.580000,128873.340000
under18,210,204,136,31,595996.410000,383537.340000,101374.110000
18plus,289,48,15,10,769879.820000,29824.240000,27499.230000
25_64,203,25,6,7,546284.300000,13204.730000,18873.280000
