window,outcome,weighted,industry,alpha,beta_k,national_growth,national_emp0,mean_share,rank
1222,admin,True,113///,0.0105303,-1.16057,-0.144958,53979.8,0.00397377,33
1222,admin,True,114///,0.000741828,-5.80756,-0.388617,8173.27,0.000196794,60
1222,admin,True,115///,0.000244045,-3.80355,0.00468212,101662,0.00365417,66
1222,admin,True,211///,0.0146515,-1.13427,-0.357804,125620,0.00305625,26
1222,admin,True,212///,0.0832495,-1.10724,-0.375648,203358,0.00939846,5
1222,admin,True,213///,0.0462846,-4.27305,-0.379087,399473,0.0100873,11
1222,admin,True,221///,0.00301537,-0.549094,-0.0310614,639530,0.0114911,53
1222,admin,True,236///,0.0628021,-1.51573,0.510496,1.04108e+06,0.0111858,7
1222,admin,True,237///,0.00685447,2.69411,0.173537,849885,0.0110412,42
1222,admin,True,238///,0.226525,-1.80824,0.415848,3.36991e+06,0.0322976,1
1222,admin,True,311///,-0.0304624,-2.65396,0.106344,1.41391e+06,0.0251758,20
1222,admin,True,312///,0.0022321,5.31865,0.73474,151957,0.00135992,54
1222,admin,True,313///,0.0487287,-2.50387,-0.495977,106946,0.0023303,10
1222,admin,True,314///,0.0154306,-2.77854,-0.265447,112033,0.00194764,25
1222,admin,True,315///,0.0421491,-1.46937,-0.513311,112743,0.00128953,13
1222,admin,True,316///,0.00774532,-0.452312,-0.510899,28074,0.000477079,38
1222,admin,True,321///,-0.0313636,-2.43988,0.198352,342423,0.012945,19
1222,admin,True,322///,0.0316615,1.12865,-0.289021,356511,0.00552025,18
1222,admin,True,323///,-0.00707371,-6.04433,-0.203479,471316,0.00343549,40
1222,admin,True,324///,0.00784216,3.5101,-0.27029,98644.7,0.0009783,37
1222,admin,True,325///,-0.00746867,7.78206,0.133653,735069,0.00804208,39
1222,admin,True,326///,-0.000496038,-8.4528,0.0303074,699737,0.00966229,63
1222,admin,True,327///,0.00320715,0.329654,0.0903,346408,0.00582394,52
1222,admin,True,331///,0.030388,-1.82738,-0.353281,395155,0.0057453,21
1222,admin,True,332///,-0.000972122,9.30122,0.0145068,1.37853e+06,0.0160326,59
1222,admin,True,333///,0.00196412,11.5088,-0.0354327,1.04486e+06,0.0143909,55
1222,admin,True,334///,-0.0126413,-7.55159,-0.114776,850146,0.00370146,28
1222,admin,True,335///,0.00337422,13.0883,-0.202084,336439,0.00377713,51
1222,admin,True,336///,-0.00191909,-43.1305,0.174959,1.3064e+06,0.0149871,56
1222,admin,True,337///,-0.000334768,2.41321,-0.00801649,343579,0.00508295,64
1222,admin,True,339///,0.000240441,47.8218,-0.052714,562921,0.00478547,67
1222,admin,True,423///,0.00685727,-28.4726,0.0851684,3.27369e+06,0.0207076,41
1222,admin,True,424///,-0.0104095,-1.11346,0.0548604,2.20817e+06,0.0216847,35
1222,admin,True,425///,-0.00571435,-3.33241,-0.192714,295645,0.00230881,46
1222,admin,True,44_pooled,0.078067,-2.17576,0.0707825,1.48099e+07,0.157906,6
1222,admin,True,481///,-0.00862142,-8.92934,0.130992,426899,0.000642975,36
1222,admin,True,483///,0.011039,3.10328,-0.23085,69256.9,0.000367214,31
1222,admin,True,484///,-0.0132092,-3.75709,0.284932,1.3462e+06,0.0218512,27
1222,admin,True,485///,0.00052047,44.4947,-0.120254,464018,0.0030189,62
1222,admin,True,486///,0.00670141,-0.662483,-0.303932,50362.9,0.00143393,43
1222,admin,True,487///,6.48102e-05,0.772722,-0.101006,23409.5,0.000148258,70
1222,admin,True,488///,-0.0495595,2.09777,0.284264,641065,0.00369472,8
1222,admin,True,492///,-0.0453963,6.00736,1.20683,525703,0.0018563,12
1222,admin,True,493///,0.168402,-0.926,0.799228,688180,0.00627048,2
1222,admin,True,51_pooled,-0.0108878,-7.42382,0.135838,3.13802e+06,0.015268,32
