label,elasticity,composite_low,composite_high,main_case_low_bn,main_case_high_bn,band_min_bn,band_max_bn,change_vs_adopted_low_bn,change_vs_adopted_high_bn
adopted (rounded composite 0.59/0.84),0.8424,0.59,0.84,203.207,249.640,203.207,249.640,0.000,0.000
general government fixed (response 0),,0,0,174.715,209.075,174.715,209.075,-28.492,-40.565
cross-state 0.842 unrounded,0.8424,0.5942,0.8424,203.409,249.757,203.409,249.757,0.202,0.117
brief main: 2012-2022, Bartik + immigrant: point,-3.2566,-2.0018,-3.2566,78.046,51.808,51.808,78.046,-125.161,-197.832
brief main: 2012-2022, Bartik + immigrant: Anderson-Rubin lo,-5.0890,-3.1623,-5.0890,22.006,-36.679,-36.679,22.006,-181.201,-286.319
brief main: 2012-2022, Bartik + immigrant: Anderson-Rubin hi,1.2540,0.8548,1.2540,215.996,269.633,215.996,269.633,12.789,19.993
brief main: 2012-2022, Bartik: point,-2.1635,-1.3095,-2.1635,111.478,104.598,104.598,111.478,-91.729,-145.042
brief main: 2012-2022, Bartik: Anderson-Rubin lo,-5.8186,-3.6243,-5.8186,-0.307,-71.910,-71.910,-0.307,-203.514,-321.550
brief main: 2012-2022, Bartik: Anderson-Rubin hi,1.1418,0.7838,1.1418,212.565,264.214,212.565,264.214,9.358,14.574
brief main: 2012-2022, immigrant: point,-5.0555,-3.1410,-5.0555,23.031,-35.059,-35.059,23.031,-180.176,-284.699
brief main: 2012-2022, immigrant: Anderson-Rubin lo,-25.4583,-16.0624,-25.4583,-600.958,-1020.340,-1020.340,-600.958,-804.165,-1269.980
brief main: 2012-2022, immigrant: Anderson-Rubin hi,7.2273,4.6378,7.2273,398.682,558.093,398.682,558.093,195.475,308.453
break-free long difference 2007-2017, Bartik: point,0.9091,0.6364,0.9091,205.449,252.979,205.449,252.979,2.242,3.339
break-free long difference 2007-2017, Bartik: Anderson-Rubin lo,-0.8395,-0.4710,-0.8395,151.970,168.535,151.970,168.535,-51.237,-81.105
break-free long difference 2007-2017, Bartik: Anderson-Rubin hi,2.8987,1.8964,2.8987,266.296,349.056,266.296,349.056,63.089,99.416
break-free stacked 2007-12 and 2012-17, Bartik: point,0.9085,0.6360,0.9085,205.431,252.949,205.431,252.949,2.224,3.309
break-free stacked 2007-12 and 2012-17, Bartik: Anderson-Rubin lo,-0.9391,-0.5341,-0.9391,148.923,163.723,148.923,163.723,-54.284,-85.917
break-free stacked 2007-12 and 2012-17, Bartik: Anderson-Rubin hi,2.8831,1.8866,2.8831,265.821,348.305,265.821,348.305,62.614,98.665
break-free stacked 2007-12 and 2012-17, Bartik + immigrant: point,0.5834,0.4301,0.5834,195.487,237.248,195.487,237.248,-7.720,-12.392
break-free stacked 2007-12 and 2012-17, Bartik + immigrant: Anderson-Rubin lo,-1.4210,-0.8393,-1.4210,134.186,140.453,134.186,140.453,-69.021,-109.187
break-free stacked 2007-12 and 2012-17, Bartik + immigrant: Anderson-Rubin hi,2.9090,1.9030,2.9090,266.612,349.555,266.612,349.555,63.405,99.915
break-free stacked 2007-12 and 2012-17, OLS: point,0.5801,0.4280,0.5801,195.385,237.087,195.385,237.087,-7.822,-12.553
break-free stacked 2007-12 and 2012-17, OLS: 95% lo,0.2422,0.2140,0.2422,185.051,220.770,185.051,220.770,-18.156,-28.870
break-free stacked 2007-12 and 2012-17, OLS: 95% hi,0.9179,0.6420,0.9179,205.718,253.404,205.718,253.404,2.511,3.764
2012-2022 OLS: point,0.2703,0.2319,0.2703,185.912,222.129,185.912,222.129,-17.295,-27.511
2012-2022 OLS: 95% lo,-0.4756,-0.2405,-0.4756,163.099,186.108,163.099,186.108,-40.108,-63.532
2012-2022 OLS: 95% hi,1.0162,0.7043,1.0162,208.725,258.151,208.725,258.151,5.518,8.511
county cross-section in levels 2017 (not causal),0.9786,0.6804,0.9786,207.575,256.335,207.575,256.335,4.368,6.695
