window,outcome,sample,weighted,method,instruments,controls,n,clusters,note,beta,se,ci_lo,ci_hi,fs_coef,fs_se,F_eff,F_robust,rf_coef,rf_se,ar_type,ar_lo,ar_hi,ar_pieces,J,J_p,beta_gmm
1222,admin,all,True,OLS,,lnpop0,3093,48,,0.270313,0.380572,-0.475608,1.01623,,,,,,,,,,,,,
1222,admin,all,True,2SLS,bartik,lnpop0,3093,48,,-2.16349,1.7147,-5.52429,1.19732,0.803722,0.104625,59.0121,59.0121,-1.73884,1.35334,interval,-5.81856,1.14179,,,,
1222,admin,all,True,2SLS,imm,lnpop0,3093,48,,-5.05546,7.49913,-19.7538,9.64284,-0.735507,0.139383,27.8456,27.8456,3.71833,5.09271,interval,-25.4583,7.22734,,,,
1222,admin,all,True,2SLS,imm_nomex,lnpop0,3093,48,,-4.58966,6.79957,-17.9168,8.73751,-0.806499,0.122531,43.3226,43.3226,3.70156,5.16706,interval,-21.3963,7.00621,,,,
1222,admin,all,True,2SLS,imm_mex,lnpop0,3093,48,,1.54221,1.18954,-0.789281,3.8737,7.66169,2.88096,7.07255,7.07255,11.8159,10.2385,interval,-2.00245,4.89884,,,,
1222,admin,all,True,2SLS,bartik+imm,lnpop0,3093,48,,-3.25664,3.55176,-10.2181,3.70481,0.746714;-0.649661,0.10425;0.127593,40.9413,34.8286,-1.42695;3.55428,1.00419;5.00625,interval,-5.089,1.254,"[[-5.088999999999696, 1.2540000000024225]]",0.262376,0.608493,-1.62075
1222,admin,all,True,2SLS,bartik+imm_nomex,lnpop0,3093,48,,-3.18717,3.57288,-10.19,3.81567,0.739487;-0.718192,0.104807;0.108614,51.9608,47.5172,-1.42298;3.53163,0.990294;5.0775,interval,-5.15,1.232,"[[-5.149999999999716, 1.2320000000024152]]",0.227345,0.633499,-1.6491
1222,admin,all,False,OLS,,lnpop0,3093,48,,0.664855,0.124701,0.420441,0.909269,,,,,,,,,,,,,
1222,admin,all,False,2SLS,bartik,lnpop0,3093,48,,1.19563,0.534791,0.147438,2.24382,0.291459,0.0423293,47.4103,47.4103,0.348477,0.150238,interval,0.186857,2.38077,,,,
1222,admin,all,False,2SLS,imm,lnpop0,3093,48,,-2.28568,2.02478,-6.25425,1.6829,-0.67845,0.219081,9.59019,9.59019,1.55072,1.49383,interval,-7.13396,3.13334,,,,
1222,admin,all,False,2SLS,imm_nomex,lnpop0,3093,48,,-1.13251,1.59327,-4.25532,1.9903,-0.945844,0.294438,10.3193,10.3193,1.07118,1.54424,interval,-5.06644,2.81632,,,,
1222,admin,all,False,2SLS,imm_mex,lnpop0,3093,48,,2.07306,1.39569,-0.662492,4.80862,4.11537,0.662549,38.5817,38.5817,8.53142,5.64335,interval,-0.631492,5.14582,,,,
1222,admin,all,False,2SLS,bartik+imm,lnpop0,3093,48,,0.631166,0.590982,-0.52716,1.78949,0.293515;-0.703185,0.0434795;0.203203,30.5294,45.9583,0.344027;1.52173,0.15151;1.50395,interval,0.032,2.046,"[[0.03200000000201442, 2.046000000002687]]",2.41303,0.12033,0.963995
1222,admin,all,False,2SLS,bartik+imm_nomex,lnpop0,3093,48,,0.573016,0.605053,-0.612889,1.75892,0.295569;-0.982381,0.0432613;0.275215,26.1099,88.8628,0.344173;1.02863,0.151036;1.55625,interval,-0.027,1.976,"[[-0.026999999998005286, 1.9760000000026636]]",1.86186,0.172411,0.935378
1222,admin,drop 25 largest,True,OLS,,lnpop0,3068,48,,0.639074,0.184289,0.277867,1.00028,,,,,,,,,,,,,
1222,admin,drop 25 largest,True,2SLS,bartik,lnpop0,3068,48,,-0.0669339,0.511941,-1.07034,0.93647,0.559655,0.0855515,42.7942,42.7942,-0.0374599,0.288396,interval,-1.0181,1.09592,,,,
1222,admin,drop 25 largest,True,2SLS,imm,lnpop0,3068,48,,-7.35043,7.88039,-22.796,8.09514,-0.296246,0.241045,1.51046,1.51046,2.17754,2.02674,real line,-inf,inf,,,,
1222,admin,drop 25 largest,True,2SLS,imm_nomex,lnpop0,3068,48,,-4.45873,4.32916,-12.9439,4.02643,-0.427526,0.192078,4.95418,4.95418,1.90622,2.0268,interval,-22.9068,12.9168,,,,
1222,admin,drop 25 largest,True,2SLS,imm_mex,lnpop0,3068,48,,2.89384,1.91613,-0.861783,6.64946,6.34271,3.3062,3.68037,3.68037,18.3548,4.75391,two rays,-158.428,0.896427,,,,
1222,admin,drop 25 largest,True,2SLS,bartik+imm,lnpop0,3068,48,,-0.718028,0.729409,-2.14767,0.711614,0.568022;-0.341364,0.0930741;0.254437,12.4821,22.2353,-0.0910123;2.18477,0.29089;2.02449,interval,-1.212,1.091,"[[-1.211999999998401, 1.091000000002368]]",0.944533,0.331115,-0.198164
1222,admin,drop 25 largest,True,2SLS,bartik+imm_nomex,lnpop0,3068,48,,-0.768475,0.830297,-2.39586,0.858907,0.572204;-0.477954,0.0921348;0.190246,20.0982,19.3872,-0.0877142;1.91395,0.287731;2.02498,interval,-1.229,1.083,"[[-1.2289999999984067, 1.0830000000023654]]",0.765037,0.381757,-0.189661
1222,admin,drop 25 largest,False,OLS,,lnpop0,3068,48,,0.703042,0.122337,0.463262,0.942823,,,,,,,,,,,,,
1222,admin,drop 25 largest,False,2SLS,bartik,lnpop0,3068,48,,1.3096,0.540596,0.250027,2.36916,0.28495,0.0423582,45.2546,45.2546,0.373169,0.147631,interval,0.296505,2.52052,,,,
1222,admin,drop 25 largest,False,2SLS,imm,lnpop0,3068,48,,-2.64415,4.25346,-10.9809,5.69262,-0.346383,0.199226,3.02289,3.02289,0.91589,1.61821,real line,-inf,inf,,,,
1222,admin,drop 25 largest,False,2SLS,imm_nomex,lnpop0,3068,48,,-0.306634,2.37254,-4.95682,4.34355,-0.686746,0.288069,5.6833,5.6833,0.21058,1.6498,interval,-6.39824,10.6466,,,,
1222,admin,drop 25 largest,False,2SLS,imm_mex,lnpop0,3068,48,,2.24049,1.49118,-0.682225,5.1632,3.97388,0.646324,37.8032,37.8032,8.90343,5.76943,interval,-0.614946,5.57032,,,,
1222,admin,drop 25 largest,False,2SLS,bartik+imm,lnpop0,3068,48,,1.14284,0.522663,0.118421,2.16726,0.287126;-0.406454,0.0430058;0.206294,28.8772,28.1159,0.368679;0.838756,0.147316;1.62686,interval,0.04,2.505,"[[0.04000000000201709, 2.5050000000028403]]",0.698323,0.403348,1.1749
1222,admin,drop 25 largest,False,2SLS,bartik+imm_nomex,lnpop0,3068,48,,1.08993,0.519051,0.0725928,2.10727,0.290041;-0.764757,0.0426139;0.277177,25.0276,70.1549,0.372434;0.110409,0.146731;1.65762,interval,0.048,2.372,"[[0.04800000000201976, 2.372000000002796]]",0.39375,0.530335,1.17224
1222,admin,drop areas without a county government,True,OLS,,lnpop0,3011,47,,0.664371,0.188765,0.294391,1.03435,,,,,,,,,,,,,
