fips,state,no_county_govt,pop_2002,pop_2007,pop_2012,pop_2017,pop_2022,e23_1997,e29_1997,e31_1997,e25_1997,d23_1997,d29_1997,d31_1997,d25_1997,e23_2002,e29_2002,e31_2002,e25_2002,d23_2002,d29_2002,d31_2002,d25_2002,e23_2007,e29_2007,e31_2007,e25_2007,d23_2007,d29_2007,d31_2007,d25_2007,e23_2012,e29_2012,e31_2012,e25_2012,d23_2012,d29_2012,d31_2012,d25_2012,e23_2017,e29_2017,e31_2017,e25_2017,d23_2017,d29_2017,d31_2017,d25_2017,e23_2022,e29_2022,e31_2022,e25_2022,d23_2022,d29_2022,d31_2022,d25_2022,present_1997,present_2002,present_2007,present_2012,present_2017,present_2022,bartik_1222,bartik_pay_1222,cbp_emp0_1222,imm_1222,imm_nomex_1222,imm_mex_1222,dfbshare_1222,bartik_0717,bartik_pay_0717,cbp_emp0_0717,imm_0717,imm_nomex_0717,imm_mex_0717,dfbshare_0717,bartik_1217,bartik_pay_1217,cbp_emp0_1217,imm_1217,imm_nomex_1217,imm_mex_1217,dfbshare_1217,bartik_1722,bartik_pay_1722,cbp_emp0_1722,imm_1722,imm_nomex_1722,imm_mex_1722,dfbshare_1722,bartik_0712,bartik_pay_0712,cbp_emp0_0712,imm_0712,imm_nomex_0712,imm_mex_0712,dfbshare_0712,bartik_1722_s12,bartik_1217_s07,medhhinc_2009,medhhinc_2012,medhhinc_2017,medhhinc_2022
01001,01,0,45909,52405,55574,57393,59726,1863.510,1033.865,0.000,785.884,1921.859,1033.865,0.000,785.884,3583.763,1293.278,748.312,2030.203,4005.095,1293.278,748.312,2030.203,2986.650,4574.543,573.053,705.730,3051.577,4695.928,573.053,884.986,3530.817,5331.916,0.000,734.206,3595.825,5384.177,0.000,734.206,5154.176,3233.150,0.000,526.521,5189.994,3645.054,0.000,526.521,678.000,11549.000,287.000,337.000,678.000,11597.000,287.000,348.000,1,1,1,1,1,1,0.08953430,0.44398866,9929.4,0.00005623,0.00022148,-0.00016526,0.01226138,0.03744578,0.25201116,11041.7,0.00037811,0.00039043,-0.00001232,0.00708147,0.06476071,0.12664006,9929.4,0.00006439,0.00015447,-0.00009008,0.00874203,0.01560770,0.29174911,9899.0,-0.00000791,0.00006489,-0.00007280,0.00351934,-0.03825989,0.11370292,11041.7,0.00030982,0.00022661,0.00008321,-0.00166056,0.01357457,0.07283808,51463.0,53773.0,55317.0,68315.0
01003,01,0,147957,172404,191053,215475,246531,13917.979,5400.898,2729.623,5169.327,14756.741,5473.834,7862.482,5242.262,11746.869,11346.685,4027.870,3961.172,13702.240,11426.396,6417.587,4032.750,9871.753,17688.420,7031.895,6578.816,10298.014,18268.531,7799.730,6663.504,17563.583,30008.119,8880.578,12934.006,18863.739,30009.393,9358.576,12934.006,15968.753,37388.969,8464.931,8192.716,16209.925,37707.747,8672.674,8197.492,7671.000,73092.000,9971.000,8152.000,7749.000,73606.000,11129.000,8157.000,1,1,1,1,1,1,0.13364730,0.44151553,53042.0,0.00217384,0.00242195,-0.00024811,0.00580544,0.02783151,0.25426873,56268.2,0.00196540,0.00198486,-0.00001946,0.00693187,0.09512864,0.12288292,53042.0,0.00086845,0.00100374,-0.00013529,0.00112477,0.03588178,0.27781983,61499.0,0.00115743,0.00125746,-0.00010003,0.00468066,-0.05979087,0.11462970,56268.2,0.00100301,0.00087254,0.00013046,0.00580710,0.03186469,0.09428825,48918.0,50706.0,52562.0,71039.0
01005,01,0,28653,27757,27301,25585,24700,2609.279,798.647,249.805,133.108,2609.279,844.232,264.392,133.108,1205.433,2950.951,141.529,161.050,1207.060,2950.951,143.155,161.050,1936.524,3017.702,118.563,201.839,1936.524,3055.812,180.667,207.485,105.797,1885.227,428.287,268.954,107.072,1909.445,486.921,268.954,516.970,1571.206,250.724,805.900,516.970,1571.206,259.082,805.900,539.000,1739.000,259.000,817.000,539.000,1774.000,259.000,817.000,1,1,1,1,1,1,0.08104776,0.39422028,7011.3,0.00139857,0.00217293,-0.00077436,0.00438314,-0.03038835,0.24600767,9453.6,0.00166767,0.00172075,-0.00005308,-0.00048667,0.04306022,0.11838643,7011.3,0.00038673,0.00080870,-0.00042197,-0.00123762,0.05157452,0.24733471,6551.0,0.00107970,0.00145573,-0.00037603,0.00562077,-0.07393322,0.10954097,9453.6,0.00128729,0.00092534,0.00036195,0.00075096,0.03362758,0.03889498,32537.0,31889.0,33368.0,39712.0
01007,01,0,21199,22438,22680,22607,21986,1413.132,304.507,122.168,421.204,1413.132,375.620,122.168,421.204,1488.490,562.861,231.001,665.347,1488.490,562.861,231.001,665.347,1490.502,1019.074,0.000,136.912,1498.971,1028.955,77.630,149.615,476.724,2184.773,0.000,225.615,476.724,2184.773,0.000,225.615,14.327,2632.606,0.000,143.271,14.327,2632.606,0.000,143.271,366.000,2381.000,175.000,174.000,454.000,2381.000,175.000,174.000,1,1,1,1,1,1,0.16430669,0.41520864,2922.6,-0.00015074,0.00002617,-0.00017691,0.00546481,-0.01656192,0.26491892,3170.0,0.00001784,0.00003035,-0.00001251,0.00541306,0.09331762,0.13105648,2922.6,-0.00011443,-0.00001802,-0.00009641,0.00185617,0.06919151,0.24916143,3022.0,-0.00003643,0.00004433,-0.00008076,0.00360864,-0.09473693,0.11728824,3170.0,0.00013351,0.00004857,0.00008494,0.00355690,0.05640014,0.09369712,41236.0,36824.0,43404.0,50669.0
01009,01,0,52551,56240,57855,58671,59516,3984.119,824.175,1449.600,1338.372,3984.119,824.175,1449.600,1338.372,4400.399,1429.926,637.692,1138.735,4400.399,1429.926,637.692,1138.735,1710.690,1940.758,962.616,1034.600,1710.690,2077.670,2399.482,1034.600,2234.484,3685.051,1001.885,1337.122,3405.900,3685.051,1001.885,1337.122,2538.285,1162.883,491.897,808.288,2538.285,1162.883,491.897,808.288,2122.000,864.000,876.000,1199.000,2122.000,1300.000,1119.000,1199.000,1,1,1,1,1,1,0.11710141,0.42883405,6570.1,-0.00143813,0.00034647,-0.00178459,0.00889867,0.01565465,0.25641484,7210.0,0.00024746,0.00037528,-0.00012782,-0.00043593,0.07558731,0.12245432,6570.1,-0.00081286,0.00015886,-0.00097173,0.00346685,0.03745121,0.27414907,5622.0,-0.00061657,0.00018499,-0.00080156,0.00543182,-0.06116360,0.11773775,7210.0,0.00108366,0.00021186,0.00087181,-0.00390278,0.03089443,0.08339481,45406.0,45192.0,47412.0,57440.0
01011,01,0,11256,11011,10679,10404,10143,813.234,220.631,319.094,289.920,813.234,220.631,319.094,289.920,932.136,525.445,353.008,377.409,932.136,538.459,353.008,377.409,540.589,1484.856,597.048,613.985,549.058,1484.856,1004.960,613.985,166.981,772.446,221.791,123.642,166.981,772.446,590.169,123.642,142.077,782.021,259.082,149.241,142.077,782.021,259.082,149.241,158.000,884.000,292.000,170.000,158.000,884.000,292.000,170.000,1,1,1,1,1,1,0.10551078,0.39717987,2188.5,0.00138188,0.00313671,-0.00175483,-0.01693320,0.04942274,0.25421663,1912.5,0.00199941,0.00211874,-0.00011933,-0.00715642,0.06411770,0.12180684,2188.5,-0.00005406,0.00090196,-0.00095602,-0.04018137,0.02065390,0.27222146,501.0,0.00147390,0.00229382,-0.00081992,0.02324817,-0.01782577,0.11340987,1912.5,0.00205184,0.00124397,0.00080787,0.03302496,0.04004605,0.06569010,26209.0,34500.0,29655.0,36136.0
01013,01,0,20803,20894,20565,19566,18668,1724.932,692.890,337.328,738.475,1792.398,829.645,353.739,791.354,3235.635,767.833,649.079,948.404,3260.037,769.460,649.079,948.404,5589.383,5232.283,438.964,18.349,5607.732,5252.044,462.959,18.349,392.596,3980.773,590.169,447.407,402.794,4085.295,665.374,447.407,367.729,4690.933,656.659,514.582,367.729,5200.739,729.488,514.582,3659.000,1608.000,666.000,554.000,3659.000,1608.000,666.000,554.000,1,1,1,1,1,1,0.10589005,0.44254419,5581.2,0.00069242,0.00070743,-0.00001501,0.01536594,0.00333299,0.25701863,5860.5,0.00073784,0.00073888,-0.00000104,-0.00213532,0.07043817,0.12028567,5581.2,0.00033211,0.00034029,-0.00000818,-0.00000915,0.04406341,0.29428469,4581.0,0.00037871,0.00038588,-0.00000718,0.01537508,-0.06516808,0.11913053,5860.5,0.00041096,0.00040395,0.00000702,-0.00212618,0.02972010,0.07030020,31938.0,30752.0,36326.0,44429.0
01015,01,0,111625,116211,117843,116730,115780,7962.769,3524.624,694.714,1723.109,8464.203,3548.328,694.714,1723.109,7014.610,4180.786,678.361,3474.770,7040.638,4180.786,1237.968,3474.770,9897.160,4708.632,1719.159,5016.330,9915.509,4717.100,1719.159,5023.387,2404.015,19837.582,1217.303,2354.303,2453.726,19850.328,1217.303,2365.775,3802.652,11230.063,1825.512,1378.984,3802.652,11276.626,1825.512,1378.984,5156.000,20899.000,2811.000,5014.000,5207.000,20929.000,3326.000,5014.000,1,1,1,1,1,1,0.13250832,0.42904293,34703.9,0.00221020,0.00259391,-0.00038371,0.00563608,0.03299104,0.25591799,40934.6,0.00267218,0.00269960,-0.00002743,0.00371251,0.07828371,0.11664859,34703.9,0.00113909,0.00134831,-0.00020922,0.00260593,0.04132717,0.26837118,36181.8,0.00108132,0.00125748,-0.00017616,0.00303015,-0.03959826,0.12386143,40934.6,0.00151709,0.00133236,0.00018473,0.00110658,0.04313228,0.07328479,38382.0,40093.0,43686.0,54339.0
01017,01,0,35965,34847,34491,35014,34164,3448.041,567.076,1163.326,740.299,3448.041,567.076,1163.326,740.299,4070.166,797.115,787.354,710.896,4071.792,797.115,787.354,710.896,1661.289,1997.216,1209.621,678.912,1686.695,2410.774,1209.621,680.324,2925.352,4402.686,1207.106,859.123,2936.824,4630.851,1207.106,859.123,1437.486,3342.991,308.033,113.423,1437.486,3342.991,308.033,113.423,85.000,2620.000,459.000,127.000,85.000,2620.000,459.000,127.000,1,1,1,1,1,1,0.11028646,0.41620705,6478.1,0.00109865,0.00120606,-0.00010742,0.01060415,-0.10867087,0.26487237,7578.6,0.00095991,0.00096736,-0.00000745,0.01082009,0.05846237,0.11542233,6478.1,0.00058405,0.00064259,-0.00005854,0.00764704,0.03819554,0.27993723,6034.0,0.00050691,0.00055506,-0.00004815,0.00295711,-0.11023017,0.11833108,7578.6,0.00038183,0.00033134,0.00005050,0.00317305,0.04296269,-0.01696301,32433.0,32181.0,37342.0,48805.0
01019,01,0,24403,25553,25657,24842,25353,1686.641,650.952,184.163,528.785,1686.641,650.952,184.163,528.785,2415.746,668.600,366.022,536.832,2415.746,668.600,366.022,536.832,1264.668,868.048,265.355,797.475,1264.668,869.460,265.355,797.475,444.857,1049.048,0.000,344.159,444.857,1049.048,0.000,344.159,1842.227,1257.203,60.890,623.229,1842.227,1257.203,60.890,623.229,1796.000,1189.000,72.000,651.000,1796.000,1189.000,72.000,651.000,1,1,1,1,1,1,0.03096266,0.43097410,3664.1,0.00186912,0.00189618,-0.00002707,0.00881815,-0.08578995,0.24013599,3788.4,0.00181848,0.00182039,-0.00000191,0.00584487,0.00794436,0.12364119,3664.1,0.00076396,0.00077872,-0.00001476,-0.00279521,0.04789718,0.29720043,3038.0,0.00114141,0.00115413,-0.00001271,0.01161336,-0.11142671,0.10441221,3788.4,0.00105141,0.00103850,0.00001291,0.00864008,-0.00059511,0.00513560,40240.0,36241.0,40041.0,46621.0
