year,white_definition,white_native_inst_pct,mexican_native_inst_pct,ratio
2019,white alone,1.481,2.822,1.905
2019,white alone or in combination,1.527,2.822,1.848
2023,white alone,1.117,1.92,1.719
2023,white alone or in combination,1.151,1.92,1.668
