basis,group,offence,n2009,n2021,count_change_pct,per100k_2009,per100k_2021,per100k_change_pct,share2009_pct,share2021_pct
2009,white,total,532000,321700,-39.5,266.1,167.8,-36.9,100.0,100.0
2009,white,violent,265600,176400,-33.6,132.9,92.0,-30.7,49.9,54.8
2009,white,murder,55700,36900,-33.8,27.9,19.2,-30.9,10.5,11.5
2009,white,sexual,94900,63600,-33.0,47.5,33.2,-30.1,17.8,19.8
2009,white,robbery,45300,20400,-55.0,22.7,10.6,-53.0,8.5,6.3
2009,white,assault,46600,38000,-18.5,23.3,19.8,-15.0,8.8,11.8
2009,white,property,132000,57600,-56.4,66.0,30.0,-54.5,24.8,17.9
2009,white,burglary,63400,29200,-53.9,31.7,15.2,-52.0,11.9,9.1
2009,white,mvt,8500,2700,-68.2,4.3,1.4,-66.9,1.6,0.8
2009,white,fraud,19600,5800,-70.4,9.8,3.0,-69.1,3.7,1.8
2009,white,drug,73900,48200,-34.8,37.0,25.1,-32.0,13.9,15.0
2009,white,public_order,54400,36800,-32.4,27.2,19.2,-29.5,10.2,11.4
2009,hispanic,total,212100,224300,5.8,438.2,358.3,-18.2,100.0,100.0
2009,hispanic,violent,117800,160100,35.9,243.4,255.8,5.1,55.5,71.4
2009,hispanic,murder,32300,31900,-1.2,66.7,51.0,-23.6,15.2,14.2
2009,hispanic,sexual,22000,42800,94.5,45.5,68.4,50.4,10.4,19.1
2009,hispanic,robbery,26600,26600,0.0,55.0,42.5,-22.7,12.5,11.9
2009,hispanic,assault,28000,47100,68.2,57.9,75.2,30.1,13.2,21.0
2009,hispanic,property,34400,19000,-44.8,71.1,30.4,-57.3,16.2,8.5
2009,hispanic,burglary,16400,11700,-28.7,33.9,18.7,-44.8,7.7,5.2
2009,hispanic,mvt,6100,1700,-72.1,12.6,2.7,-78.5,2.9,0.8
2009,hispanic,fraud,2400,1200,-50.0,5.0,1.9,-61.3,1.1,0.5
2009,hispanic,drug,41400,22600,-45.4,85.5,36.1,-57.8,19.5,10.1
2009,hispanic,public_order,16000,21900,36.9,33.1,35.0,5.8,7.5,9.8
2009r,white,total,467290,321700,-31.2,233.8,167.8,-28.2,100.0,100.0
2009r,white,violent,231500,176400,-23.8,115.8,92.0,-20.5,49.5,54.8
2009r,white,murder,46900,36900,-21.3,23.5,19.2,-18.0,10.0,11.5
2009r,white,sexual,78100,63600,-18.6,39.1,33.2,-15.1,16.7,19.8
2009r,white,robbery,40700,20400,-49.9,20.4,10.6,-47.7,8.7,6.3
2009r,white,assault,43300,38000,-12.2,21.7,19.8,-8.5,9.3,11.8
2009r,white,property,111000,57600,-48.1,55.5,30.0,-45.9,23.8,17.9
2009r,white,burglary,54300,29200,-46.2,27.2,15.2,-43.9,11.6,9.1
2009r,white,mvt,6500,2700,-58.5,3.3,1.4,-56.7,1.4,0.8
2009r,white,fraud,16000,5800,-63.7,8.0,3.0,-62.2,3.4,1.8
2009r,white,drug,69200,48200,-30.3,34.6,25.1,-27.4,14.8,15.0
2009r,white,public_order,52000,36800,-29.2,26.0,19.2,-26.2,11.1,11.4
2009r,hispanic,total,287568,224300,-22.0,594.1,358.3,-39.7,100.0,100.0
2009r,hispanic,violent,159800,160100,0.2,330.2,255.8,-22.5,55.6,71.4
2009r,hispanic,murder,38300,31900,-16.7,79.1,51.0,-35.6,13.3,14.2
2009r,hispanic,sexual,33500,42800,27.8,69.2,68.4,-1.2,11.6,19.1
2009r,hispanic,robbery,37600,26600,-29.3,77.7,42.5,-45.3,13.1,11.9
2009r,hispanic,assault,37500,47100,25.6,77.5,75.2,-2.9,13.0,21.0
2009r,hispanic,property,43100,19000,-55.9,89.0,30.4,-65.9,15.0,8.5
2009r,hispanic,burglary,22600,11700,-48.2,46.7,18.7,-60.0,7.9,5.2
2009r,hispanic,mvt,6600,1700,-74.2,13.6,2.7,-80.1,2.3,0.8
2009r,hispanic,fraud,2900,1200,-58.6,6.0,1.9,-68.0,1.0,0.5
2009r,hispanic,drug,49400,22600,-54.3,102.1,36.1,-64.6,17.2,10.1
2009r,hispanic,public_order,34000,21900,-35.6,70.2,35.0,-50.2,11.8,9.8
