denominator,arm,cost,status,usd_per_person_year,per_100k,ratio_per_capita,ratio_per_adult,ratio_per_18_39,homicide_share_of_cost
cms,A,cjs,citizen,68.83132,6.8831325e+06,1.0,1.0,1.0,0.40073
cms,A,cjs,legal_immigrant,65.62068,6.5620685e+06,0.95335,0.70547,0.92299,0.43538
cms,A,cjs,undocumented,27.96432,2.7964315e+06,0.40627,0.31298,0.29076,0.38655
cms,A,cjs,foreign_born,51.39872,5.139872e+06,0.74673,0.56061,0.64073,0.42534
cms,A,tangible,citizen,166.83604,1.6683604e+07,1.0,1.0,1.0,0.53869
cms,A,tangible,legal_immigrant,161.59901,1.6159901e+07,0.96861,0.71675,0.93776,0.57606
cms,A,tangible,undocumented,68.47752,6.847752e+06,0.41045,0.31619,0.29375,0.51436
cms,A,tangible,foreign_born,126.42909,1.2642909e+07,0.7578,0.56892,0.65023,0.56344
cms,A,total,citizen,975.83826,9.758382e+07,1.0,1.0,1.0,0.64714
cms,A,total,legal_immigrant,986.95526,9.869553e+07,1.01139,0.74841,0.97918,0.66275
cms,A,total,undocumented,414.51263,4.1451264e+07,0.42478,0.32723,0.304,0.59706
cms,A,total,foreign_born,770.75647,7.707565e+07,0.78984,0.59297,0.67772,0.64941
cms,B,cjs,citizen,77.28505,7.728505e+06,1.0,1.0,1.0,0.35689
cms,B,cjs,legal_immigrant,74.50627,7.4506275e+06,0.96405,0.71338,0.93334,0.38345
cms,B,cjs,undocumented,31.15634,3.1156342e+06,0.40314,0.31056,0.28852,0.34695
cms,B,cjs,foreign_born,58.13397,5.813397e+06,0.7522,0.56472,0.64542,0.37606
cms,B,tangible,citizen,180.18112,1.8018112e+07,1.0,1.0,1.0,0.4988
cms,B,tangible,legal_immigrant,175.66161,1.756616e+07,0.97492,0.72142,0.94387,0.52994
cms,B,tangible,undocumented,73.57877,7.357877e+06,0.40836,0.31458,0.29225,0.4787
cms,B,tangible,foreign_born,137.10719,1.3710718e+07,0.76094,0.57128,0.65292,0.51955
cms,B,total,citizen,1053.54456,1.05354456e+08,1.0,1.0,1.0,0.59941
cms,B,total,legal_immigrant,1068.80066,1.0688007e+08,1.01448,0.7507,0.98217,0.612
cms,B,total,undocumented,444.14868,4.4414868e+07,0.42158,0.32476,0.30171,0.55722
cms,B,total,foreign_born,832.88361,8.328836e+07,0.79055,0.59351,0.67833,0.60096
cms,counts,all_felonies,citizen,,1046.8292,1.0,1.0,1.0,
cms,counts,violent4,citizen,,212.96803,1.0,1.0,1.0,
cms,counts,homicide,citizen,,4.8251,1.0,1.0,1.0,
cms,counts,sexual_assault,citizen,,18.16782,1.0,1.0,1.0,
cms,counts,all_felonies,legal_immigrant,,815.56494,0.77908,0.57651,0.75427,
cms,counts,violent4,legal_immigrant,,185.30598,0.87011,0.64387,0.8424,
cms,counts,homicide,legal_immigrant,,4.9978,1.03579,0.76647,1.0028,
cms,counts,sexual_assault,legal_immigrant,,31.23871,1.71945,1.27236,1.66469,
cms,counts,all_felonies,undocumented,,414.0505,0.39553,0.3047,0.28307,
cms,counts,violent4,undocumented,,96.16974,0.45157,0.34787,0.32318,
cms,counts,homicide,undocumented,,1.89098,0.3919,0.30191,0.28048,
cms,counts,sexual_assault,undocumented,,11.28857,0.62135,0.47866,0.44469,
cms,counts,all_felonies,foreign_born,,663.9219,0.63422,0.47614,0.54419,
cms,counts,violent4,foreign_born,,151.6412,0.71204,0.53456,0.61096,
cms,counts,homicide,foreign_born,,3.82442,0.79261,0.59505,0.6801,
cms,counts,sexual_assault,foreign_born,,23.70399,1.30472,0.97952,1.11951,
pew,A,cjs,citizen,68.57757,6.8577565e+06,1.0,1.0,1.0,0.40019
pew,A,cjs,legal_immigrant,64.78427,6.478427e+06,0.94469,0.69961,0.8251,0.44278
pew,A,cjs,undocumented,28.59847,2.8598475e+06,0.41702,0.31867,0.26905,0.37122
pew,A,cjs,foreign_born,51.84981,5.184981e+06,0.75608,0.56616,0.5864,0.42867
pew,A,tangible,citizen,165.95367,1.6595367e+07,1.0,1.0,1.0,0.53884
pew,A,tangible,legal_immigrant,160.09476,1.6009476e+07,0.9647,0.71443,0.84258,0.58381
pew,A,tangible,undocumented,69.48566,6.948566e+06,0.41871,0.31995,0.27014,0.49782
pew,A,tangible,foreign_born,127.70692,1.2770692e+07,0.76953,0.57623,0.59684,0.56709
pew,A,total,citizen,968.62238,9.686224e+07,1.0,1.0,1.0,0.64868
pew,A,total,legal_immigrant,978.9101,9.789101e+07,1.01062,0.74844,0.88269,0.67089
pew,A,total,undocumented,417.2984,4.172984e+07,0.43082,0.32921,0.27795,0.58246
pew,A,total,foreign_born,778.16431,7.781643e+07,0.80337,0.60157,0.62309,0.65394
pew,B,cjs,citizen,77.16186,7.7161855e+06,1.0,1.0,1.0,0.35567
pew,B,cjs,legal_immigrant,73.58784,7.358784e+06,0.95368,0.70627,0.83296,0.3898
pew,B,cjs,undocumented,32.00733,3.200733e+06,0.41481,0.31697,0.26762,0.33168
pew,B,cjs,foreign_born,58.72507,5.8725075e+06,0.76106,0.56989,0.59027,0.37848
pew,B,tangible,citizen,179.49879,1.794988e+07,1.0,1.0,1.0,0.49818
pew,B,tangible,legal_immigrant,174.01694,1.7401694e+07,0.96946,0.71796,0.84674,0.53711
pew,B,tangible,undocumented,74.93235,7.493235e+06,0.41745,0.31899,0.26933,0.46164
pew,B,tangible,foreign_born,138.59958,1.3859958e+07,0.77215,0.57819,0.59887,0.52252
pew,B,total,citizen,1047.50024,1.04750024e+08,1.0,1.0,1.0,0.59984
pew,B,total,legal_immigrant,1059.94983,1.0599498e+08,1.01189,0.74938,0.88379,0.6196
pew,B,total,undocumented,448.94247,4.489425e+07,0.42858,0.3275,0.27651,0.5414
pew,B,total,foreign_born,841.54785,8.415478e+07,0.80339,0.60158,0.6231,0.60469
pew,counts,all_felonies,citizen,,1031.7148,1.0,1.0,1.0,
pew,counts,violent4,citizen,,210.60493,1.0,1.0,1.0,
pew,counts,homicide,citizen,,4.80086,1.0,1.0,1.0,
pew,counts,sexual_assault,citizen,,17.9557,1.0,1.0,1.0,
pew,counts,all_felonies,legal_immigrant,,788.0854,0.76386,0.56569,0.66717,
pew,counts,violent4,legal_immigrant,,179.76077,0.85354,0.63211,0.7455,
pew,counts,homicide,legal_immigrant,,5.01795,1.04522,0.77406,0.91291,
pew,counts,sexual_assault,legal_immigrant,,30.17016,1.68025,1.24435,1.46756,
pew,counts,all_felonies,undocumented,,440.0102,0.42648,0.32589,0.27516,
pew,counts,violent4,undocumented,,100.91837,0.47918,0.36616,0.30916,
pew,counts,homicide,undocumented,,1.85714,0.38684,0.2956,0.24958,
pew,counts,sexual_assault,undocumented,,11.2347,0.62569,0.47812,0.40368,
pew,counts,all_felonies,foreign_born,,663.66736,0.64327,0.48168,0.49891,
pew,counts,violent4,foreign_born,,151.57892,0.71973,0.53894,0.55822,
pew,counts,homicide,foreign_born,,3.88813,0.80988,0.60645,0.62814,
pew,counts,sexual_assault,foreign_born,,23.40176,1.3033,0.97593,1.01083,
cms_split,A,cjs,citizen,68.83132,6.8831325e+06,1.0,1.0,1.0,0.40073
cms_split,A,cjs,legal_noncitizen,76.47868,7.6478685e+06,1.1111,0.85595,0.79519,0.45042
cms_split,A,cjs,naturalized,57.63602,5.763602e+06,0.83735,0.60348,1.06585,0.4207
cms_split,A,cjs,undocumented,27.96432,2.7964315e+06,0.40627,0.31298,0.29076,0.38655
cms_split,A,tangible,citizen,166.83604,1.6683604e+07,1.0,1.0,1.0,0.53869
cms_split,A,tangible,legal_noncitizen,188.73135,1.8873136e+07,1.13124,0.87146,0.8096,0.59472
cms_split,A,tangible,naturalized,141.64664,1.4164663e+07,0.84902,0.61188,1.0807,0.55777
cms_split,A,tangible,undocumented,68.47752,6.847752e+06,0.41045,0.31619,0.29375,0.51436
cms_split,A,total,citizen,975.83826,9.758382e+07,1.0,1.0,1.0,0.64714
cms_split,A,total,legal_noncitizen,1173.90405,1.173904e+08,1.20297,0.92672,0.86094,0.67184
cms_split,A,total,naturalized,849.47845,8.494785e+07,0.87051,0.62737,1.10806,0.65351
cms_split,A,total,undocumented,414.51263,4.1451264e+07,0.42478,0.32723,0.304,0.59706
cms_split,B,cjs,citizen,77.28505,7.728505e+06,1.0,1.0,1.0,0.35689
cms_split,B,cjs,legal_noncitizen,88.08211,8.808211e+06,1.1397,0.87798,0.81566,0.39108
cms_split,B,cjs,naturalized,64.52297,6.452297e+06,0.83487,0.60169,1.06269,0.37579
cms_split,B,cjs,undocumented,31.15634,3.1156342e+06,0.40314,0.31056,0.28852,0.34695
cms_split,B,tangible,citizen,180.18112,1.8018112e+07,1.0,1.0,1.0,0.4988
cms_split,B,tangible,legal_noncitizen,207.0782,2.070782e+07,1.14928,0.88536,0.82251,0.54203
cms_split,B,tangible,naturalized,152.55872,1.5255871e+07,0.8467,0.61021,1.07775,0.51788
cms_split,B,tangible,undocumented,73.57877,7.357877e+06,0.40836,0.31458,0.29225,0.4787
cms_split,B,total,citizen,1053.54456,1.05354456e+08,1.0,1.0,1.0,0.59941
cms_split,B,total,legal_noncitizen,1280.70276,1.2807027e+08,1.21561,0.93646,0.86999,0.61581
cms_split,B,total,naturalized,912.974,9.129741e+07,0.86657,0.62454,1.10305,0.60806
cms_split,B,total,undocumented,444.14868,4.4414868e+07,0.42158,0.32476,0.30171,0.55722
cms_split,counts,all_felonies,citizen,,1046.8292,1.0,1.0,1.0,
cms_split,counts,violent4,citizen,,212.96803,1.0,1.0,1.0,
cms_split,counts,homicide,citizen,,4.8251,1.0,1.0,1.0,
cms_split,counts,sexual_assault,citizen,,18.16782,1.0,1.0,1.0,
cms_split,counts,all_felonies,legal_noncitizen,,806.452,0.77038,0.59347,0.55134,
cms_split,counts,violent4,legal_noncitizen,,201.1206,0.94437,0.7275,0.67587,
cms_split,counts,homicide,legal_noncitizen,,6.026,1.24888,0.96209,0.8938,
cms_split,counts,sexual_assault,legal_noncitizen,,46.16806,2.5412,1.95763,1.81868,
