profile,variant,cost_low_bn,cost_high_bn,per_member_low,per_member_high
cbo_category_lag_non_school_fixed,published,120.7941,160.3075,2954,3920
cbo_category_lag_non_school_fixed,gg_0.59,149.2859,188.7993,3650,4617
cbo_category_lag_non_school_fixed,gg_0.84,161.3587,200.8722,3946,4912
cbo_category_lag_non_school_fixed,justice_by_use_central,126.7377,166.2511,3099,4065
cbo_category_lag_non_school_fixed,uncompensated_inside_equal_use,124.4456,166.0551,3043,4060
cbo_category_lag_non_school_fixed,adopted,158.8811,212.5633,3885,5198
cbo_category_lag_non_school_fixed,adopted_justice_raw_coding,154.6077,208.2899,3780,5093
cbo_category_lag_non_school_fixed,adopted_justice_grid_low,151.9093,205.5915,3714,5027
cbo_category_lag_non_school_fixed,adopted_justice_grid_high,161.5836,215.2658,3951,5264
cbo_category_lag_non_school_fixed,adopted_justice_cbp_fixed,155.7736,209.4559,3809,5122
cbo_category_lag_non_school_fixed,adopted_uncompensated_use_0.7,157.3476,210.3210,3847,5143
cbo_category_lag_non_school_full,published,165.1200,197.3841,4038,4826
cbo_category_lag_non_school_full,gg_0.59,193.6118,225.8759,4734,5523
cbo_category_lag_non_school_full,gg_0.84,205.6847,237.9488,5029,5818
cbo_category_lag_non_school_full,justice_by_use_central,171.0636,203.3277,4183,4972
cbo_category_lag_non_school_full,uncompensated_inside_equal_use,168.7716,203.1317,4127,4967
cbo_category_lag_non_school_full,adopted,203.2070,249.6400,4969,6104
cbo_category_lag_non_school_full,adopted_justice_raw_coding,198.9336,245.3666,4864,6000
cbo_category_lag_non_school_full,adopted_justice_grid_low,196.2352,242.6681,4798,5934
cbo_category_lag_non_school_full,adopted_justice_grid_high,205.9095,252.3424,5035,6170
cbo_category_lag_non_school_full,adopted_justice_cbp_fixed,200.0995,246.5325,4893,6028
cbo_category_lag_non_school_full,adopted_uncompensated_use_0.7,201.6735,247.3976,4931,6049
proportional_reference,published,269.8119,288.7156,6597,7060
proportional_reference,gg_0.59,298.3038,317.2075,7294,7756
proportional_reference,gg_0.84,310.3766,329.2803,7589,8052
proportional_reference,justice_by_use_central,275.7555,294.6592,6743,7205
proportional_reference,uncompensated_inside_equal_use,273.4635,294.4632,6687,7200
proportional_reference,adopted,307.8989,340.9715,7529,8337
proportional_reference,adopted_justice_raw_coding,303.6255,336.6981,7424,8233
proportional_reference,adopted_justice_grid_low,300.9271,333.9997,7358,8167
proportional_reference,adopted_justice_grid_high,310.6014,343.6740,7595,8403
proportional_reference,adopted_justice_cbp_fixed,304.7914,337.8640,7453,8261
proportional_reference,adopted_uncompensated_use_0.7,306.3654,338.7291,7491,8283
