class,nis_weighted_share,yearbook_fy2003_share
family preferences,0.1992,0.256
employment,0.0248,0.0281
spouses of US citizens,0.4683,0.371
children of US citizens,0.0555,0.1291
parents of US citizens,0.1849,0.1798
cancellation of removal,0.0426,0.0216
