class,mexico_mean_2005_2022,mexico_share_of_class,share_of_mexico_listed_classes
Immediate Relatives - Spouses,51991.0,0.192,0.369
Immediate Relatives - Children,13145.0,0.168,0.093
Immediate Relatives - Parents,27632.0,0.227,0.196
Fam 1st Pref,1814.0,0.08,0.013
Fam 2nd Pref,30959.0,0.322,0.219
Fam 3rd Pref,2059.0,0.091,0.015
Fam 4th Pref,5054.0,0.085,0.036
Emp 1st Pref,1612.0,0.038,0.011
Emp 2nd Pref,1134.0,0.022,0.008
Emp 3rd Pref,4668.0,0.087,0.033
Emp 4th Pref,926.0,0.093,0.007
Emp 5th Pref,76.0,0.013,0.001
Diversity,10.0,0.0,0.0
