rules,stage,outcome,no_legal_parent_mean,legal_immigrant_parents_mean,raw_diff,adjusted_diff,adjusted_se_sdr,n_treat,n_base
borjas_paper_rules,minor_0_17,spm_poor,0.3307,0.2395,0.0912,0.1023,0.036,666,946
borjas_paper_rules,minor_0_17,official_poor,0.2632,0.218,0.0452,0.0369,0.0344,666,946
borjas_paper_rules,minor_0_17,uninsured,0.2523,0.0862,0.1661,0.1405,0.0338,666,946
borjas_paper_rules,minor_0_17,resources_per_person,13136.109,15310.682,-2174.573,-1696.2795,737.651,666,946
borjas_paper_rules,minor_0_17,parents_earnings,53942.4186,60028.8358,-6086.4172,-5800.0149,6365.8017,666,946
borjas_paper_rules,young_adult_18_24,hs_plus_19_24,0.9008,0.954,-0.0532,-0.034,0.0208,252,392
borjas_paper_rules,young_adult_18_24,college_18_24,0.414,0.6049,-0.1909,-0.1363,0.0415,315,470
borjas_paper_rules,young_adult_18_24,employed,0.5515,0.6275,-0.076,-0.0678,0.0392,315,470
borjas_paper_rules,young_adult_18_24,neet,0.1514,0.1134,0.038,0.0429,0.0275,315,470
no_medicaid_rule,minor_0_17,spm_poor,0.3621,0.1619,0.2002,0.1968,0.0343,922,690
no_medicaid_rule,minor_0_17,official_poor,0.2828,0.1739,0.1089,0.0993,0.0342,922,690
no_medicaid_rule,minor_0_17,uninsured,0.1824,0.1189,0.0635,0.0483,0.0285,922,690
no_medicaid_rule,minor_0_17,resources_per_person,12633.4165,16824.763,-4191.3465,-3852.709,845.9796,922,690
no_medicaid_rule,minor_0_17,parents_earnings,50487.9414,67071.2846,-16583.3432,-17954.0198,7479.1153,922,690
no_medicaid_rule,young_adult_18_24,hs_plus_19_24,0.8993,0.9683,-0.069,-0.0525,0.0183,324,320
no_medicaid_rule,young_adult_18_24,college_18_24,0.4426,0.6196,-0.177,-0.1216,0.041,406,379
no_medicaid_rule,young_adult_18_24,employed,0.555,0.6427,-0.0878,-0.0852,0.0394,406,379
no_medicaid_rule,young_adult_18_24,neet,0.1465,0.1096,0.0369,0.0413,0.0262,406,379
