rules,region,education,parents_millions,n,share_unauthorized,se
borjas_paper_rules,US,below_high_school,1.514,743,0.4695,0.0221
borjas_paper_rules,US,high_school,1.397,684,0.3729,0.026
borjas_paper_rules,US,some_college,0.465,233,0.2359,0.0328
borjas_paper_rules,US,bachelor_plus,0.335,162,0.2224,0.0407
borjas_paper_rules,US,all,3.711,1822,0.3815,0.0162
borjas_paper_rules,US,all_adults_25_64,9.457,4324,0.4142,0.0118
borjas_paper_rules,California,below_high_school,0.385,170,0.2632,0.0428
borjas_paper_rules,California,high_school,0.375,158,0.167,0.0384
borjas_paper_rules,California,some_college,0.124,53,0.1903,0.0666
borjas_paper_rules,California,bachelor_plus,0.079,34,0.024,0.0244
borjas_paper_rules,California,all,0.962,415,0.1968,0.0285
borjas_paper_rules,California,all_adults_25_64,2.958,1209,0.2432,0.0196
borjas_paper_rules,rest_of_US,below_high_school,1.129,573,0.5398,0.0273
borjas_paper_rules,rest_of_US,high_school,1.022,526,0.4484,0.0294
borjas_paper_rules,rest_of_US,some_college,0.341,180,0.2524,0.037
borjas_paper_rules,rest_of_US,bachelor_plus,0.257,128,0.283,0.0511
borjas_paper_rules,rest_of_US,all,2.749,1407,0.4462,0.0183
borjas_paper_rules,rest_of_US,all_adults_25_64,6.499,3115,0.492,0.0133
no_medicaid_rule,US,below_high_school,1.514,743,0.6191,0.0201
no_medicaid_rule,US,high_school,1.397,684,0.5216,0.0257
no_medicaid_rule,US,some_college,0.465,233,0.297,0.0348
no_medicaid_rule,US,bachelor_plus,0.335,162,0.285,0.0419
no_medicaid_rule,US,all,3.711,1822,0.5119,0.0147
no_medicaid_rule,US,all_adults_25_64,9.457,4324,0.5052,0.0115
no_medicaid_rule,California,below_high_school,0.385,170,0.6069,0.0422
no_medicaid_rule,California,high_school,0.375,158,0.4487,0.0484
no_medicaid_rule,California,some_college,0.124,53,0.2274,0.0746
no_medicaid_rule,California,bachelor_plus,0.079,34,0.1362,0.0665
no_medicaid_rule,California,all,0.962,415,0.4581,0.0318
no_medicaid_rule,California,all_adults_25_64,2.958,1209,0.4102,0.0201
no_medicaid_rule,rest_of_US,below_high_school,1.129,573,0.6233,0.024
no_medicaid_rule,rest_of_US,high_school,1.022,526,0.5484,0.0299
no_medicaid_rule,rest_of_US,some_college,0.341,180,0.3223,0.0394
no_medicaid_rule,rest_of_US,bachelor_plus,0.257,128,0.3306,0.0511
no_medicaid_rule,rest_of_US,all,2.749,1407,0.5307,0.0176
no_medicaid_rule,rest_of_US,all_adults_25_64,6.499,3115,0.5485,0.0135
