route_type,n,share_of_mexican_lprs_who_entered_without_papers,se
"adjusted inside, last entry without papers: needed 245(i)",438,0.7673,0.0161
left and returned on an immigrant visa,73,0.1126,0.0132
Cancellation of removal or registry,56,0.074,0.0093
Legalization classes (W),25,0.0351,0.0069
"adjusted inside, last entry documented",5,0.008,0.0043
Refugee/asylee/parolee,1,0.0018,0.0018
Other,1,0.0012,0.0012
