parent,group,n,years_school,no_hs,ba_plus,employed,inc_mid,inc_ge30k,arrested,incarcerated,any_welfare,parent_no_hs_share
mother,legal_entry,231,13.4589,0.1645,0.2035,0.6786,24780.8219,0.3105,0.1861,0.0996,0.2771,0.368
mother,no_green_card_any,150,13.4733,0.1933,0.2,0.7347,23662.069,0.2897,0.1467,0.1,0.3467,0.6
mother,no_papers,54,13.5556,0.1852,0.2407,0.6604,22365.3846,0.2692,0.1296,0.0556,0.4074,0.6481
mother,visa_or_card,78,13.5641,0.1923,0.2051,0.8026,25144.7368,0.3026,0.1667,0.141,0.2692,0.5769
mother,never_legalized_by_2004,7,11.4286,0.5714,0.0,0.7143,12000.0,0.1429,0.1429,0.1429,0.7143,0.4286
father,legal_entry,194,13.1907,0.1546,0.1289,0.7128,25126.3158,0.3105,0.1443,0.1134,0.3041,0.3763
father,no_green_card_any,157,13.3376,0.2038,0.1911,0.7532,24662.2517,0.3113,0.1592,0.1083,0.3248,0.5987
father,no_papers,72,13.3611,0.2222,0.2361,0.6944,22694.4444,0.2917,0.2222,0.1528,0.3611,0.5556
father,visa_or_card,75,13.3867,0.2,0.16,0.7778,26857.1429,0.3429,0.1067,0.0667,0.2667,0.6267
father,never_legalized_by_2004,12,12.4167,0.3333,0.0833,0.7273,13272.7273,0.0909,0.3333,0.3333,0.5,0.25
