numerator_variant,stock_date,numerator,unauthorized_mexicans,annual_rate
survey share as measured,Jan 2003,56529,5454000,0.0104
survey share as measured,Jul 2003,56529,5583000,0.0101
corrected for overstays missed,Jan 2003,62806,5454000,0.0115
corrected for overstays missed,Jul 2003,62806,5583000,0.0112
