group,n,n_with_us_move_answered,share_entered_without_papers,se,share_adjusted_inside_us,weighted_thousands
Mexico,1164,1111,0.5498,0.0165,0.764,1.5
All other countries,7409,6939,0.1576,0.0049,0.5333,7.0
All,8573,8050,0.2276,0.0055,0.5738,8.5
