census,sex,age_lo,age_hi,lvl_lo,lvl_hi,count
2000,H,15,19,0,0,128268.0
2000,H,15,19,1,1,37620.58445404339
2000,H,15,19,2,2,65371.17908030117
2000,H,15,19,3,3,107784.72981472038
2000,H,15,19,4,4,100023.16505351078
2000,H,15,19,5,5,120257.24432145797
2000,H,15,19,6,6,769317.0972759663
2000,H,15,19,7,7,262037.56289672558
2000,H,15,19,8,8,504219.16855117265
2000,H,15,19,9,9,1406098.2685521017
2000,H,15,19,10,10,511110.13329203194
2000,H,15,19,11,11,406865.0439420499
2000,H,15,19,13,13,345474.8227659181
2000,H,15,19,14,15,122113.0
2000,H,15,19,16,16,0.0
2000,H,20,24,0,0,147277.0
2000,H,20,24,1,1,36443.570915421384
2000,H,20,24,2,2,72453.01590716663
2000,H,20,24,3,3,130048.72226511265
2000,H,20,24,4,4,100988.29292262584
2000,H,20,24,5,5,98262.50227281597
2000,H,20,24,6,6,740859.8957168575
2000,H,20,24,7,7,90274.54775007788
2000,H,20,24,8,8,149053.396767941
2000,H,20,24,9,9,1136528.0554819813
2000,H,20,24,10,10,134156.1759018127
2000,H,20,24,11,11,173858.92660436302
2000,H,20,24,13,13,616635.8974938244
2000,H,20,24,14,15,415900.3976979048
2000,H,20,24,16,16,231730.60230209518
2000,H,25,29,0,0,135444.0
2000,H,25,29,1,1,34578.52469089567
2000,H,25,29,2,2,73030.34031253881
2000,H,25,29,3,3,128123.70240213523
2000,H,25,29,4,4,88537.50870315023
2000,H,25,29,5,5,85373.4541540918
2000,H,25,29,6,6,685497.4697371882
2000,H,25,29,7,7,78766.7770474279
2000,H,25,29,8,8,145005.84440137417
2000,H,25,29,9,9,1028241.3785511979
2000,H,25,29,10,10,97546.8942644591
2000,H,25,29,11,11,122724.78133695008
2000,H,25,29,13,13,522006.32439859083
2000,H,25,29,14,15,165903.79930701488
2000,H,25,29,16,16,445656.20069298515
2000,H,30,34,0,0,145548.0
2000,H,30,34,1,1,40184.34897131745
2000,H,30,34,2,2,86225.93519591638
2000,H,30,34,3,3,141003.85838599902
2000,H,30,34,4,4,84862.41438016528
2000,H,30,34,5,5,73293.99566164317
2000,H,30,34,6,6,603322.4474049587
2000,H,30,34,7,7,61453.00933447648
2000,H,30,34,8,8,115562.67552343977
2000,H,30,34,9,9,795767.3151420837
2000,H,30,34,10,10,78042.73762548208
2000,H,30,34,11,11,105084.97685133657
2000,H,30,34,13,13,478172.2855231813
2000,H,30,34,14,15,123786.6640179524
2000,H,30,34,16,16,425283.33598204755
2000,H,35,39,0,0,177708.0
2000,H,35,39,1,1,50634.80688234824
2000,H,35,39,2,2,110237.12159623594
2000,H,35,39,3,3,172112.3253990636
2000,H,35,39,4,4,91549.81165724028
2000,H,35,39,5,5,70360.52301602684
2000,H,35,39,6,6,594142.4114490851
