cohort,survey,coding,ref_census,n,noncit_share,k,ridit,mig_c1,mex_c1,q1,q5,breakeven_k_ridit_0.5,breakeven_k_c1_equal_mexico
1975-1979,1980,as coded,2000,17038,0.89066,1.00000,0.55120,0.39582,0.46360,0.11281,0.21427,1.77686,1.35514
1975-1979,1980,as coded,2000,17038,0.89066,1.10000,0.54308,0.41658,0.46485,0.11873,0.20691,1.77686,1.35514
1975-1979,1980,as coded,2000,17038,0.89066,1.25000,0.53189,0.44517,0.46658,0.12688,0.19677,1.77686,1.35514
1975-1979,1980,as coded,2000,17038,0.89066,1.50000,0.51549,0.48707,0.46910,0.13883,0.18191,1.77686,1.35514
1975-1979,1980,as coded,2000,17038,0.89066,1.75000,0.50140,0.52308,0.47128,0.14910,0.16914,1.77686,1.35514
1975-1979,1980,secundaria_as_diploma_0.5,2000,17038,0.89066,1.00000,0.55120,0.39582,0.46360,0.11281,0.21427,1.77686,1.35514
1975-1979,1980,secundaria_as_diploma_0.5,2000,17038,0.89066,1.10000,0.54308,0.41658,0.46485,0.11873,0.20691,1.77686,1.35514
1975-1979,1980,secundaria_as_diploma_0.5,2000,17038,0.89066,1.25000,0.53189,0.44517,0.46658,0.12688,0.19677,1.77686,1.35514
1975-1979,1980,secundaria_as_diploma_0.5,2000,17038,0.89066,1.50000,0.51549,0.48707,0.46910,0.13883,0.18191,1.77686,1.35514
1975-1979,1980,secundaria_as_diploma_0.5,2000,17038,0.89066,1.75000,0.50140,0.52308,0.47128,0.14910,0.16914,1.77686,1.35514
1980-1984,1990,as coded,2000,16409,0.80698,1.00000,0.51746,0.33978,0.38989,0.18174,0.19490,1.23536,1.29983
1980-1984,1990,as coded,2000,16409,0.80698,1.10000,0.50977,0.35462,0.39117,0.19113,0.18983,1.23536,1.29983
1980-1984,1990,as coded,2000,16409,0.80698,1.25000,0.49898,0.37545,0.39296,0.20431,0.18270,1.23536,1.29983
1980-1984,1990,as coded,2000,16409,0.80698,1.50000,0.48273,0.40682,0.39565,0.22416,0.17196,1.23536,1.29983
1980-1984,1990,as coded,2000,16409,0.80698,1.75000,0.46833,0.43463,0.39804,0.24175,0.16245,1.23536,1.29983
1980-1984,1990,secundaria_as_diploma_0.5,2000,16409,0.80698,1.00000,0.50980,0.33978,0.38989,0.18174,0.16925,1.13210,1.29983
