cohort,survey,ref_census,n,wN,ridit,ridit_se,mig_c1,mig_c2,mig_c3,mig_c4,mig_c5,hs_diploma_share,grade9_share,enrolled_share
1975-1979,1980,2000,17038,340760.00000,0.55120,0.00232,0.39582,0.32046,0.10353,0.10060,0.07959,0.09174,0.05494,0.03568
1975-1979,1990,2000,15520,316908.00000,0.51351,0.00258,0.40455,0.28960,0.14453,0.08812,0.07320,0.07622,0.05956,0.09821
1975-1979,2000,2000,16487,330832.00000,0.53381,0.00243,0.38035,0.29378,0.13797,0.11396,0.07393,0.09460,0.05123,0.02858
1975-1979,2005,2000,2556,301496.00000,0.55088,0.00776,0.35586,0.27822,0.13427,0.15083,0.08082,0.13719,0.06281,0.01932
1975-1979,2010,2000,2642,282783.00000,0.53456,0.00654,0.37454,0.28955,0.10775,0.15092,0.07725,0.13477,0.04974,0.01182
1975-1979,2015,2000,2338,244479.00000,0.52698,0.00757,0.38728,0.26803,0.11179,0.14510,0.08781,0.13080,0.04407,0.00580
1975-1979,2019,2000,2211,250158.00000,0.55655,0.00810,0.34477,0.25470,0.10701,0.19946,0.09406,0.17488,0.03747,0.00544
1975-1979,2024,2000,1854,187300.00000,0.51691,0.00904,0.39399,0.22551,0.11905,0.16212,0.09932,0.13476,0.04962,0.00582
1980-1984,1990,2000,16409,341490.00000,0.51746,0.00260,0.33978,0.27863,0.16942,0.11326,0.09890,0.09770,0.06999,0.10997
1980-1984,2000,2000,18769,384745.00000,0.53541,0.00229,0.31031,0.29317,0.16584,0.13276,0.09792,0.11243,0.06357,0.03693
1980-1984,2005,2000,3083,371946.00000,0.56311,0.00653,0.27516,0.28198,0.13425,0.19481,0.11380,0.17425,0.06352,0.02629
1980-1984,2010,2000,3071,341042.00000,0.54524,0.00625,0.30597,0.26737,0.12283,0.18256,0.12127,0.16056,0.06163,0.01528
1980-1984,2015,2000,2870,324272.00000,0.53254,0.00673,0.31646,0.27283,0.12104,0.17067,0.11900,0.15367,0.05988,0.00723
1980-1984,2019,2000,2493,300579.00000,0.54713,0.00776,0.29709,0.25900,0.12975,0.19133,0.12283,0.16956,0.05179,0.00844
1980-1984,2024,2000,2373,258197.00000,0.51666,0.00868,0.34723,0.20535,0.11762,0.20035,0.12944,0.17406,0.04160,0.00519
1985-1989,1990,2000,27800,567744.00000,0.51686,0.00233,0.28727,0.24334,0.20302,0.14224,0.12412,0.12533,0.07988,0.11357
1985-1989,2000,2000,33045,690155.00000,0.54536,0.00178,0.23537,0.26569,0.20953,0.16952,0.11989,0.14299,0.08681,0.04938
1985-1989,2005,2000,5467,687059.00000,0.56697,0.00490,0.19761,0.27221,0.18404,0.21842,0.12772,0.18845,0.08560,0.02682
1985-1989,2010,2000,5209,600484.00000,0.55051,0.00468,0.22961,0.26167,0.16285,0.20157,0.14430,0.18222,0.08165,0.01707
1985-1989,2015,2000,4993,578056.00000,0.55558,0.00521,0.22585,0.25202,0.15233,0.21674,0.15306,0.19667,0.07448,0.01003
1985-1989,2019,2000,4331,533608.00000,0.56193,0.00560,0.22666,0.22563,0.15648,0.23271,0.15852,0.20741,0.07223,0.01370
1985-1989,2024,2000,4036,452278.00000,0.53489,0.00626,0.27563,0.19341,0.14920,0.23867,0.14309,0.20664,0.05390,0.01158
1990-1994,2000,2000,36636,769832.00000,0.53033,0.00174,0.21712,0.26835,0.22657,0.18253,0.10543,0.15742,0.10037,0.04893
1990-1994,2005,2000,5568,717541.00000,0.55271,0.00507,0.17458,0.28373,0.18631,0.24445,0.11092,0.22286,0.09690,0.02638
1990-1994,2010,2000,5863,714595.00000,0.55434,0.00439,0.18680,0.26661,0.18555,0.22800,0.13304,0.20593,0.09479,0.02176
1990-1994,2015,2000,5517,673368.00000,0.53957,0.00494,0.20823,0.25124,0.16469,0.24519,0.13065,0.22218,0.08872,0.00914
1990-1994,2019,2000,4313,559634.00000,0.55143,0.00576,0.21056,0.22124,0.16699,0.25047,0.15073,0.22633,0.08490,0.01601
1990-1994,2024,2000,4654,553029.00000,0.53227,0.00609,0.24133,0.20389,0.16201,0.24819,0.14459,0.21976,0.06603,0.00785
1995-1999,2000,2000,56793,1214773.00000,0.52809,0.00155,0.18366,0.27036,0.23994,0.19850,0.10754,0.17477,0.10433,0.05488
1995-1999,2005,2000,7943,1145665.00000,0.56432,0.00426,0.13691,0.25380,0.20856,0.28329,0.11745,0.26054,0.10267,0.03029
1995-1999,2010,2000,8267,1076904.00000,0.55092,0.00377,0.15235,0.26145,0.21190,0.24821,0.12610,0.22903,0.11405,0.01943
1995-1999,2015,2000,7844,1043498.00000,0.54746,0.00415,0.16717,0.24920,0.19682,0.25421,0.13261,0.23268,0.10019,0.01804
1995-1999,2019,2000,6205,879250.00000,0.55885,0.00480,0.17223,0.21543,0.18446,0.27615,0.15173,0.25213,0.09840,0.01388
1995-1999,2024,2000,6023,766344.00000,0.53912,0.00545,0.22030,0.17966,0.17126,0.27879,0.15000,0.25031,0.07314,0.01084
2000-2004,2005,2000,9557,1488686.00000,0.54868,0.00434,0.13715,0.26697,0.19550,0.28707,0.11331,0.26080,0.10388,0.02847
2000-2004,2010,2000,9120,1247685.00000,0.54789,0.00384,0.14831,0.25221,0.20537,0.26475,0.12935,0.24688,0.11341,0.02086
2000-2004,2015,2000,8517,1205104.00000,0.54113,0.00419,0.15738,0.25176,0.19415,0.26615,0.13057,0.24607,0.10954,0.01852
2000-2004,2019,2000,6805,1018435.00000,0.55141,0.00462,0.15689,0.23069,0.20235,0.26688,0.14319,0.24610,0.10827,0.01801
2000-2004,2024,2000,7445,990555.00000,0.54058,0.00488,0.19734,0.18813,0.19205,0.27533,0.14715,0.24917,0.08996,0.01514
2005-2009,2010,2010,6402,943109.00000,0.51037,0.00465,0.14236,0.22978,0.19932,0.27723,0.15131,0.26043,0.10530,0.02749
2005-2009,2015,2010,5478,794142.00000,0.52309,0.00510,0.13668,0.21702,0.18981,0.28450,0.17199,0.26478,0.10199,0.02149
2005-2009,2019,2010,4418,654455.00000,0.52573,0.00579,0.13159,0.21436,0.17416,0.29840,0.18149,0.27750,0.09006,0.02405
2005-2009,2024,2010,4292,583612.00000,0.51237,0.00602,0.18260,0.16789,0.16669,0.31569,0.16712,0.28632,0.07765,0.01728
2010-2014,2015,2010,3682,518627.00000,0.56320,0.00639,0.12599,0.17524,0.18735,0.27765,0.23377,0.24936,0.10014,0.04453
2010-2014,2019,2010,3026,429681.00000,0.55416,0.00733,0.11940,0.17834,0.17776,0.28944,0.23506,0.26560,0.09191,0.02935
2010-2014,2024,2010,3338,437935.00000,0.57203,0.00692,0.14342,0.12535,0.17461,0.30394,0.25268,0.27064,0.07188,0.02699
2015-2019,2019,2020,3649,536365.00000,0.53139,0.00750,0.11345,0.14715,0.17527,0.27641,0.28771,0.25470,0.09783,0.04488
2015-2019,2024,2020,3886,524980.00000,0.53381,0.00666,0.13598,0.11285,0.15805,0.31084,0.28229,0.27508,0.07492,0.02325
2020-2023,2024,2020,4862,675929.00000,0.53954,0.00633,0.11749,0.11361,0.14069,0.32127,0.30694,0.29866,0.06945,0.03254
