anchor,census,sex,age_lo,age_hi,mean_years_scale,inegi_mean_years,ms_scale,inegi_media_superior,c5_tertiary,inegi_superior,c123,isced02_share,c5_credential,isced58_share
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,H,15,19,8.9609,8.9318,0.3396,0.3396,0.0355,0.0355,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,H,20,24,10.2601,10.2612,0.2739,0.2739,0.2347,0.2347,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,H,25,29,10.1304,10.1658,0.2129,0.2129,0.2404,0.2404,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,H,30,34,9.6054,9.6471,0.1875,0.1875,0.2091,0.2091,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,H,35,39,9.3801,9.4231,0.1828,0.1828,0.1913,0.1913,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,H,40,44,9.2243,9.2692,0.1876,0.1876,0.1943,0.1943,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,H,45,49,8.8719,8.9180,0.1604,0.1604,0.2105,0.2105,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,H,50,54,8.2799,8.3312,0.1203,0.1203,0.2102,0.2102,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,H,55,59,7.3582,7.4035,0.0885,0.0885,0.1800,0.1800,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,H,60,64,6.3667,6.3974,0.0688,0.0688,0.1464,0.1464,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,H,65,69,5.3296,5.3465,0.0503,0.0503,0.1126,0.1126,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,H,70,74,4.3568,4.3607,0.0368,0.0368,0.0812,0.0812,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,H,75,79,3.8072,3.8038,0.0307,0.0307,0.0634,0.0634,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,H,80,84,3.4113,3.4045,0.0275,0.0275,0.0551,0.0551,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,H,85,99,2.8606,2.8526,0.0208,0.0208,0.0426,0.0426,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,M,15,19,9.2359,9.2013,0.3776,0.3776,0.0436,0.0436,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,M,20,24,10.5151,10.5218,0.2770,0.2770,0.2578,0.2578,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,M,25,29,10.1883,10.2191,0.2049,0.2049,0.2520,0.2520,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,M,30,34,9.5239,9.5594,0.1798,0.1798,0.2095,0.2095,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,M,35,39,9.2241,9.2619,0.1809,0.1809,0.1867,0.1867,,,,
2010 grado promedio vs scale mean; Ed 14 media superior and superior shares,2010,M,40,44,8.8084,8.8443,0.1774,0.1774,0.1773,0.1773,,,,
