census,sex,age_lo,age_hi,n,c1_none_primary_incomplete,c2_primary,c3_lower_secondary,c4_upper_secondary,c5_tertiary,mean_years_scale
2010,H,40,44,3337689.000000,0.155574,0.211772,0.294908,0.143403,0.194343,9.224316
2010,H,45,49,2813691.000000,0.205312,0.224395,0.235018,0.124789,0.210486,8.871881
2010,H,50,54,2393293.000000,0.263683,0.248341,0.182921,0.094903,0.210153,8.279871
2010,H,55,59,1863441.000000,0.344166,0.255747,0.149783,0.070333,0.179970,7.358245
2010,H,60,64,1470912.000000,0.436875,0.244307,0.117120,0.055287,0.146411,6.366668
2010,H,65,69,1091443.000000,0.538545,0.221801,0.086144,0.040923,0.112588,5.329602
2010,H,70,74,870473.000000,0.630460,0.195247,0.063149,0.029989,0.081155,4.356830
2010,H,75,79,577442.000000,0.683420,0.175349,0.052657,0.025188,0.063386,3.807155
2010,H,80,84,353639.000000,0.721119,0.156502,0.044549,0.022712,0.055118,3.411318
2010,H,85,99,297051.000000,0.771958,0.133764,0.034059,0.017624,0.042595,2.860643
2010,M,15,19,5473766.000000,0.042310,0.246293,0.551277,0.116523,0.043597,9.235855
2010,M,20,24,5024705.000000,0.058429,0.142522,0.331506,0.209708,0.257836,10.515085
2010,M,25,29,4547015.000000,0.090519,0.180409,0.315595,0.161516,0.251961,10.188280
2010,M,30,34,4414867.000000,0.124523,0.208671,0.314598,0.142754,0.209455,9.523893
2010,M,35,39,4305677.000000,0.140032,0.217241,0.313071,0.142943,0.186713,9.224050
2010,M,40,44,3648032.000000,0.182494,0.222785,0.274869,0.142530,0.177322,8.808412
2010,M,45,49,3094817.000000,0.250891,0.243997,0.212045,0.121303,0.171764,8.132161
2010,M,50,54,2653762.000000,0.324161,0.268461,0.164191,0.097518,0.145668,7.255658
2010,M,55,59,2019925.000000,0.415358,0.264021,0.132183,0.079859,0.108579,6.228445
2010,M,60,64,1634143.000000,0.502045,0.244334,0.105185,0.065086,0.083349,5.343304
2010,M,65,69,1217850.000000,0.595785,0.213092,0.080614,0.049906,0.060604,4.445257
2010,M,70,74,996261.000000,0.666189,0.187662,0.064719,0.038164,0.043265,3.729094
2010,M,75,79,663225.000000,0.702947,0.172226,0.057140,0.032773,0.034914,3.363567
2010,M,80,84,441536.000000,0.726171,0.162550,0.051156,0.029495,0.030627,3.082316
2010,M,85,99,401993.000000,0.761821,0.150258,0.040438,0.022707,0.024777,2.666581
2010,T,15,19,10966519.000000,0.048201,0.265194,0.541528,0.105554,0.039523,9.098159
2010,T,20,24,9794873.000000,0.061485,0.149743,0.340076,0.202126,0.246570,10.390925
2010,T,25,29,8723796.000000,0.090341,0.178719,0.323258,0.161261,0.246421,10.160557
2010,T,30,34,8415318.000000,0.122795,0.204772,0.319751,0.143410,0.209271,9.562632
2010,T,35,39,8249413.000000,0.135434,0.215153,0.319534,0.140959,0.188920,9.298676
2010,T,40,44,6985721.000000,0.169631,0.217523,0.284444,0.142947,0.185455,9.007128
2010,T,45,49,5908508.000000,0.229186,0.234663,0.222986,0.122962,0.190204,8.484422
2010,T,50,54,5047055.000000,0.295483,0.258921,0.173073,0.096277,0.176246,7.741334
2010,T,55,59,3883366.000000,0.381197,0.260052,0.140629,0.075286,0.142836,6.770578
2010,T,60,64,3105055.000000,0.471173,0.244323,0.110840,0.060442,0.113222,5.828081
2010,T,65,69,2309293.000000,0.568732,0.217211,0.083227,0.045658,0.085173,4.863221
2010,T,70,74,1866734.000000,0.649529,0.191201,0.063986,0.034351,0.060933,4.021809
2010,T,75,79,1240667.000000,0.693860,0.173682,0.055050,0.029242,0.048166,3.570015
2010,T,80,84,795175.000000,0.723931,0.159857,0.048215,0.026478,0.041519,3.228600
2010,T,85,99,699044.000000,0.766141,0.143239,0.037726,0.020546,0.032348,2.748995
2020,H,15,19,5443494.000000,0.027370,0.163131,0.618335,0.146097,0.045067,9.617546
2020,H,20,24,5146096.000000,0.032317,0.092630,0.297328,0.279111,0.298614,11.220709
2020,H,25,29,4852343.000000,0.041541,0.110029,0.308885,0.230504,0.309041,11.278367
2020,H,30,34,4519549.000000,0.056997,0.126803,0.318183,0.210549,0.287468,10.942501
2020,H,35,39,4323684.000000,0.079806,0.149544,0.323053,0.188238,0.259358,10.457566
2020,H,40,44,4055519.000000,0.105928,0.175303,0.322048,0.169727,0.226995,9.921381
2020,H,45,49,3806941.000000,0.115655,0.189736,0.323107,0.162035,0.209467,9.676509
2020,H,50,54,3328930.000000,0.144965,0.199510,0.290155,0.158667,0.206704,9.403491
2020,H,55,59,2690675.000000,0.193744,0.215761,0.234295,0.133902,0.222297,9.040992
2020,H,60,64,2256061.000000,0.253514,0.243778,0.184218,0.099767,0.218723,8.403438
2020,H,65,69,1705605.000000,0.338029,0.252873,0.149570,0.073085,0.186443,7.445133
2020,H,70,74,1232683.000000,0.426932,0.242814,0.117381,0.057377,0.155495,6.524496
2020,H,75,79,847283.000000,0.531316,0.220926,0.085262,0.042555,0.119941,5.461334
2020,H,80,84,523433.000000,0.602232,0.204639,0.065073,0.033755,0.094301,4.706347
2020,H,85,99,433666.000000,0.689574,0.175499,0.046581,0.024846,0.063500,3.751674
2020,M,15,19,5324353.000000,0.021399,0.136086,0.623656,0.162671,0.056188,9.839749
2020,M,20,24,5234208.000000,0.025286,0.081312,0.287853,0.273648,0.331900,11.489526
2020,M,25,29,5121225.000000,0.032737,0.093589,0.313816,0.236254,0.323604,11.508775
2020,M,30,34,4884026.000000,0.049436,0.113326,0.324279,0.214530,0.298429,11.109584
2020,M,35,39,4679920.000000,0.075513,0.144808,0.334209,0.180671,0.264801,10.494226
2020,M,40,44,4432868.000000,0.101554,0.171510,0.339758,0.161562,0.225616,9.890828
2020,M,45,49,4123677.000000,0.118642,0.187290,0.332218,0.157298,0.204552,9.552059
2020,M,50,54,3702564.000000,0.163378,0.207241,0.286937,0.149707,0.192737,9.053839
2020,M,55,59,3000917.000000,0.230600,0.235038,0.224000,0.124063,0.186299,8.364530
2020,M,60,64,2561524.000000,0.302510,0.265752,0.174972,0.100373,0.156394,7.468538
2020,M,65,69,1937059.000000,0.398249,0.264099,0.138055,0.081767,0.117830,6.407870
2020,M,70,74,1413060.000000,0.475711,0.250029,0.109973,0.068979,0.095307,5.639061
2020,M,75,79,966119.000000,0.566761,0.224253,0.083882,0.054050,0.071053,4.752531
2020,M,80,84,651111.000000,0.614611,0.213656,0.070005,0.046322,0.055407,4.238394
2020,M,85,99,605100.000000,0.689506,0.184413,0.051576,0.035075,0.039430,3.455977
2020,T,15,19,10767847.000000,0.024418,0.149749,0.620975,0.154292,0.050566,9.727432
2020,T,20,24,10380304.000000,0.028771,0.086909,0.292564,0.276357,0.315398,11.356282
2020,T,25,29,9973568.000000,0.037019,0.101574,0.311431,0.233457,0.316519,11.396702
2020,T,30,34,9403575.000000,0.053069,0.119790,0.321362,0.212618,0.293161,11.029307
2020,T,35,39,9003604.000000,0.077573,0.147069,0.328865,0.184306,0.262187,10.476648
2020,T,40,44,8488387.000000,0.103643,0.173311,0.331307,0.165464,0.226275,9.905449
2020,T,45,49,7930618.000000,0.117208,0.188455,0.327853,0.159573,0.206911,9.611818
2020,T,50,54,7031494.000000,0.154660,0.203577,0.288463,0.153950,0.199350,9.219384
2020,T,55,59,5691592.000000,0.213177,0.225928,0.228863,0.128715,0.203317,8.684321
2020,T,60,64,4817585.000000,0.279565,0.255479,0.179284,0.100090,0.185583,7.906323
2020,T,65,69,3642664.000000,0.370052,0.258864,0.143425,0.077702,0.149956,6.893515
2020,T,70,74,2645743.000000,0.452985,0.246691,0.113401,0.063573,0.123349,6.051560
2020,T,75,79,1813402.000000,0.550200,0.222721,0.084504,0.048679,0.093895,5.083673
2020,T,80,84,1174544.000000,0.609094,0.209661,0.067784,0.040722,0.072740,4.446899
2020,T,85,99,1038766.000000,0.689534,0.180715,0.049467,0.030804,0.049479,3.579389
