check,cohort,survey,sex,subset,edited_or_allocated_share,hs_diploma_share,n,wN,ridit,ridit_se,q1,q5,mig_c1_none_primary_incomplete,mig_c3_lower_secondary,mig_c4_upper_secondary,mig_c5_tertiary,diff_c1_none_primary_incomplete,diff_c5_tertiary,position
"allocation, main survey",1975-1979,1980,P,all records,0.14250,0.00000,17038,340760.00000,0.55120,0.00232,0.11281,0.21427,0.39582,0.10353,0.10060,0.07959,-0.06778,-0.02822,middle (fewer in both tails)
"allocation, main survey",1975-1979,1980,P,education as reported,0.00000,0.00000,14610,292200.00000,0.53460,0.00249,0.12244,0.18897,0.41567,0.09760,0.09370,0.06359,-0.04823,-0.04389,middle (fewer in both tails)
"allocation, main survey",1975-1979,1980,H,all records,0.14993,0.00000,9491,189820.00000,0.52109,0.00288,0.13050,0.17546,0.39174,0.10768,0.10009,0.08387,-0.03376,-0.05759,middle (fewer in both tails)
"allocation, main survey",1975-1979,1980,H,education as reported,0.00000,0.00000,8068,161360.00000,0.50379,0.00309,0.13999,0.15059,0.41225,0.10102,0.09184,0.06780,-0.01302,-0.07374,middle (fewer in both tails)
"allocation, main survey",1975-1979,1980,M,all records,0.13317,0.00000,7547,150940.00000,0.58907,0.00304,0.09057,0.26308,0.40095,0.09832,0.10123,0.07420,-0.11056,0.00872,"top (fewer at bottom, more at top)"
"allocation, main survey",1975-1979,1980,M,education as reported,0.00000,0.00000,6542,130840.00000,0.57261,0.00324,0.10079,0.23631,0.41990,0.09340,0.09600,0.05839,-0.09166,-0.00708,middle (fewer in both tails)
"allocation, main survey",1980-1984,1990,P,all records,0.08100,0.09770,16409,341490.00000,0.51746,0.00260,0.18174,0.19490,0.33978,0.16942,0.11326,0.09890,-0.05011,-0.02747,middle (fewer in both tails)
"allocation, main survey",1980-1984,1990,P,education as reported,0.00000,0.09157,15075,313829.00000,0.50369,0.00271,0.19120,0.17693,0.35648,0.16601,0.10481,0.08650,-0.03343,-0.03971,middle (fewer in both tails)
"allocation, main survey",1980-1984,1990,H,all records,0.08707,0.10043,8879,186258.00000,0.49391,0.00333,0.20115,0.15655,0.32799,0.17571,0.11698,0.10750,-0.02006,-0.05337,middle (fewer in both tails)
"allocation, main survey",1980-1984,1990,H,education as reported,0.00000,0.09418,8094,170041.00000,0.48034,0.00346,0.21148,0.14124,0.34342,0.17261,0.10874,0.09496,-0.00426,-0.06605,middle (fewer in both tails)
"allocation, main survey",1980-1984,1990,M,all records,0.07372,0.09443,7530,155232.00000,0.54572,0.00351,0.15845,0.24092,0.35392,0.16187,0.10881,0.08859,-0.08617,0.00361,"top (fewer at bottom, more at top)"
"allocation, main survey",1980-1984,1990,M,education as reported,0.00000,0.08849,6981,143788.00000,0.53130,0.00362,0.16722,0.21913,0.37192,0.15821,0.10017,0.07648,-0.06793,-0.00856,middle (fewer in both tails)
"allocation, main survey",1985-1989,1990,P,all records,0.08117,0.12533,27800,567744.00000,0.51686,0.00233,0.19476,0.19525,0.28727,0.20302,0.14224,0.12412,-0.02783,-0.01312,middle (fewer in both tails)
"allocation, main survey",1985-1989,1990,P,education as reported,0.00000,0.11955,25539,521661.00000,0.50741,0.00246,0.20140,0.18484,0.29786,0.20094,0.13461,0.11600,-0.01809,-0.02072,middle (fewer in both tails)
"allocation, main survey",1985-1989,1990,H,all records,0.09462,0.12492,15376,315513.00000,0.49751,0.00296,0.20888,0.16004,0.27665,0.21437,0.14258,0.12354,-0.00503,-0.04055,middle (fewer in both tails)
"allocation, main survey",1985-1989,1990,H,education as reported,0.00000,0.11893,13926,285659.00000,0.48805,0.00314,0.21610,0.15127,0.28660,0.21249,0.13483,0.11528,0.00430,-0.04869,"bottom (more at bottom, fewer at top)"
"allocation, main survey",1985-1989,1990,M,all records,0.06434,0.12583,12424,252231.00000,0.54106,0.00298,0.17710,0.23928,0.30056,0.18883,0.14181,0.12485,-0.05635,0.02119,"top (fewer at bottom, more at top)"
"allocation, main survey",1985-1989,1990,M,education as reported,0.00000,0.12031,11613,236002.00000,0.53084,0.00308,0.18360,0.22547,0.31149,0.18695,0.13434,0.11687,-0.04519,0.01314,"top (fewer at bottom, more at top)"
"allocation, main survey",1990-1994,2000,P,all records,0.13550,0.15742,36636,769832.00000,0.53033,0.00174,0.16700,0.19777,0.21712,0.22657,0.18253,0.10543,-0.04084,-0.03294,middle (fewer in both tails)
"allocation, main survey",1990-1994,2000,P,education as reported,0.00000,0.14899,31686,665517.00000,0.52063,0.00188,0.17237,0.18514,0.22493,0.22661,0.17237,0.10026,-0.03164,-0.03799,middle (fewer in both tails)
"allocation, main survey",1990-1994,2000,H,all records,0.15681,0.16660,17192,361778.00000,0.52346,0.00241,0.17355,0.17626,0.19690,0.24007,0.19256,0.10962,-0.03097,-0.05260,middle (fewer in both tails)
"allocation, main survey",1990-1994,2000,H,education as reported,0.00000,0.15590,14509,305049.00000,0.51473,0.00263,0.17924,0.16779,0.20320,0.24102,0.18014,0.10667,-0.02317,-0.05581,middle (fewer in both tails)
"allocation, main survey",1990-1994,2000,M,all records,0.11662,0.14928,19444,408054.00000,0.53643,0.00224,0.16120,0.21684,0.23505,0.21461,0.17363,0.10171,-0.04959,-0.01552,middle (fewer in both tails)
"allocation, main survey",1990-1994,2000,M,education as reported,0.00000,0.14314,17177,360468.00000,0.52563,0.00235,0.16655,0.19983,0.24333,0.21441,0.16579,0.09484,-0.03880,-0.02291,middle (fewer in both tails)
