arm,allocation,weighting,group,metric,n_adults_unweighted,weighted_adults,estimate,se_sdr,difference_from_third_plus_nh_white,se_sdr_difference
raw,equal_all_members,person,third_plus_nh_white,modeled_tax_total,36287,87647853.34583464,14383.315562099571,237.54421674441295,0.0,0.0
raw,equal_all_members,person,third_plus_nh_white,selected_cash_total,36287,87647853.34583464,2453.3193668505855,48.06680457289511,0.0,0.0
raw,equal_all_members,person,third_plus_nh_white,selected_noncash_total,36287,87647853.34583464,145.33449477843425,4.223249838962086,0.0,0.0
raw,equal_all_members,person,third_plus_nh_white,cash_noncash_tax_balance,36287,87647853.34583464,11784.661700470548,250.00037788263788,0.0,0.0
raw,equal_all_members,person,third_plus_nh_white,employer_payroll,36287,87647853.34583464,3488.823409575924,27.5932451187669,0.0,0.0
raw,equal_all_members,person,third_plus_nh_white,sales_tax_share35,36287,87647853.34583464,1049.7298752419933,10.483413397918133,0.0,0.0
raw,equal_all_members,person,third_plus_nh_white,sales_tax_itep,36287,87647853.34583464,1812.480943110831,12.441644036504737,0.0,0.0
raw,equal_all_members,person,third_plus_nh_white,property_tax_owner,36287,87647853.34583464,1312.755842800073,16.3065121544571,0.0,0.0
raw,equal_all_members,person,third_plus_nh_white,property_tax_owner_plus_renter,36287,87647853.34583464,1617.0211882840392,15.54598451841698,0.0,0.0
raw,equal_all_members,person,third_plus_nh_white,children_5_17,36287,87647853.34583464,0.11928148236839922,0.0014632538722677212,0.0,0.0
raw,equal_all_members,person,third_plus_nh_white,k12_cost_at_full_attendance,36287,87647853.34583464,2057.485283315253,28.850964838429732,0.0,0.0
raw,equal_all_members,person,third_plus_nh_white,k12_charged_acs_native,36287,87647853.34583464,1651.5460069294804,23.158705513652368,0.0,0.0
raw,equal_all_members,person,third_plus_nh_white,k12_charged_differential,36287,87647853.34583464,1651.5460069294804,23.158705513652368,0.0,0.0
raw,equal_all_members,person,third_plus_nh_white,extended_balance_base,36287,87647853.34583464,15984.424821159055,291.83292329225793,0.0,0.0
raw,equal_all_members,person,third_plus_nh_white,extended_balance_pupil_differential,36287,87647853.34583464,15984.424821159055,291.83292329225793,0.0,0.0
raw,equal_all_members,person,all_native,modeled_tax_total,55652,134686458.17077535,13110.121066215712,184.3527627673565,-1273.1944958838594,104.11100443804978
raw,equal_all_members,person,all_native,selected_cash_total,55652,134686458.17077535,2450.8695873707807,37.556896159934,-2.4497794798048744,25.640025844069086
raw,equal_all_members,person,all_native,selected_noncash_total,55652,134686458.17077535,187.63855596408482,3.8061576005770106,42.30406118565057,2.8975681985754496
raw,equal_all_members,person,all_native,cash_noncash_tax_balance,55652,134686458.17077535,10471.612922880842,195.42683311726245,-1313.0487775897054,105.62473648157999
raw,equal_all_members,person,all_native,employer_payroll,55652,134686458.17077535,3307.299102333651,22.44260419331996,-181.52430724227315,12.761700050905953
raw,equal_all_members,person,all_native,sales_tax_share35,55652,134686458.17077535,996.5354850161478,8.228729958101283,-53.194390225845495,4.725236191485544
raw,equal_all_members,person,all_native,sales_tax_itep,55652,134686458.17077535,1732.4293767619838,10.060772842843692,-80.05156634884725,5.747195571790528
raw,equal_all_members,person,all_native,property_tax_owner,55652,134686458.17077535,1179.93847057842,12.274358538517577,-132.81737222165293,8.089025216544924
raw,equal_all_members,person,all_native,property_tax_owner_plus_renter,55652,134686458.17077535,1575.6918265267782,11.50759237694583,-41.32936175726104,7.63040479444841
raw,equal_all_members,person,all_native,children_5_17,55652,134686458.17077535,0.12074618475835265,0.001224860409028728,0.001464702389953429,0.0008062420879134301
raw,equal_all_members,person,all_native,k12_cost_at_full_attendance,55652,134686458.17077535,2105.0561506345584,23.668712563745647,47.57086731930531,15.896298365978554
raw,equal_all_members,person,all_native,k12_charged_acs_native,55652,134686458.17077535,1689.7312015476298,18.99890513959328,38.18519461814935,12.759978554494964
raw,equal_all_members,person,all_native,k12_charged_differential,55652,134686458.17077535,1689.7312015476298,18.99890513959328,38.18519461814935,12.759978554494964
raw,equal_all_members,person,all_native,extended_balance_base,55652,134686458.17077535,14265.654779261436,231.61216091525242,-1718.7700418976183,123.62827661326496
raw,equal_all_members,person,all_native,extended_balance_pupil_differential,55652,134686458.17077535,14265.654779261436,231.61216091525242,-1718.7700418976183,123.62827661326496
raw,equal_all_members,person,all_second_gen,modeled_tax_total,6871,16869387.509126462,13653.327275501477,350.807762864685,-729.9882865980944,398.8944518008728
raw,equal_all_members,person,all_second_gen,selected_cash_total,6871,16869387.509126462,1823.429271814246,73.05264934194528,-629.8900950363395,86.20958387762272
raw,equal_all_members,person,all_second_gen,selected_noncash_total,6871,16869387.509126462,166.7887004427308,7.003565832783131,21.454205664296552,8.044722002121906
raw,equal_all_members,person,all_second_gen,cash_noncash_tax_balance,6871,16869387.509126462,11663.109303244508,360.92794236945406,-121.55239722603983,413.21013150246506
raw,equal_all_members,person,all_second_gen,employer_payroll,6871,16869387.509126462,3494.3221196765962,49.490402222530385,5.49871010067227,52.40174925803506
