arm,unauth_all_ages_millions,unauth_18plus_millions,unauth_25_64_millions,unauth_mexico_all_ages_millions,unauth_mexico_18plus_millions,unauth_mexico_25_64_millions,n_unweighted,n_unweighted_mexico
borjas_paper_rules,14.896400744023408,13.25524579711209,11.31176874701092,4.56714438160163,4.32719338683836,3.9170610819750302,5973,1995
no_occupation_rule,15.12950990084321,13.488354953931891,11.541961296899629,4.58996092018878,4.35000992542551,3.93987762056218,6078,2006
wide_refugee_list,14.31649804917492,12.766985217568491,10.89945173062722,4.56447642750313,4.32452543273986,3.9143931278765303,5762,1994
no_medicaid_rule,18.581325048426173,15.982734515205198,13.62047646593587,5.709560908219401,5.28592847222148,4.778136460024849,7516,2515
