table,group,metric,standardisation,estimate,se,n_unweighted,weighted,flag_small_cell
gate_bier,foreign_born,prdisflg_age15plus_universe,crude,0.07678534434058117,0.0021676871148515325,20622,50445862.55863634,False
gate_bier,foreign_born,prdisflg_allages_undr15_as_nondisabled,crude,0.07292233935197918,0.002067826821171958,21743,53118193.43076774,False
gate_bier,us_born,prdisflg_age15plus_universe,crude,0.13750180026206366,0.0016805187210144313,93348,226898886.80613023,False
gate_bier,us_born,prdisflg_allages_undr15_as_nondisabled,crude,0.10963505490999927,0.0013385055547022616,120382,284571439.6632794,False
adults25_64,third_plus_nh_white,prdisflg_any,crude,0.09815619381528125,0.002325645676015954,36287,87647853.34583466,False
adults25_64,third_plus_nh_white,prdisflg_any,age_std_to_third_plus_nh_white,0.09815619381528089,0.0023257004406750845,36287,87647853.34583466,False
adults25_64,third_plus_nh_white,pedisear,crude,0.0214732245723563,0.0010117163580450482,36287,87647853.34583466,False
adults25_64,third_plus_nh_white,pedisear,age_std_to_third_plus_nh_white,0.02147322457235621,0.0010072486602537654,36287,87647853.34583466,False
adults25_64,third_plus_nh_white,pediseye,crude,0.013156350486723752,0.0007401601771111387,36287,87647853.34583466,False
adults25_64,third_plus_nh_white,pediseye,age_std_to_third_plus_nh_white,0.013156350486723712,0.0007408014337443865,36287,87647853.34583466,False
adults25_64,third_plus_nh_white,pedisrem,crude,0.04357172653530333,0.0015618127398320406,36287,87647853.34583466,False
adults25_64,third_plus_nh_white,pedisrem,age_std_to_third_plus_nh_white,0.04357172653530312,0.0015623616260151982,36287,87647853.34583466,False
adults25_64,third_plus_nh_white,pedisphy,crude,0.04403814310680888,0.0014768718239926662,36287,87647853.34583466,False
adults25_64,third_plus_nh_white,pedisphy,age_std_to_third_plus_nh_white,0.04403814310680874,0.0014761894112817519,36287,87647853.34583466,False
adults25_64,third_plus_nh_white,pedisdrs,crude,0.014412992733828432,0.0008666515952170515,36287,87647853.34583466,False
adults25_64,third_plus_nh_white,pedisdrs,age_std_to_third_plus_nh_white,0.014412992733828374,0.0008682223271742859,36287,87647853.34583466,False
adults25_64,third_plus_nh_white,pedisout,crude,0.03158173187475619,0.0012437621309074201,36287,87647853.34583466,False
adults25_64,third_plus_nh_white,pedisout,age_std_to_third_plus_nh_white,0.03158173187475605,0.001243856583044141,36287,87647853.34583466,False
adults25_64,third_plus_nh_white,dis_hp_prevents_work,crude,0.09461356544672887,0.002008652570212569,36287,87647853.34583466,False
adults25_64,third_plus_nh_white,dis_hp_prevents_work,age_std_to_third_plus_nh_white,0.09461356544672885,0.002007508076089793,36287,87647853.34583466,False
adults25_64,third_plus_nh_white,ssdi_receipt,crude,0.0320072451062425,0.0013480144345122049,36287,87647853.34583466,False
adults25_64,third_plus_nh_white,ssdi_receipt,age_std_to_third_plus_nh_white,0.03200724510624233,0.0013436558103582074,36287,87647853.34583466,False
adults25_64,third_plus_nh_white,ssi_receipt,crude,0.01987554814660849,0.0009336456518842542,36287,87647853.34583466,False
adults25_64,third_plus_nh_white,ssi_receipt,age_std_to_third_plus_nh_white,0.019875548146608413,0.0009359512455341004,36287,87647853.34583466,False
adults25_64,third_plus_nh_white,other_disability_income_receipt,crude,0.01418297132541228,0.0008028556191005012,36287,87647853.34583466,False
adults25_64,third_plus_nh_white,other_disability_income_receipt,age_std_to_third_plus_nh_white,0.014182971325412241,0.0008050228039454727,36287,87647853.34583466,False
adults25_64,third_plus_nh_white,any_disability_income_receipt,crude,0.05772644863499033,0.0017060058821319055,36287,87647853.34583466,False
adults25_64,third_plus_nh_white,any_disability_income_receipt,age_std_to_third_plus_nh_white,0.05772644863499009,0.0017078106451803767,36287,87647853.34583466,False
adults25_64,third_plus_nh_white,ssdi_dollars_per_adult,crude,569.6781731124212,26.79663946665594,36287,87647853.34583466,False
adults25_64,third_plus_nh_white,ssdi_dollars_per_adult,age_std_to_third_plus_nh_white,569.6781731124186,26.661926179485253,36287,87647853.34583466,False
adults25_64,third_plus_nh_white,ssi_dollars_per_adult,crude,229.1874081418357,11.872100346730724,36287,87647853.34583466,False
adults25_64,third_plus_nh_white,ssi_dollars_per_adult,age_std_to_third_plus_nh_white,229.18740814183502,11.90712338845265,36287,87647853.34583466,False
adults25_64,third_plus_nh_white,other_disability_dollars_per_adult,crude,230.79586425152561,18.402394087187616,36287,87647853.34583466,False
adults25_64,third_plus_nh_white,other_disability_dollars_per_adult,age_std_to_third_plus_nh_white,230.79586425152493,18.40463720288612,36287,87647853.34583466,False
adults25_64,third_plus_nh_white,all_disability_dollars_per_adult,crude,1029.661445505781,35.36616465428509,36287,87647853.34583466,False
adults25_64,third_plus_nh_white,all_disability_dollars_per_adult,age_std_to_third_plus_nh_white,1029.6614455057781,35.315864483570685,36287,87647853.34583466,False
disabled_adults25_64,third_plus_nh_white,any_disability_income_given_disabled,crude,0.327644694874796,0.01066717654045929,3322,8603179.68050706,False
disabled_adults25_64,third_plus_nh_white,ssdi_given_disabled,crude,0.19812413190039052,0.008839683368851946,3322,8603179.68050706,False
disabled_adults25_64,third_plus_nh_white,ssi_given_disabled,crude,0.12509615753397219,0.0071666906141045345,3322,8603179.68050706,False
disabled_adults25_64,third_plus_nh_white,all_disability_dollars_per_disabled_adult,crude,6091.730970810556,232.4841373839324,3322,8603179.68050706,False
adults25_64,mexican_second_gen,prdisflg_any,crude,0.06268445591246567,0.005169673174811887,2452,5614636.31290289,False
adults25_64,mexican_second_gen,prdisflg_any,age_std_to_third_plus_nh_white,0.08613587350439435,0.008515529418661481,2452,5614636.31290289,False
adults25_64,mexican_second_gen,pedisear,crude,0.00946927354633799,0.0019215206599791782,2452,5614636.31290289,False
adults25_64,mexican_second_gen,pedisear,age_std_to_third_plus_nh_white,0.014859347762838718,0.003653220255069247,2452,5614636.31290289,False
adults25_64,mexican_second_gen,pediseye,crude,0.010952165101168785,0.0020665169331440286,2452,5614636.31290289,False
adults25_64,mexican_second_gen,pediseye,age_std_to_third_plus_nh_white,0.01280607264770517,0.002838967033972523,2452,5614636.31290289,False
adults25_64,mexican_second_gen,pedisrem,crude,0.027052418940155698,0.0038766695232632198,2452,5614636.31290289,False
adults25_64,mexican_second_gen,pedisrem,age_std_to_third_plus_nh_white,0.031460325872456125,0.0057735374031922995,2452,5614636.31290289,False
adults25_64,mexican_second_gen,pedisphy,crude,0.02576456670055239,0.00357357583383477,2452,5614636.31290289,False
adults25_64,mexican_second_gen,pedisphy,age_std_to_third_plus_nh_white,0.04164530086784988,0.0063022976458191925,2452,5614636.31290289,False
adults25_64,mexican_second_gen,pedisdrs,crude,0.011968877256980457,0.002578926649552112,2452,5614636.31290289,False
adults25_64,mexican_second_gen,pedisdrs,age_std_to_third_plus_nh_white,0.016925745931640104,0.004529384225484591,2452,5614636.31290289,False
adults25_64,mexican_second_gen,pedisout,crude,0.026107965907191853,0.004152445589316058,2452,5614636.31290289,False
adults25_64,mexican_second_gen,pedisout,age_std_to_third_plus_nh_white,0.03778172921547354,0.007055655210911113,2452,5614636.31290289,False
adults25_64,mexican_second_gen,dis_hp_prevents_work,crude,0.07347425531860005,0.006413368719496351,2452,5614636.31290289,False
adults25_64,mexican_second_gen,dis_hp_prevents_work,age_std_to_third_plus_nh_white,0.09873797967891532,0.009805828540857256,2452,5614636.31290289,False
adults25_64,mexican_second_gen,ssdi_receipt,crude,0.019577725281448913,0.0034401975328237186,2452,5614636.31290289,False
adults25_64,mexican_second_gen,ssdi_receipt,age_std_to_third_plus_nh_white,0.03374434625229204,0.006851171039700228,2452,5614636.31290289,False
adults25_64,mexican_second_gen,ssi_receipt,crude,0.020360996418798186,0.003944028705583226,2452,5614636.31290289,False
adults25_64,mexican_second_gen,ssi_receipt,age_std_to_third_plus_nh_white,0.029752583282499134,0.006754807513090453,2452,5614636.31290289,False
adults25_64,mexican_second_gen,other_disability_income_receipt,crude,0.012498535708035578,0.002366707428294378,2452,5614636.31290289,False
adults25_64,mexican_second_gen,other_disability_income_receipt,age_std_to_third_plus_nh_white,0.013800970631814057,0.0038512016027278393,2452,5614636.31290289,False
adults25_64,mexican_second_gen,any_disability_income_receipt,crude,0.046361345437955594,0.005232824332854785,2452,5614636.31290289,False
adults25_64,mexican_second_gen,any_disability_income_receipt,age_std_to_third_plus_nh_white,0.06701297791574128,0.009104476069928974,2452,5614636.31290289,False
adults25_64,mexican_second_gen,ssdi_dollars_per_adult,crude,285.05211324529813,54.43865888702288,2452,5614636.31290289,False
adults25_64,mexican_second_gen,ssdi_dollars_per_adult,age_std_to_third_plus_nh_white,504.7489827579868,106.56002359045607,2452,5614636.31290289,False
adults25_64,mexican_second_gen,ssi_dollars_per_adult,crude,229.06041624947196,49.04340291719632,2452,5614636.31290289,False
