table,group,metric,standardisation,difference,se_sdr,n_unweighted
adults25_64,mexican_second_gen,prdisflg_any,crude,-0.035471737902815575,0.005404382793021467,2452
adults25_64,mexican_third_plus_selfid,prdisflg_any,crude,-0.003978306844930668,0.0077688796776830375,2477
adults25_64,mexico_born,prdisflg_any,crude,-0.055449783341627784,0.004023434794962267,4318
adults25_64,all_native,prdisflg_any,crude,0.0012126769620039168,0.001140150874457963,55652
adults25_64,all_foreign_born,prdisflg_any,crude,-0.05763007097011539,0.0025444618778961044,15203
adults25_64,all_second_gen,prdisflg_any,crude,-0.02915676822684883,0.004211449612457343,6871
adults25_64,all_third_plus,prdisflg_any,crude,0.0055610615929476415,0.001045733988351426,48781
adults25_64,mexican_second_gen,pedisear,crude,-0.01200395102601831,0.0020108903105173085,2452
adults25_64,mexican_third_plus_selfid,pedisear,crude,-0.0025757160411045907,0.003225449157290133,2477
adults25_64,mexico_born,pedisear,crude,-0.013451008458487587,0.0019095291633688233,4318
adults25_64,all_native,pedisear,crude,-0.0024391600213525023,0.0005073687540660938,55652
adults25_64,all_foreign_born,pedisear,crude,-0.014543271262252837,0.0012819309223760429,15203
adults25_64,all_second_gen,pedisear,crude,-0.011215232810191192,0.0016168557605426824,6871
adults25_64,all_third_plus,pedisear,crude,-0.0011825766429693525,0.00044889743980713084,48781
adults25_64,mexican_second_gen,pediseye,crude,-0.0022041853855549673,0.0022923267788838406,2452
adults25_64,mexican_third_plus_selfid,pediseye,crude,0.0032343320829782557,0.0033546835208317434,2477
adults25_64,mexico_born,pediseye,crude,-0.001229962905851036,0.0021187898001846337,4318
adults25_64,all_native,pediseye,crude,0.0018054774842868205,0.0004721842923472141,55652
adults25_64,all_foreign_born,pediseye,crude,-0.004700476232212127,0.001109327020743025,15203
adults25_64,all_second_gen,pediseye,crude,-0.0027707327643964694,0.0017003254643194342,6871
adults25_64,all_third_plus,pediseye,crude,0.002460712447902363,0.0004445513485173602,48781
adults25_64,mexican_second_gen,pedisrem,crude,-0.01651930759514763,0.004265709484688551,2452
adults25_64,mexican_third_plus_selfid,pedisrem,crude,0.001468694040883442,0.0057046322083683055,2477
adults25_64,mexico_born,pedisrem,crude,-0.03345095684614806,0.0021486974034401114,4318
adults25_64,all_native,pedisrem,crude,0.0011047511133342597,0.0008044566370872567,55652
adults25_64,all_foreign_born,pedisrem,crude,-0.03157137439876268,0.0018218305159725797,15203
adults25_64,all_second_gen,pedisrem,crude,-0.009972808203582574,0.00307319400135747,6871
adults25_64,all_third_plus,pedisrem,crude,0.0026908679614527087,0.0007615637572507488,48781
adults25_64,mexican_second_gen,pedisphy,crude,-0.018273576406256493,0.003785500411872648,2452
adults25_64,mexican_third_plus_selfid,pedisphy,crude,0.0008150309211759632,0.004743730314269552,2477
adults25_64,mexico_born,pedisphy,crude,-0.02534551311532005,0.002578225995112491,4318
adults25_64,all_native,pedisphy,crude,0.002056326340373643,0.0007924238178059611,55652
adults25_64,all_foreign_born,pedisphy,crude,-0.023151479836653308,0.001910693492102496,15203
adults25_64,all_second_gen,pedisphy,crude,-0.017888813127837834,0.0023945328572205896,6871
adults25_64,all_third_plus,pedisphy,crude,0.004912128854587396,0.0007471129573703275,48781
adults25_64,mexican_second_gen,pedisdrs,crude,-0.0024441154768479745,0.0026155866787406774,2452
adults25_64,mexican_third_plus_selfid,pedisdrs,crude,0.004335555553921084,0.003179536135175724,2477
adults25_64,mexico_born,pedisdrs,crude,-0.005916706612147944,0.0017015171384130575,4318
adults25_64,all_native,pedisdrs,crude,0.0015211383806256924,0.00048181535202325047,55652
adults25_64,all_foreign_born,pedisdrs,crude,-0.007788405690700176,0.001097066236631628,15203
adults25_64,all_second_gen,pedisdrs,crude,-0.004614079908513291,0.0016734070503426287,6871
adults25_64,all_third_plus,pedisdrs,crude,0.0023995966056633393,0.0004796415505281975,48781
adults25_64,mexican_second_gen,pedisout,crude,-0.00547376596756434,0.004344716384555024,2452
adults25_64,mexican_third_plus_selfid,pedisout,crude,7.149047940555736e-05,0.004244485986378522,2477
adults25_64,mexico_born,pedisout,crude,-0.01793642718816773,0.002295213403413387,4318
adults25_64,all_native,pedisout,crude,0.0029560038338212885,0.0007086746802981912,55652
adults25_64,all_foreign_born,pedisout,crude,-0.018674431650385796,0.0016496319227256083,15203
adults25_64,all_second_gen,pedisout,crude,-0.0061225674497853155,0.0029178376984948435,6871
adults25_64,all_third_plus,pedisout,crude,0.004255899817928843,0.0006714832826684372,48781
adults25_64,mexican_second_gen,dis_hp_prevents_work,crude,-0.02113931012812882,0.006598722103842283,2452
adults25_64,mexican_third_plus_selfid,dis_hp_prevents_work,crude,-0.010789780664891543,0.007709601427709493,2477
adults25_64,mexico_born,dis_hp_prevents_work,crude,-0.03748328391717061,0.004064467594915149,4318
adults25_64,all_native,dis_hp_prevents_work,crude,0.006331377448844516,0.0011455798871995353,55652
adults25_64,all_foreign_born,dis_hp_prevents_work,crude,-0.04547563835461205,0.0028948053487065895,15203
adults25_64,all_second_gen,dis_hp_prevents_work,crude,-0.02055670632981997,0.004188745338454235,6871
adults25_64,all_third_plus,dis_hp_prevents_work,crude,0.010181290726206285,0.0011186467664918204,48781
adults25_64,mexican_second_gen,ssdi_receipt,crude,-0.012429519824793584,0.0036926776315667756,2452
adults25_64,mexican_third_plus_selfid,ssdi_receipt,crude,-0.006144915010674323,0.0038620475195305266,2477
adults25_64,mexico_born,ssdi_receipt,crude,-0.01931253036206036,0.0026539077458662616,4318
adults25_64,all_native,ssdi_receipt,crude,0.0009787437126350176,0.0007157489429058363,55652
adults25_64,all_foreign_born,ssdi_receipt,crude,-0.021094864151387758,0.001676263372564483,15203
adults25_64,all_second_gen,ssdi_receipt,crude,-0.014434693500967849,0.0024105257026891167,6871
adults25_64,all_third_plus,ssdi_receipt,crude,0.003185684046014929,0.0006532619726213968,48781
adults25_64,mexican_second_gen,ssi_receipt,crude,0.0004854482721896973,0.003898394195246842,2452
adults25_64,mexican_third_plus_selfid,ssi_receipt,crude,0.0060149432086108075,0.005036216417004722,2477
adults25_64,mexico_born,ssi_receipt,crude,-0.01131192273045672,0.001860482484451142,4318
adults25_64,all_native,ssi_receipt,crude,0.0054170148886658435,0.0006695286818978641,55652
adults25_64,all_foreign_born,ssi_receipt,crude,-0.010472052408545427,0.0013054310341095025,15203
adults25_64,all_second_gen,ssi_receipt,crude,-0.0006615566281271829,0.0023436942023249306,6871
adults25_64,all_third_plus,ssi_receipt,crude,0.0062873622656873275,0.0006997233879284672,48781
adults25_64,mexican_second_gen,other_disability_income_receipt,crude,-0.0016844356173767016,0.00246166829979514,2452
adults25_64,mexican_third_plus_selfid,other_disability_income_receipt,crude,-0.00024571506486150904,0.0038930280764618626,2477
adults25_64,mexico_born,other_disability_income_receipt,crude,-0.006626197151659211,0.0017099698637094388,4318
adults25_64,all_native,other_disability_income_receipt,crude,0.0007263465842258301,0.00047177375484239555,55652
adults25_64,all_foreign_born,other_disability_income_receipt,crude,-0.007076719865195401,0.001090671758820776,15203
adults25_64,all_second_gen,other_disability_income_receipt,crude,0.001209766820581418,0.0019642310488364786,6871
adults25_64,all_third_plus,other_disability_income_receipt,crude,0.0006571290824577396,0.0004159247591457384,48781
adults25_64,mexican_second_gen,any_disability_income_receipt,crude,-0.011365103197034737,0.005344782922098174,2452
