rate,group,start_age,lifetime_balance,budget_vs_white_child
0.0,mexico_born,0,-154904.44856820846,554574.4737311935
0.0,mexico_born,25,-109094.90062602011,508764.92578900506
0.0,mexican_second_gen,0,-109104.19504400264,508774.2202069876
0.0,mexican_third_plus_selfid,0,15749.544302631133,383920.48086035385
0.0,third_plus_nh_white,0,399670.02516298497,0.0
0.0,all_native,0,270373.0649913276,129296.96017165738
0.02,mexico_born,0,-39261.53181704368,324579.33966585685
0.02,mexico_born,25,5548.957520502854,279768.85032831033
0.02,mexican_second_gen,0,-16093.316879354494,301411.12472816766
0.02,mexican_third_plus_selfid,0,77903.86244730861,207413.94540150458
0.02,third_plus_nh_white,0,285317.8078488132,0.0
0.02,all_native,0,208280.5007261556,77037.3071226576
0.03,mexico_born,0,-27370.502953795833,257872.89571052304
0.03,mexico_born,25,28423.310650769086,202079.0821059581
0.03,mexican_second_gen,0,-12409.586281663569,242911.97903839077
0.03,mexican_third_plus_selfid,0,69113.20191721142,161389.19083951577
0.03,third_plus_nh_white,0,230502.3927567272,0.0
0.03,all_native,0,167816.5910213561,62685.80173537112
0.05,mexico_born,0,-23863.337484252574,175717.6161571688
0.05,mexico_born,25,46389.43922785502,105464.83944506121
0.05,mexican_second_gen,0,-18801.028034572813,170655.30670748904
0.05,mexican_third_plus_selfid,0,44076.43413405168,107777.84453886456
0.05,third_plus_nh_white,0,151854.27867291623,0.0
0.05,all_native,0,106913.86646664968,44940.412206266556
