line,bn
gross receipts,416.97910789748244
gross outlays,-634.2955102110319
net,-217.31640231354947
20% of gross outlays,126.85910204220639
20% of gross receipts,83.3958215794965
20% of the net,43.463280462709896
replicate standard error of the central,8.700282162278883
