cut,group,n_group,outcome_id,outcome,variable,estimate,jrr_se,n_base,small_cell_flag,replicates_used
origin,Foreign born: Americas (excluding U.S.),23,party_dem_or_lean,Democrat or leans Democratic,party+partyln,67.33,15.94,22,n<50,100
origin,Foreign born: Americas (excluding U.S.),23,fert_none,No children ever born,fertREC,36.72,20.61,23,n<50,100
origin,Foreign born: Americas (excluding U.S.),23,fert_3plus,Three or more children ever born,fertREC,25.86,12.94,23,n<50,100
origin,Foreign born: Americas (excluding U.S.),23,fert_mean_floor,Mean children ever born (top code 4+ counted as 4: a floor),fertREC,1.51,0.51,23,n<50,100
origin,Foreign born: Americas (excluding U.S.),23,satisfied_country,Satisfied with the way things are going in the country,qa2,11.61,8.17,21,n<50,100
origin,Foreign born: Americas (excluding U.S.),23,homeowner,Owns their home,qa6,71.62,11.06,23,n<50,100
origin,Foreign born: Americas (excluding U.S.),23,civilians_often_sometimes,Killing civilians often or sometimes justified,qf3,11.23,7.23,23,n<50,100
origin,Foreign born: Americas (excluding U.S.),23,civilians_rarely_never,Killing civilians rarely or never justified,qf3,83.42,9.7,23,n<50,100
origin,Foreign born: Americas (excluding U.S.),23,civilians_no_answer,Killing civilians: no answer given (volunteered DK/refused),qf3,5.35,5.68,23,n<50,100
origin,Foreign born: Americas (excluding U.S.),23,homosexuality_accepted,Homosexuality should be accepted by society,qb2c,42.92,16.79,23,n<50,100
origin,Foreign born: Americas (excluding U.S.),23,discrim_a_lot,A lot of discrimination against Muslims in the U.S.,qb7a,89.9,8.0,21,n<50,100
origin,Foreign born: Americas (excluding U.S.),23,harder_to_be_muslim,Has become more difficult to be a Muslim in the U.S.,qc3,76.66,12.87,22,n<50,100
origin,Foreign born: Americas (excluding U.S.),23,exp_suspicion,Past year: people acted suspicious of them,qd1a,46.9,18.58,23,n<50,100
origin,Foreign born: Americas (excluding U.S.),23,exp_offensive_names,Past year: called offensive names,qd1c,42.04,20.05,23,n<50,100
origin,Foreign born: Americas (excluding U.S.),23,exp_threatened,Past year: physically threatened or attacked,qd1f,23.5,23.19,23,n<50,100
origin,Foreign born: Americas (excluding U.S.),23,proud_american,Completely or mostly agree: proud to be an American,qc17b,100.0,0.0,23,n<50,100
origin,Foreign born: Americas (excluding U.S.),23,belong_muslim_community,Completely or mostly agree: strong belonging to U.S. Muslim community,qc17d,72.44,25.81,21,n<50,100
origin,Foreign born: Americas (excluding U.S.),23,lot_in_common,A lot in common with most Americans,qc13,78.06,12.39,22,n<50,100
origin,Foreign born: Americas (excluding U.S.),23,employed_full_time,Employed full time,employ,21.48,11.94,23,n<50,100
origin,Foreign born: Americas (excluding U.S.),23,employed_part_time,Employed part time,employ,40.46,20.49,23,n<50,100
origin,Foreign born: Americas (excluding U.S.),23,not_employed,Not employed,employ,38.06,15.37,23,n<50,100
origin,Foreign born: Americas (excluding U.S.),23,looking_for_work_of_not_employed,Looking for work (base: not employed),employ1,76.4,12.9,13,n<50,100
origin,Foreign born: South Asia,245,age_18_29,Aged 18-29,agerec,27.89,5.37,242,,100
origin,Foreign born: South Asia,245,age_30_49,Aged 30-49,agerec,51.99,5.06,242,,100
origin,Foreign born: South Asia,245,age_50_plus,Aged 50 or older,agerec,20.12,3.73,242,,100
origin,Foreign born: South Asia,245,female,Female,sex,47.48,7.23,245,,100
origin,Foreign born: South Asia,245,race_black,"Black, non-Hispanic",racethn,0.0,0.0,238,,100
origin,Foreign born: South Asia,245,income_lt_30k,"Family income under $30,000",income,47.34,5.52,221,,100
origin,Foreign born: South Asia,245,income_30_75k,"Family income $30,000-$75,000",income,21.51,4.33,221,,100
origin,Foreign born: South Asia,245,income_75_100k,"Family income $75,000-$100,000",income,8.94,2.94,221,,100
origin,Foreign born: South Asia,245,income_ge_100k,"Family income $100,000 or more",income,22.21,4.79,221,,100
origin,Foreign born: South Asia,245,income_refused,Income not reported (of all respondents),income,9.41,2.37,245,,100
origin,Foreign born: South Asia,245,edu_lt_hs,Did not finish high school,educrec,14.3,6.85,244,,100
origin,Foreign born: South Asia,245,edu_hs,High school graduate,educrec,23.67,6.85,244,,100
