cut,group,n_group,outcome_id,outcome,variable,estimate,jrr_se,n_base,small_cell_flag,replicates_used
nativity,All Muslim adults,1001,age_18_29,Aged 18-29,agerec,34.94,3.31,993,,100
nativity,All Muslim adults,1001,age_30_49,Aged 30-49,agerec,44.13,3.51,993,,100
nativity,All Muslim adults,1001,age_50_plus,Aged 50 or older,agerec,20.93,2.46,993,,100
nativity,All Muslim adults,1001,female,Female,sex,49.45,3.21,1001,,100
nativity,All Muslim adults,1001,race_black,"Black, non-Hispanic",racethn,19.67,3.64,969,,100
nativity,All Muslim adults,1001,income_lt_30k,"Family income under $30,000",income,40.48,2.14,888,,100
nativity,All Muslim adults,1001,income_30_75k,"Family income $30,000-$75,000",income,27.66,2.31,888,,100
nativity,All Muslim adults,1001,income_75_100k,"Family income $75,000-$100,000",income,7.66,1.42,888,,100
nativity,All Muslim adults,1001,income_ge_100k,"Family income $100,000 or more",income,24.2,1.97,888,,100
nativity,All Muslim adults,1001,income_refused,Income not reported (of all respondents),income,12.21,1.46,1001,,100
nativity,All Muslim adults,1001,edu_lt_hs,Did not finish high school,educrec,8.37,1.83,997,,100
nativity,All Muslim adults,1001,edu_hs,High school graduate,educrec,30.17,2.28,997,,100
nativity,All Muslim adults,1001,edu_some_college,Some college or associate degree,educrec,30.19,3.4,997,,100
nativity,All Muslim adults,1001,edu_ba_plus,Four-year college degree or more,educrec,31.26,2.75,997,,100
nativity,All Muslim adults,1001,edu_postgrad,Postgraduate or professional schooling,educrec,11.95,1.68,997,,100
nativity,All Muslim adults,1001,citizen_yes_of_foreign_born,U.S. citizen (item asked of the foreign born only),citizen,69.68,2.59,640,,100
nativity,All Muslim adults,1001,citizen_or_us_born,"U.S. citizen, counting the U.S. born as citizens",citizen+respondent_birthregion2,82.45,1.7,996,,100
nativity,All Muslim adults,1001,party_republican,Identifies as Republican,party,7.11,1.62,960,,100
nativity,All Muslim adults,1001,party_democrat,Identifies as Democrat,party,40.19,2.53,960,,100
nativity,All Muslim adults,1001,party_independent,Identifies as independent,party,44.15,2.37,960,,100
nativity,All Muslim adults,1001,party_rep_or_lean,Republican or leans Republican,party+partyln,14.36,1.79,960,,100
nativity,All Muslim adults,1001,party_dem_or_lean,Democrat or leans Democratic,party+partyln,68.66,2.72,960,,100
nativity,All Muslim adults,1001,fert_none,No children ever born,fertREC,38.76,2.56,967,,100
nativity,All Muslim adults,1001,fert_3plus,Three or more children ever born,fertREC,25.96,2.34,967,,100
nativity,All Muslim adults,1001,fert_mean_floor,Mean children ever born (top code 4+ counted as 4: a floor),fertREC,1.47,0.09,967,,100
nativity,All Muslim adults,1001,satisfied_country,Satisfied with the way things are going in the country,qa2,31.37,3.44,930,,100
nativity,All Muslim adults,1001,homeowner,Owns their home,qa6,36.67,3.29,1000,,100
nativity,All Muslim adults,1001,civilians_often_sometimes,Killing civilians often or sometimes justified,qf3,11.53,2.7,1001,,100
nativity,All Muslim adults,1001,civilians_rarely_never,Killing civilians rarely or never justified,qf3,83.51,3.48,1001,,100
nativity,All Muslim adults,1001,civilians_no_answer,Killing civilians: no answer given (volunteered DK/refused),qf3,4.96,1.55,1001,,100
nativity,All Muslim adults,1001,homosexuality_accepted,Homosexuality should be accepted by society,qb2c,52.37,2.48,1001,,100
nativity,All Muslim adults,1001,discrim_a_lot,A lot of discrimination against Muslims in the U.S.,qb7a,76.91,1.82,978,,100
nativity,All Muslim adults,1001,harder_to_be_muslim,Has become more difficult to be a Muslim in the U.S.,qc3,51.27,3.48,978,,100
nativity,All Muslim adults,1001,exp_suspicion,Past year: people acted suspicious of them,qd1a,32.15,2.45,993,,100
nativity,All Muslim adults,1001,exp_offensive_names,Past year: called offensive names,qd1c,19.36,2.14,1000,,100
nativity,All Muslim adults,1001,exp_threatened,Past year: physically threatened or attacked,qd1f,5.96,1.6,1001,,100
nativity,All Muslim adults,1001,proud_american,Completely or mostly agree: proud to be an American,qc17b,93.62,1.21,980,,100
nativity,All Muslim adults,1001,belong_muslim_community,Completely or mostly agree: strong belonging to U.S. Muslim community,qc17d,82.26,2.27,977,,100
nativity,All Muslim adults,1001,lot_in_common,A lot in common with most Americans,qc13,60.36,2.49,989,,100
nativity,All Muslim adults,1001,employed_full_time,Employed full time,employ,43.76,2.84,981,,100
nativity,All Muslim adults,1001,employed_part_time,Employed part time,employ,16.06,2.31,981,,100
nativity,All Muslim adults,1001,not_employed,Not employed,employ,40.18,2.59,981,,100
nativity,All Muslim adults,1001,looking_for_work_of_not_employed,Looking for work (base: not employed),employ1,45.85,6.44,335,,100
nativity,U.S. born,356,age_18_29,Aged 18-29,agerec,44.61,5.29,353,,100
nativity,U.S. born,356,age_30_49,Aged 30-49,agerec,41.5,6.35,353,,100
nativity,U.S. born,356,age_50_plus,Aged 50 or older,agerec,13.89,3.13,353,,100
nativity,U.S. born,356,female,Female,sex,53.02,4.6,356,,100
nativity,U.S. born,356,race_black,"Black, non-Hispanic",racethn,32.07,6.79,345,,100
nativity,U.S. born,356,income_lt_30k,"Family income under $30,000",income,45.41,4.15,314,,100
nativity,U.S. born,356,income_30_75k,"Family income $30,000-$75,000",income,26.96,2.8,314,,100
nativity,U.S. born,356,income_75_100k,"Family income $75,000-$100,000",income,9.3,2.98,314,,100
nativity,U.S. born,356,income_ge_100k,"Family income $100,000 or more",income,18.33,3.81,314,,100
nativity,U.S. born,356,income_refused,Income not reported (of all respondents),income,11.44,2.66,356,,100
nativity,U.S. born,356,edu_lt_hs,Did not finish high school,educrec,7.06,1.95,355,,100
nativity,U.S. born,356,edu_hs,High school graduate,educrec,35.54,3.59,355,,100
nativity,U.S. born,356,edu_some_college,Some college or associate degree,educrec,36.74,4.98,355,,100
nativity,U.S. born,356,edu_ba_plus,Four-year college degree or more,educrec,20.65,3.18,355,,100
nativity,U.S. born,356,edu_postgrad,Postgraduate or professional schooling,educrec,6.56,1.47,355,,100
nativity,U.S. born,356,citizen_yes_of_foreign_born,U.S. citizen (item asked of the foreign born only),citizen,,,0,n<50,0
nativity,U.S. born,356,citizen_or_us_born,"U.S. citizen, counting the U.S. born as citizens",citizen+respondent_birthregion2,100.0,0.0,356,,100
nativity,U.S. born,356,party_republican,Identifies as Republican,party,6.85,1.98,350,,100
nativity,U.S. born,356,party_democrat,Identifies as Democrat,party,42.88,5.14,350,,100
nativity,U.S. born,356,party_independent,Identifies as independent,party,40.4,3.04,350,,100
nativity,U.S. born,356,party_rep_or_lean,Republican or leans Republican,party+partyln,15.43,3.63,350,,100
nativity,U.S. born,356,party_dem_or_lean,Democrat or leans Democratic,party+partyln,67.59,5.45,350,,100
nativity,U.S. born,356,fert_none,No children ever born,fertREC,47.14,2.98,344,,100
nativity,U.S. born,356,fert_3plus,Three or more children ever born,fertREC,19.29,2.84,344,,100
nativity,U.S. born,356,fert_mean_floor,Mean children ever born (top code 4+ counted as 4: a floor),fertREC,1.19,0.11,344,,100
nativity,U.S. born,356,satisfied_country,Satisfied with the way things are going in the country,qa2,18.1,5.66,339,,100
nativity,U.S. born,356,homeowner,Owns their home,qa6,23.37,4.99,355,,100
nativity,U.S. born,356,civilians_often_sometimes,Killing civilians often or sometimes justified,qf3,9.7,4.41,356,,100
nativity,U.S. born,356,civilians_rarely_never,Killing civilians rarely or never justified,qf3,88.56,4.19,356,,100
nativity,U.S. born,356,civilians_no_answer,Killing civilians: no answer given (volunteered DK/refused),qf3,1.74,0.95,356,,100
nativity,U.S. born,356,homosexuality_accepted,Homosexuality should be accepted by society,qb2c,56.59,4.97,356,,100
nativity,U.S. born,356,discrim_a_lot,A lot of discrimination against Muslims in the U.S.,qb7a,90.57,2.51,356,,100
nativity,U.S. born,356,harder_to_be_muslim,Has become more difficult to be a Muslim in the U.S.,qc3,62.59,6.48,353,,100
nativity,U.S. born,356,exp_suspicion,Past year: people acted suspicious of them,qd1a,48.2,4.81,352,,100
nativity,U.S. born,356,exp_offensive_names,Past year: called offensive names,qd1c,24.76,4.09,356,,100
nativity,U.S. born,356,exp_threatened,Past year: physically threatened or attacked,qd1f,8.79,3.25,356,,100
nativity,U.S. born,356,proud_american,Completely or mostly agree: proud to be an American,qc17b,90.33,2.23,355,,100
nativity,U.S. born,356,belong_muslim_community,Completely or mostly agree: strong belonging to U.S. Muslim community,qc17d,86.84,2.07,352,,100
nativity,U.S. born,356,lot_in_common,A lot in common with most Americans,qc13,68.64,3.08,353,,100
