allocation,weighting,group,metric,source,n_adults_unweighted,weighted_adults,estimate,se_sdr,difference_from_third_plus_nh_white,se_sdr_difference
equal_all_members,person,all_native,housing_subsidy_capped_resource,cps_asec_2025,55652,134686458.17077535,85.67926539036398,4.845896477572906,44.822695580579236,3.111207113168778
equal_all_members,person,all_native,college_fte_18_24,cps_asec_2025,55652,134686458.17077535,15.784507832616582,0.4896129469807622,0.4494343881070524,0.2923659069690308
equal_all_members,person,all_native,extended_balance,cps_asec_2025,55652,134686458.17077535,14265.654779261346,231.61216091521874,-1718.7700418975637,123.62827661325379
equal_all_members,person,all_native,residual_balance_cps_only,cps_asec_2025,55652,134686458.17077535,13687.649411413486,232.1175642910308,-1767.0023301579677,124.8636060328281
equal_all_members,person,all_native,after_edu_assistance_government,cps_asec_2025,55652,134686458.17077535,14196.338990797649,231.94831890612625,-1732.253426396921,124.5163565266733
equal_all_members,person,all_native,after_higher_ed_subsidy_nces,cps_asec_2025,55652,134686458.17077535,14053.85715800232,232.09298689779018,-1736.310330547356,124.22437630931127
equal_all_members,person,all_native,after_aptc_measured,cps_asec_2025,55652,134686458.17077535,13838.320584789151,232.18108831544555,-1743.8459351924757,124.91351596586897
equal_all_members,person,all_native,after_uncompensated_care,cps_asec_2025,55652,134686458.17077535,13705.91451779006,232.37318029505727,-1761.8459392018176,125.00773353874803
equal_all_members,person,all_native,after_other_public_transfers,cps_asec_2025,55652,134686458.17077535,13687.649411413486,232.1175642910308,-1767.0023301579677,124.8636060328281
equal_all_members,person,all_native,institutional_care_base,acs_pums_2023,55652,134686458.17077535,1333.858727128502,,228.71859322133741,
equal_all_members,person,all_native,institutional_care_generic_hispanic_adjusted,acs_pums_2023,55652,134686458.17077535,1333.858727128502,,228.71859322133741,
equal_all_members,person,all_native,institutional_care_prison_45k,acs_pums_2023,55652,134686458.17077535,1150.6658526887513,,157.25793397700568,
equal_all_members,person,all_native,institutional_care_prison_70k,acs_pums_2023,55652,134686458.17077535,1505.3753609558612,,295.624534635029,
equal_all_members,person,all_native,institutional_care_nursing_medicaid_share_062,acs_pums_2023,55652,134686458.17077535,1139.2270067614797,,263.60333316016306,
equal_all_members,person,all_native,institutional_care_nursing_062_and_hispanic_adj,acs_pums_2023,55652,134686458.17077535,1139.2270067614797,,263.60333316016306,
equal_all_members,person,all_native,full_residual_balance_cps_plus_acs,combined,55652,134686458.17077535,12353.790684284984,,-1995.7209233793037,
equal_all_members,person,all_second_gen,edu_assistance_government,cps_asec_2025,6871,16869387.509126462,100.45973502972339,17.981902079019545,44.62733106538339,19.468652768070058
equal_all_members,person,all_second_gen,higher_ed_subsidy_nces,cps_asec_2025,6871,16869387.509126462,166.3022554915357,9.40738882797434,27.877326846642376,10.552254858957452
equal_all_members,person,all_second_gen,aptc_measured,cps_asec_2025,6871,16869387.509126462,234.84333293659788,16.01748222845532,26.842364368548402,18.074884329350912
equal_all_members,person,all_second_gen,uncompensated_care,cps_asec_2025,6871,16869387.509126462,153.31405167453426,6.288188346641852,38.9079886847848,6.77184766579871
equal_all_members,person,all_second_gen,other_public_transfers,cps_asec_2025,6871,16869387.509126462,20.305956845686783,9.458038018184435,7.197241425262588,9.996868978140567
equal_all_members,person,all_second_gen,edu_assistance_government_proportional,cps_asec_2025,6871,16869387.509126462,92.00683592495649,17.676621143471788,43.13473495905263,18.599539657281547
equal_all_members,person,all_second_gen,higher_ed_subsidy_brief074,cps_asec_2025,6871,16869387.509126462,159.27799782355495,9.01004050028471,26.69984716492334,10.106549796879744
equal_all_members,person,all_second_gen,aptc_fallback_share,cps_asec_2025,6871,16869387.509126462,326.1662988906716,17.38102284188919,22.476256604929347,19.170355294315033
equal_all_members,person,all_second_gen,uncompensated_care_2024_prices,cps_asec_2025,6871,16869387.509126462,183.97686200944116,7.545826015970224,46.689586421741836,8.126217198958456
equal_all_members,person,all_second_gen,uncompensated_care_ever_uninsured,cps_asec_2025,6871,16869387.509126462,126.15957298181817,6.214190700906168,38.0831681005952,6.742666150226879
equal_all_members,person,all_second_gen,housing_subsidy_capped_resource,cps_asec_2025,6871,16869387.509126462,84.57830274505348,9.127227199045102,43.72173293526873,9.890308055040217
equal_all_members,person,all_second_gen,college_fte_18_24,cps_asec_2025,6871,16869387.509126462,18.423396182435898,1.0421749897962989,3.0883227379263687,1.1690062249005542
equal_all_members,person,all_second_gen,extended_balance,cps_asec_2025,6871,16869387.509126462,15657.872183584497,438.8908751656426,-326.5526375744121,488.48089504688653
equal_all_members,person,all_second_gen,residual_balance_cps_only,cps_asec_2025,6871,16869387.509126462,14982.646851606421,442.97904602349223,-472.0048899650319,490.4049567279259
equal_all_members,person,all_second_gen,after_edu_assistance_government,cps_asec_2025,6871,16869387.509126462,15557.412448554775,440.09630982435556,-371.17996863979533,489.48324016884897
