band,proxy,institutional,institutional_adj,population,pct,pct_adj
18_39,native_all,995012.0,995012.0,84129088.0,1.1827205353753507,1.1827205353753507
18_39,native_nh_white,341095.0,341095.0,49470504.0,0.6894916615363369,0.6894916615363369
18_39,native_mexican,107251.0,131958.72774801683,9935811.0,1.0794388097760717,1.3281122975066335
18_39,foreign_mexican,20981.0,20981.0,3234215.0,0.6487200139755706,0.6487200139755706
40_64,native_all,976564.0,976564.0,82514651.0,1.183503763471047,1.183503763471047
40_64,native_nh_white,468504.0,468504.0,59170549.0,0.7917857919486263,0.7917857919486263
40_64,native_mexican,60041.0,72781.93577871434,4470696.0,1.3429899952937976,1.6279777416919945
40_64,foreign_mexican,22683.0,22683.0,5782092.0,0.3922974591203322,0.3922974591203322
65_plus,native_all,1320450.0,1320450.0,50737963.0,2.6024891854645404,2.6024891854645404
65_plus,native_nh_white,1048356.0,1048356.0,41342552.0,2.535779600640038,2.535779600640038
65_plus,native_mexican,22649.0,27526.974971304662,1410694.0,1.6055218211745426,1.9513072977771693
65_plus,foreign_mexican,13805.0,13805.0,1426526.0,0.9677356038375746,0.9677356038375746
25_64,native_all,1794143.0,1794143.0,138957087.0,1.2911489717685287,1.2911489717685287
25_64,native_nh_white,761450.0,761450.0,93555066.0,0.8139056841667986,0.8139056841667986
25_64,native_mexican,145567.0,176621.85882410622,10316459.0,1.411017094140538,1.712039555666399
25_64,foreign_mexican,40771.0,40771.0,8478703.0,0.4808636415263042,0.4808636415263042
