group,stratum_kind,stratum,generation,n_wave1,n_wave3,arrest5_n,arrest5_pct,incarc5_n,incarc5_pct,BAplus_n,BAplus_pct,noHS_n,noHS_pct,flag_small_cell
Lao/Hmong/Cambodian,wave-I family income (P56),$15-35k,2nd,4,3,3,33.3,3,33.3,3,0.0,3,0.0,YES(<40)
Lao/Hmong/Cambodian,wave-I family income (P56),$35k+,2nd,2,2,2,0.0,2,0.0,2,0.0,2,50.0,YES(<40)
Lao/Hmong/Cambodian,wave-I family income (P56),ALL (no stratum),2nd,8,6,6,16.7,6,16.7,6,0.0,6,16.7,YES(<40)
Nicaraguan,"parental education (child report, V36/V41)",<HS,2nd,8,7,7,0.0,7,0.0,7,14.3,7,0.0,YES(<40)
Nicaraguan,"parental education (child report, V36/V41)",HS grad,2nd,4,1,1,0.0,1,0.0,1,0.0,1,0.0,YES(<40)
Nicaraguan,"parental education (child report, V36/V41)",Some college+,2nd,13,8,8,25.0,7,0.0,8,37.5,8,0.0,YES(<40)
Nicaraguan,"parental education (child report, V36/V41)",ALL (no stratum),2nd,26,16,16,12.5,15,0.0,16,25.0,16,0.0,YES(<40)
Nicaraguan,wave-I family income (P56),<$15k,2nd,5,4,4,0.0,4,0.0,4,25.0,4,0.0,YES(<40)
Nicaraguan,wave-I family income (P56),$15-35k,2nd,6,3,3,33.3,2,0.0,3,66.7,3,0.0,YES(<40)
Nicaraguan,wave-I family income (P56),$35k+,2nd,2,2,2,0.0,2,0.0,2,50.0,2,0.0,YES(<40)
Nicaraguan,wave-I family income (P56),ALL (no stratum),2nd,26,16,16,12.5,15,0.0,16,25.0,16,0.0,YES(<40)
Haitian+West Indian,"parental education (child report, V36/V41)",<HS,2nd,24,14,14,0.0,14,0.0,14,14.3,14,7.1,YES(<40)
Haitian+West Indian,"parental education (child report, V36/V41)",HS grad,2nd,56,30,27,11.1,27,7.4,29,10.3,29,10.3,YES(<40)
Haitian+West Indian,"parental education (child report, V36/V41)",Some college+,2nd,122,81,76,15.8,75,8.0,81,43.2,81,3.7,
Haitian+West Indian,"parental education (child report, V36/V41)",ALL (no stratum),2nd,217,134,123,13.0,123,7.3,133,30.8,133,5.3,
Haitian+West Indian,wave-I family income (P56),<$15k,2nd,34,25,23,13.0,24,4.2,25,24.0,25,0.0,YES(<40)
Haitian+West Indian,wave-I family income (P56),$15-35k,2nd,29,20,19,15.8,19,10.5,19,36.8,19,5.3,YES(<40)
Haitian+West Indian,wave-I family income (P56),$35k+,2nd,42,34,32,12.5,32,9.4,34,32.4,34,2.9,YES(<40)
Haitian+West Indian,wave-I family income (P56),ALL (no stratum),2nd,217,134,123,13.0,123,7.3,133,30.8,133,5.3,
Mexican,"parental education (child report, V36/V41)",<HS,1.5,176,89,86,7.0,85,3.5,83,4.8,83,15.7,
Mexican,"parental education (child report, V36/V41)",HS grad,1.5,51,24,24,20.8,24,12.5,24,20.8,24,12.5,YES(<40)
Mexican,"parental education (child report, V36/V41)",Some college+,1.5,47,25,24,16.7,24,4.2,25,28.0,25,0.0,YES(<40)
Mexican,"parental education (child report, V36/V41)",ALL (no stratum),1.5,299,148,144,11.1,143,6.3,142,11.3,142,12.7,
Mexican,wave-I family income (P56),<$15k,1.5,58,32,32,3.1,31,3.2,31,9.7,31,12.9,YES(<40)
Mexican,wave-I family income (P56),$15-35k,1.5,58,41,40,10.0,40,7.5,41,9.8,41,4.9,
Mexican,wave-I family income (P56),$35k+,1.5,9,5,5,40.0,5,0.0,5,20.0,5,0.0,YES(<40)
Mexican,wave-I family income (P56),ALL (no stratum),1.5,299,148,144,11.1,143,6.3,142,11.3,142,12.7,
All other origins,"parental education (child report, V36/V41)",<HS,1.5,469,259,249,6.0,250,4.0,254,17.7,254,7.5,
All other origins,"parental education (child report, V36/V41)",HS grad,1.5,395,230,217,7.4,217,3.7,224,21.0,224,7.1,
All other origins,"parental education (child report, V36/V41)",Some college+,1.5,1149,752,725,6.9,723,3.3,737,31.3,737,2.4,
All other origins,"parental education (child report, V36/V41)",ALL (no stratum),1.5,2329,1415,1352,7.2,1352,4.0,1385,25.1,1385,4.5,
All other origins,wave-I family income (P56),<$15k,1.5,318,207,198,5.6,197,4.6,201,21.4,201,4.0,
All other origins,wave-I family income (P56),$15-35k,1.5,505,342,322,7.1,322,3.4,331,24.5,331,3.9,
All other origins,wave-I family income (P56),$35k+,1.5,334,237,230,5.2,230,3.0,232,38.8,232,2.2,
All other origins,wave-I family income (P56),ALL (no stratum),1.5,2329,1415,1352,7.2,1352,4.0,1385,25.1,1385,4.5,
Cuban,"parental education (child report, V36/V41)",<HS,1.5,99,63,62,9.7,61,4.9,62,12.9,62,4.8,
Cuban,"parental education (child report, V36/V41)",HS grad,1.5,85,53,50,10.0,49,2.0,52,15.4,52,7.7,
Cuban,"parental education (child report, V36/V41)",Some college+,1.5,154,93,88,6.8,88,4.5,92,30.4,92,4.3,
Cuban,"parental education (child report, V36/V41)",ALL (no stratum),1.5,355,222,212,9.4,210,5.2,219,21.0,219,5.0,
Cuban,wave-I family income (P56),<$15k,1.5,21,15,14,7.1,14,7.1,15,20.0,15,6.7,YES(<40)
Cuban,wave-I family income (P56),$15-35k,1.5,54,35,33,6.1,32,0.0,34,20.6,34,2.9,YES(<40)
Cuban,wave-I family income (P56),$35k+,1.5,32,26,26,7.7,26,3.8,26,34.6,26,3.8,YES(<40)
Cuban,wave-I family income (P56),ALL (no stratum),1.5,355,222,212,9.4,210,5.2,219,21.0,219,5.0,
Filipino,"parental education (child report, V36/V41)",<HS,1.5,14,4,4,0.0,4,0.0,3,0.0,3,0.0,YES(<40)
Filipino,"parental education (child report, V36/V41)",HS grad,1.5,66,39,38,7.9,39,7.7,38,13.2,38,2.6,YES(<40)
Filipino,"parental education (child report, V36/V41)",Some college+,1.5,270,191,186,5.4,186,3.2,185,28.1,185,2.7,
Filipino,"parental education (child report, V36/V41)",ALL (no stratum),1.5,370,245,237,5.5,239,3.8,237,24.1,237,2.5,
Filipino,wave-I family income (P56),<$15k,1.5,11,7,6,16.7,6,16.7,6,33.3,6,16.7,YES(<40)
Filipino,wave-I family income (P56),$15-35k,1.5,43,36,34,5.9,35,2.9,34,17.6,34,0.0,YES(<40)
Filipino,wave-I family income (P56),$35k+,1.5,91,73,71,2.8,71,1.4,70,30.0,70,0.0,
Filipino,wave-I family income (P56),ALL (no stratum),1.5,370,245,237,5.5,239,3.8,237,24.1,237,2.5,
Vietnamese,"parental education (child report, V36/V41)",<HS,1.5,92,41,39,0.0,40,0.0,40,52.5,40,7.5,YES(<40)
Vietnamese,"parental education (child report, V36/V41)",HS grad,1.5,39,20,17,11.8,17,5.9,18,44.4,18,16.7,YES(<40)
Vietnamese,"parental education (child report, V36/V41)",Some college+,1.5,81,47,47,6.4,47,6.4,47,48.9,47,0.0,
Vietnamese,"parental education (child report, V36/V41)",ALL (no stratum),1.5,312,158,150,7.3,151,6.0,154,40.9,154,5.8,
Vietnamese,wave-I family income (P56),<$15k,1.5,79,44,44,6.8,44,4.5,44,40.9,44,2.3,
Vietnamese,wave-I family income (P56),$15-35k,1.5,94,61,55,9.1,56,8.9,58,41.4,58,1.7,
Vietnamese,wave-I family income (P56),$35k+,1.5,37,22,22,9.1,22,4.5,22,50.0,22,9.1,YES(<40)
Vietnamese,wave-I family income (P56),ALL (no stratum),1.5,312,158,150,7.3,151,6.0,154,40.9,154,5.8,
Lao/Hmong/Cambodian,"parental education (child report, V36/V41)",<HS,1.5,105,63,60,5.0,60,5.0,61,8.2,61,6.6,
Lao/Hmong/Cambodian,"parental education (child report, V36/V41)",HS grad,1.5,27,18,18,0.0,18,0.0,17,29.4,17,11.8,YES(<40)
Lao/Hmong/Cambodian,"parental education (child report, V36/V41)",Some college+,1.5,54,33,33,0.0,33,0.0,32,15.6,32,6.2,YES(<40)
Lao/Hmong/Cambodian,"parental education (child report, V36/V41)",ALL (no stratum),1.5,293,180,174,4.0,174,3.4,173,13.9,173,6.4,
Lao/Hmong/Cambodian,wave-I family income (P56),<$15k,1.5,97,68,65,4.6,65,4.6,64,7.8,64,6.2,
Lao/Hmong/Cambodian,wave-I family income (P56),$15-35k,1.5,115,72,70,2.9,70,2.9,70,21.4,70,5.7,
Lao/Hmong/Cambodian,wave-I family income (P56),$35k+,1.5,42,22,22,9.1,22,4.5,21,19.0,21,0.0,YES(<40)
Lao/Hmong/Cambodian,wave-I family income (P56),ALL (no stratum),1.5,293,180,174,4.0,174,3.4,173,13.9,173,6.4,
Nicaraguan,"parental education (child report, V36/V41)",<HS,1.5,36,17,17,11.8,17,11.8,17,0.0,17,17.6,YES(<40)
Nicaraguan,"parental education (child report, V36/V41)",HS grad,1.5,44,28,27,11.1,27,7.4,28,21.4,28,10.7,YES(<40)
Nicaraguan,"parental education (child report, V36/V41)",Some college+,1.5,222,158,147,5.4,145,2.1,155,25.8,155,1.9,
Nicaraguan,"parental education (child report, V36/V41)",ALL (no stratum),1.5,318,211,199,6.5,197,3.6,208,22.1,208,5.3,
Nicaraguan,wave-I family income (P56),<$15k,1.5,38,29,29,3.4,28,3.6,28,17.9,28,0.0,YES(<40)
Nicaraguan,wave-I family income (P56),$15-35k,1.5,100,77,70,7.1,69,2.9,75,24.0,75,6.7,
Nicaraguan,wave-I family income (P56),$35k+,1.5,52,33,31,3.2,31,0.0,33,24.2,33,3.0,YES(<40)
Nicaraguan,wave-I family income (P56),ALL (no stratum),1.5,318,211,199,6.5,197,3.6,208,22.1,208,5.3,
Haitian+West Indian,"parental education (child report, V36/V41)",<HS,1.5,42,17,16,0.0,16,0.0,17,35.3,17,5.9,YES(<40)
Haitian+West Indian,"parental education (child report, V36/V41)",HS grad,1.5,49,26,24,4.2,24,0.0,26,23.1,26,0.0,YES(<40)
Haitian+West Indian,"parental education (child report, V36/V41)",Some college+,1.5,101,58,56,7.1,56,3.6,57,33.3,57,1.8,
Haitian+West Indian,"parental education (child report, V36/V41)",ALL (no stratum),1.5,233,122,113,6.2,113,2.7,121,27.3,121,3.3,
Haitian+West Indian,wave-I family income (P56),<$15k,1.5,39,24,20,10.0,20,5.0,24,20.8,24,4.2,YES(<40)
Haitian+West Indian,wave-I family income (P56),$15-35k,1.5,32,17,17,5.9,17,0.0,16,31.2,16,0.0,YES(<40)
Haitian+West Indian,wave-I family income (P56),$35k+,1.5,22,15,14,14.3,14,14.3,15,53.3,15,0.0,YES(<40)
Haitian+West Indian,wave-I family income (P56),ALL (no stratum),1.5,233,122,113,6.2,113,2.7,121,27.3,121,3.3,
Mexican,"parental education (child report, V36/V41)",<HS,both,368,202,195,11.3,194,6.2,190,5.3,190,11.6,
Mexican,"parental education (child report, V36/V41)",HS grad,both,161,92,88,21.6,88,17.0,87,8.0,87,8.0,
Mexican,"parental education (child report, V36/V41)",Some college+,both,159,98,93,15.1,95,6.3,94,22.3,94,3.2,
Mexican,"parental education (child report, V36/V41)",ALL (no stratum),both,755,424,408,14.5,409,9.3,402,10.0,402,9.0,
Mexican,wave-I family income (P56),<$15k,both,130,78,78,10.3,77,6.5,76,3.9,76,10.5,
Mexican,wave-I family income (P56),$15-35k,both,149,108,105,12.4,105,8.6,105,13.3,105,5.7,
