origin,generation,sex,n_wave1,n_wave3,retention_pct,arrest5_n,arrest5_pct,incarc5_n,incarc5_pct,noHS_n,noHS_pct,BAplus_n,BAplus_pct,employed_n,employed_pct,welfare_n,welfare_pct,enrolled_n,enrolled_pct,faminc_w1_n,faminc_w1_median,paredu_w1_n,paredu_w1_mean_1to6,paredu_w1_ltHS_pct,paredu_w1_coll_pct,ses_w1_mean
Cuban,1.5,men,171,91,53.2,86,17.4,84,8.3,88,6.8,88,13.6,91,91.2,88,1.1,89,39.3,61,30000.0,163,4.28,28.2,44.2,-0.076
Cuban,1.5,women,184,131,71.2,126,4.0,126,3.2,131,3.8,131,26.0,130,81.5,130,4.6,127,51.2,46,22500.0,175,4.32,30.3,46.9,-0.169
Cuban,1.5,pooled,355,222,62.5,212,9.4,210,5.2,219,5.0,219,21.0,221,85.5,218,3.2,216,46.3,107,22500.0,338,4.3,29.3,45.6,-0.125
Cuban,2nd,men,474,314,66.2,302,14.2,299,6.0,313,2.9,313,34.8,312,83.3,310,2.6,309,50.5,175,42500.0,463,4.91,11.4,64.8,0.358
Cuban,2nd,women,396,274,69.2,263,3.0,262,0.8,271,4.8,271,28.8,273,82.8,272,1.5,267,59.6,99,42500.0,392,4.55,16.6,53.8,0.123
Cuban,2nd,pooled,870,588,67.6,565,9.0,561,3.6,584,3.8,584,32.0,585,83.1,582,2.1,576,54.7,274,42500.0,855,4.74,13.8,59.8,0.251
Cuban,both,men,645,405,62.8,388,14.9,383,6.5,401,3.7,401,30.2,403,85.1,398,2.3,398,48.0,236,42500.0,626,4.74,15.8,59.4,0.242
Cuban,both,women,581,406,69.9,390,3.3,389,1.5,403,4.5,403,27.8,404,82.4,403,2.5,395,56.7,145,42500.0,568,4.48,20.8,51.8,0.031
Cuban,both,pooled,1226,811,66.2,778,9.1,772,4.0,804,4.1,804,29.0,807,83.8,801,2.4,793,52.3,381,42500.0,1194,4.62,18.2,55.8,0.142
Mexican,1.5,men,149,70,47.0,66,19.7,66,10.6,66,12.1,66,16.7,67,94.0,65,1.5,66,31.8,54,17500.0,130,2.95,60.8,20.0,-0.777
Mexican,1.5,women,150,78,52.0,78,3.8,77,2.6,76,13.2,76,6.6,77,74.0,77,6.5,75,44.0,71,17500.0,144,2.73,67.4,14.6,-0.864
Mexican,1.5,pooled,299,148,49.5,144,11.1,143,6.3,142,12.7,142,11.3,144,83.3,142,4.2,141,38.3,125,17500.0,274,2.84,64.2,17.2,-0.821
Mexican,2nd,men,240,131,54.6,121,28.9,122,20.5,121,12.4,121,11.6,124,91.9,121,2.5,118,38.1,106,22500.0,214,3.66,41.6,30.8,-0.447
Mexican,2nd,women,216,145,67.1,143,5.6,144,2.8,139,2.2,139,7.2,143,77.6,141,7.8,139,45.3,98,17500.0,200,3.21,51.5,23.0,-0.618
Mexican,2nd,pooled,456,276,60.5,264,16.3,266,10.9,260,6.9,260,9.2,267,84.3,262,5.3,257,42.0,204,22500.0,414,3.44,46.4,27.1,-0.528
Mexican,both,men,389,201,51.7,187,25.7,188,17.0,187,12.3,187,13.4,191,92.7,186,2.2,184,35.9,160,22500.0,344,3.4,48.8,26.7,-0.573
Mexican,both,women,366,223,60.9,221,5.0,221,2.7,215,6.0,215,7.0,220,76.4,218,7.3,214,44.9,169,17500.0,344,3.01,58.1,19.5,-0.719
Mexican,both,pooled,755,424,56.2,408,14.5,409,9.3,402,9.0,402,10.0,411,83.9,404,5.0,398,40.7,329,17500.0,688,3.2,53.5,23.1,-0.644
Nicaraguan,1.5,men,156,96,61.5,88,12.5,87,8.0,94,4.3,94,22.3,96,84.4,96,2.1,94,44.7,91,30000.0,146,5.2,8.2,78.8,0.071
Nicaraguan,1.5,women,162,115,71.0,111,1.8,110,0.0,114,6.1,114,21.9,114,89.5,115,2.6,115,54.8,99,22500.0,156,4.86,15.4,68.6,-0.045
Nicaraguan,1.5,pooled,318,211,66.4,199,6.5,197,3.6,208,5.3,208,22.1,210,87.1,211,2.4,209,50.2,190,30000.0,302,5.02,11.9,73.5,0.012
Nicaraguan,2nd,men,12,5,41.7,5,20.0,4,0.0,5,0.0,5,40.0,5,100.0,4,0.0,5,40.0,5,22500.0,11,4.09,36.4,36.4,-0.093
Nicaraguan,2nd,women,14,11,78.6,11,9.1,11,0.0,11,0.0,11,18.2,11,90.9,11,0.0,11,63.6,8,23750.0,14,4.5,28.6,64.3,0.069
Nicaraguan,2nd,pooled,26,16,61.5,16,12.5,15,0.0,16,0.0,16,25.0,16,93.8,15,0.0,16,56.2,13,22500.0,25,4.32,32.0,52.0,-0.006
Nicaraguan,both,men,168,101,60.1,93,12.9,91,7.7,99,4.0,99,23.2,101,85.1,100,2.0,99,44.4,96,30000.0,157,5.12,10.2,75.8,0.059
Nicaraguan,both,women,176,126,71.6,122,2.5,121,0.0,125,5.6,125,21.6,125,89.6,126,2.4,126,55.6,107,22500.0,170,4.83,16.5,68.2,-0.036
Nicaraguan,both,pooled,344,227,66.0,215,7.0,212,3.3,224,4.9,224,22.3,226,87.6,226,2.2,225,50.7,203,30000.0,327,4.97,13.5,71.9,0.011
Colombian,1.5,men,54,37,68.5,36,16.7,37,2.7,37,5.4,37,18.9,36,94.4,35,0.0,37,37.8,16,30000.0,53,4.42,22.6,50.9,-0.089
Colombian,1.5,women,51,37,72.5,35,2.9,35,2.9,37,2.7,37,29.7,37,86.5,37,0.0,35,48.6,24,22500.0,51,4.75,15.7,62.7,-0.015
Colombian,1.5,pooled,105,74,70.5,71,9.9,72,2.8,74,4.1,74,24.3,73,90.4,72,0.0,72,43.1,40,26250.0,104,4.58,19.2,56.7,-0.053
Colombian,2nd,men,55,33,60.0,31,25.8,32,18.8,32,3.1,32,31.2,33,87.9,33,3.0,32,65.6,23,30000.0,54,4.76,16.7,68.5,0.001
Colombian,2nd,women,67,48,71.6,45,2.2,45,0.0,48,0.0,48,31.2,48,83.3,48,2.1,48,52.1,24,42500.0,64,4.67,20.3,62.5,0.219
Colombian,2nd,pooled,122,81,66.4,76,11.8,77,7.8,80,1.2,80,31.2,81,85.2,81,2.5,80,57.5,47,30000.0,118,4.71,18.6,65.3,0.12
Colombian,both,men,109,70,64.2,67,20.9,69,10.1,69,4.3,69,24.6,69,91.3,68,1.5,69,50.7,39,30000.0,107,4.59,19.6,59.8,-0.044
