origin,n_wave1,n_wave3,retention_pct,gpa_w1_retained,gpa_w1_lost,gpa_w1_diff,gpa_w1_z,ses_w1_retained,ses_w1_lost,ses_w1_diff,ses_w1_z,intact_retained,intact_lost,intact_diff,intact_z,gpa_95_retained,gpa_95_lost,gpa_95_diff,gpa_95_z,dropout95_retained,dropout95_lost,dropout95_diff,dropout95_z,fight_w2_retained,fight_w2_lost,fight_w2_diff,fight_w2_z,pedu6_retained,pedu6_lost,pedu6_diff,pedu6_z,faminc_w1_retained,faminc_w1_lost,faminc_w1_diff,faminc_w1_z
POOLED (all origins),5262,3344,63.5,2.67,2.26,0.41,15.79,0.02,-0.21,0.23,10.66,69.33,54.29,15.04,10.78,2.61,2.2,0.41,15.34,4.59,12.0,-7.41,-8.48,13.51,20.38,-6.87,-5.31,4.61,4.24,0.37,8.01,37630.33,31910.58,5719.75,4.02
Cuban,1226,811,66.2,2.47,1.94,0.53,9.95,0.19,0.06,0.13,3.08,62.19,53.9,8.29,2.76,2.35,1.9,0.45,8.36,6.23,17.37,-11.14,-5.02,14.63,23.83,-9.2,-3.08,4.66,4.55,0.11,1.38,48838.34,44591.84,4246.5,0.89
Mexican,755,424,56.2,2.36,2.1,0.26,4.18,-0.58,-0.72,0.14,3.03,67.93,49.7,18.23,5.09,2.36,2.1,0.26,4.08,4.51,14.29,-9.78,-4.48,15.32,22.27,-6.95,-2.04,3.29,3.08,0.21,1.68,23345.29,20561.32,2783.97,1.3
Nicaraguan,344,227,66.0,2.43,2.09,0.34,3.44,0.07,-0.1,0.17,2.23,69.47,52.68,16.79,2.97,2.36,1.92,0.44,4.61,7.17,12.39,-5.22,-1.47,10.77,15.29,-4.52,-1.0,5.1,4.71,0.39,2.4,29682.43,36922.73,-7240.3,-1.15
Colombian,227,155,68.3,2.49,2.01,0.48,4.34,0.06,0.0,0.06,0.67,67.32,42.25,25.07,3.57,2.37,1.89,0.48,4.12,5.22,12.7,-7.48,-1.61,15.0,22.73,-7.73,-1.09,4.66,4.62,0.04,0.2,30572.46,41597.22,-11024.76,-1.35
Dominican,105,55,52.4,2.35,1.79,0.56,3.06,-0.05,-0.13,0.08,0.57,56.36,34.0,22.36,2.34,2.18,1.77,0.41,2.34,4.26,6.98,-2.72,-0.55,10.64,23.33,-12.69,-1.4,4.33,4.32,0.01,0.03,26385.42,25857.14,528.28,0.09
Central American,154,89,57.8,2.35,2.07,0.28,1.94,0.05,-0.28,0.33,3.07,56.18,40.0,16.18,2.0,2.3,2.04,0.26,1.91,5.95,8.47,-2.52,-0.56,17.14,12.77,4.37,0.65,4.53,4.19,0.34,1.43,34583.33,18716.67,15866.66,3.35
South American,211,141,66.8,2.63,2.14,0.49,3.29,0.29,0.27,0.02,0.21,68.09,68.12,-0.03,-0.0,2.56,2.11,0.45,3.12,5.88,15.38,-9.5,-1.73,15.97,15.0,0.97,0.15,5.01,5.0,0.01,0.06,45273.44,43107.14,2166.3,0.17
Haitian,178,97,54.5,2.53,1.95,0.58,4.64,-0.1,-0.37,0.27,2.49,54.64,33.33,21.31,2.91,2.34,1.85,0.49,3.96,8.33,3.28,5.05,1.33,18.07,23.08,-5.01,-0.69,4.24,3.76,0.48,1.8,17505.43,14390.0,3115.43,0.96
Jamaican,156,92,59.0,2.63,2.06,0.57,3.82,0.31,0.06,0.25,2.92,48.91,25.0,23.91,3.16,2.62,2.05,0.57,4.02,2.0,16.67,-14.67,-1.83,15.0,18.42,-3.42,-0.45,5.16,4.91,0.25,1.43,43382.35,36200.0,7182.35,1.08
West Indian,116,67,57.8,2.6,2.13,0.47,2.91,0.21,-0.04,0.25,2.29,61.19,32.65,28.54,3.16,2.6,1.99,0.61,3.66,9.62,6.9,2.72,0.43,9.43,30.0,-20.57,-2.18,4.97,4.55,0.42,2.12,39164.47,27347.22,11817.25,1.34
Filipino,819,593,72.4,3.01,2.71,0.3,5.15,0.34,0.15,0.19,4.85,83.25,70.54,12.71,3.72,2.95,2.62,0.33,5.23,2.71,8.0,-5.29,-2.74,10.8,17.31,-6.51,-1.97,5.36,5.05,0.31,4.04,49224.91,47888.39,1336.52,0.45
Vietnamese,370,200,54.1,3.18,2.86,0.32,4.0,-0.27,-0.5,0.23,3.06,81.0,65.09,15.91,3.45,3.23,2.77,0.46,5.05,1.51,10.12,-8.61,-3.46,14.66,20.34,-5.68,-1.26,4.19,3.57,0.62,2.92,28754.87,23626.34,5128.53,2.06
Laotian,155,91,58.7,3.05,2.59,0.46,3.75,-0.73,-0.86,0.13,1.0,76.92,64.06,12.86,1.71,3.02,2.61,0.41,3.02,0.0,9.38,-9.38,-2.55,18.18,27.27,-9.09,-1.24,3.75,3.54,0.21,0.58,30357.14,36228.07,-5870.93,-1.35
Cambodian,95,67,70.5,2.77,2.58,0.19,1.19,-0.96,-1.14,0.18,1.23,62.69,85.71,-23.02,-2.56,2.63,2.34,0.29,1.86,4.48,3.57,0.91,0.21,14.06,24.0,-9.94,-1.02,3.15,2.56,0.59,1.2,13103.45,12725.0,378.45,0.32
Chinese,72,51,70.8,3.45,3.52,-0.07,-0.36,0.29,0.09,0.2,1.01,72.55,85.71,-13.16,-1.31,3.61,3.72,-0.11,-0.58,0.0,0.0,0.0,,9.8,0.0,9.8,2.33,4.64,4.68,-0.04,-0.11,49276.32,25000.0,24276.32,1.76
Other Asian,100,63,63.0,3.18,2.74,0.44,2.61,0.54,0.21,0.33,2.33,85.71,63.89,21.82,2.36,3.27,2.95,0.32,1.65,3.51,11.11,-7.6,-1.3,10.34,7.69,2.65,0.4,5.31,5.17,0.14,0.79,82613.64,47708.33,34905.31,3.03
Europe/Canada,88,62,70.5,2.99,2.3,0.69,3.03,0.52,0.27,0.25,1.67,64.52,46.15,18.37,1.57,2.9,2.27,0.63,2.73,2.86,42.86,-40.0,-1.96,8.0,14.29,-6.29,-0.42,5.27,4.85,0.42,1.65,77619.05,65833.33,11785.72,0.26
Lao/Hmong/Cambodian,303,188,62.0,2.94,2.66,0.28,3.08,-0.91,-0.99,0.08,0.9,71.28,73.04,-1.76,-0.33,2.81,2.56,0.25,2.56,2.13,6.96,-4.83,-1.85,15.93,23.0,-7.07,-1.41,3.24,3.05,0.19,0.71,22307.69,28146.28,-5838.59,-2.07
Jamaican+West Indian,272,159,58.5,2.62,2.09,0.53,4.85,0.27,0.02,0.25,3.68,54.09,28.32,25.77,4.43,2.61,2.02,0.59,5.48,5.88,11.32,-5.44,-1.09,12.78,23.53,-10.75,-1.81,5.07,4.75,0.32,2.43,41581.46,32006.58,9574.88,1.79
