ethnicity,generation,scope,cils_n_arr,cils_arrest5_pct,cils_n_inc,cils_incarc5_pct,rumbaut_arrested_pct,rumbaut_incarcerated_pct,iimmla_n,iimmla_arrested_pct,iimmla_incarc_pct,merged_n,merged_arrested_pct,merged_incarc_pct,delta_arrest_pts,delta_incarc_pts,gate_2pts,rumbaut_table4_n_allgen
Total sample,1.5,CILS San Diego,352,11.1,354,7.9,13.2,7.8,787.0,13.7,7.5,1139.0,12.9,7.6,-0.3,-0.2,PASS,2971
Total sample,1.5,CILS both sites,659,13.7,659,7.7,13.2,7.8,787.0,13.7,7.5,1446.0,13.7,7.6,0.5,-0.2,PASS,2971
Total sample,2nd,CILS San Diego,323,17.3,324,12.3,20.7,12.1,871.0,21.1,11.8,1194.0,20.1,11.9,-0.6,-0.2,PASS,2971
Total sample,2nd,CILS both sites,802,16.5,798,9.5,20.7,12.1,871.0,21.1,11.8,1673.0,18.9,10.7,-1.8,-1.4,PASS,2971
All other nationalities,1.5,CILS San Diego,6,16.7,6,0.0,12.3,7.0,,,,,,,,,,200
All other nationalities,1.5,CILS both sites,52,19.2,52,5.8,12.3,7.0,,,,,,,,,,200
All other nationalities,2nd,CILS San Diego,12,16.7,12,8.3,21.7,11.9,,,,,,,,,,200
All other nationalities,2nd,CILS both sites,84,15.5,82,7.3,21.7,11.9,,,,,,,,,,200
Chinese,1.5,CILS San Diego,10,0.0,10,0.0,5.8,2.9,,,,,,,,,,245
Chinese,1.5,CILS both sites,12,8.3,12,8.3,5.8,2.9,,,,,,,,,,245
Chinese,2nd,CILS San Diego,9,11.1,9,0.0,7.4,1.9,,,,,,,,,,245
Chinese,2nd,CILS both sites,14,7.1,14,0.0,7.4,1.9,,,,,,,,,,245
Filipino,1.5,CILS San Diego,110,8.2,111,5.4,13.3,8.2,,,,,,,,,,475
Filipino,1.5,CILS both sites,111,8.1,112,5.4,13.3,8.2,,,,,,,,,,475
Filipino,2nd,CILS San Diego,163,8.6,163,6.1,9.6,5.7,,,,,,,,,,475
Filipino,2nd,CILS both sites,165,8.5,165,6.1,9.6,5.7,,,,,,,,,,475
Korean,1.5,CILS San Diego,1,0.0,1,0.0,11.6,3.9,,,,,,,,,,201
Korean,1.5,CILS both sites,1,0.0,1,0.0,11.6,3.9,,,,,,,,,,201
Korean,2nd,CILS San Diego,2,50.0,2,50.0,18.1,2.8,,,,,,,,,,201
Korean,2nd,CILS both sites,2,50.0,2,50.0,18.1,2.8,,,,,,,,,,201
"Laotian, Cambodian",1.5,CILS San Diego,78,7.7,78,7.7,8.4,8.4,,,,,,,,,,88
"Laotian, Cambodian",1.5,CILS both sites,78,7.7,78,7.7,8.4,8.4,,,,,,,,,,88
"Laotian, Cambodian",2nd,CILS San Diego,3,33.3,3,33.3,20.0,20.0,,,,,,,,,,88
"Laotian, Cambodian",2nd,CILS both sites,4,25.0,4,25.0,20.0,20.0,,,,,,,,,,88
Mexican,1.5,CILS San Diego,61,19.7,61,11.5,22.3,11.9,138.0,22.5,12.3,199.0,21.6,12.1,-0.7,0.2,PASS,787
Mexican,1.5,CILS both sites,66,19.7,66,10.6,22.3,11.9,138.0,22.5,12.3,204.0,21.6,11.8,-0.7,-0.1,PASS,787
Mexican,2nd,CILS San Diego,114,29.8,115,20.9,29.8,20.4,265.0,28.7,20.0,379.0,29.0,20.3,-0.8,-0.1,PASS,787
Mexican,2nd,CILS both sites,121,28.9,122,20.5,29.8,20.4,265.0,28.7,20.0,386.0,28.8,20.2,-1.0,-0.2,PASS,787
Other Latin American,1.5,CILS San Diego,8,0.0,8,0.0,17.4,15.2,,,,,,,,,,107
Other Latin American,1.5,CILS both sites,252,15.1,250,7.2,17.4,15.2,,,,,,,,,,107
Other Latin American,2nd,CILS San Diego,6,16.7,6,16.7,21.3,11.5,,,,,,,,,,107
Other Latin American,2nd,CILS both sites,386,15.8,383,7.3,21.3,11.5,,,,,,,,,,107
"Salvadoran, Guatemalan",1.5,CILS San Diego,0,,0,,21.3,11.2,,,,,,,,,,187
"Salvadoran, Guatemalan",1.5,CILS both sites,8,25.0,8,12.5,21.3,11.2,87.0,21.8,11.5,95.0,22.1,11.6,0.8,0.4,PASS,187
"Salvadoran, Guatemalan",2nd,CILS San Diego,0,,0,,36.7,17.3,,,,,,,,,,187
"Salvadoran, Guatemalan",2nd,CILS both sites,10,30.0,10,20.0,36.7,17.3,96.0,35.4,16.7,106.0,34.9,17.0,-1.8,-0.3,PASS,187
Vietnamese,1.5,CILS San Diego,78,14.1,79,11.4,8.1,5.8,,,,,,,,,,294
Vietnamese,1.5,CILS both sites,79,13.9,80,11.2,8.1,5.8,,,,,,,,,,294
Vietnamese,2nd,CILS San Diego,14,14.3,14,14.3,12.7,9.9,,,,,,,,,,294
Vietnamese,2nd,CILS both sites,16,18.8,16,18.8,12.7,9.9,,,,,,,,,,294
