county_fips,name_2000,rent_med_2000,value_med_2000,owners_2000,renters_2000,units_2000,name_2010,rent_med_2010,value_med_2010,owners_2010,renters_2010,pop_2010
01001,"Autauga County, Alabama",537.0,82500.0,12935.0,3068.0,17662.0,"Autauga County, Alabama",769.0,133900.0,15285.0,4433.0,53155.0
01003,"Baldwin County, Alabama",566.0,105300.0,44036.0,11300.0,74285.0,"Baldwin County, Alabama",821.0,177200.0,53309.0,16167.0,175791.0
01005,"Barbour County, Alabama",333.0,57200.0,7615.0,2794.0,12461.0,"Barbour County, Alabama",512.0,88200.0,6665.0,3130.0,27699.0
01007,"Bibb County, Alabama",348.0,57400.0,5951.0,1470.0,8345.0,"Bibb County, Alabama",541.0,81200.0,6170.0,1271.0,22610.0
01009,"Blount County, Alabama",385.0,76900.0,16084.0,3181.0,21158.0,"Blount County, Alabama",574.0,113700.0,16897.0,3708.0,56692.0
01011,"Bullock County, Alabama",324.0,54000.0,2967.0,1019.0,4727.0,"Bullock County, Alabama",400.0,66300.0,2871.0,861.0,10923.0
01013,"Butler County, Alabama",328.0,48600.0,6398.0,2000.0,9957.0,"Butler County, Alabama",480.0,70200.0,5530.0,2489.0,20895.0
01015,"Calhoun County, Alabama",413.0,65700.0,32845.0,12462.0,51322.0,"Calhoun County, Alabama",569.0,98200.0,32818.0,13603.0,117149.0
01017,"Chambers County, Alabama",374.0,56700.0,10992.0,3530.0,16256.0,"Chambers County, Alabama",572.0,82200.0,9764.0,3917.0,34579.0
01019,"Cherokee County, Alabama",362.0,63500.0,7942.0,1777.0,14025.0,"Cherokee County, Alabama",479.0,97100.0,8802.0,2550.0,25700.0
01021,"Chilton County, Alabama",385.0,70500.0,12571.0,2716.0,17651.0,"Chilton County, Alabama",570.0,103700.0,12435.0,4128.0,43121.0
01023,"Choctaw County, Alabama",284.0,46800.0,5494.0,869.0,7839.0,"Choctaw County, Alabama",546.0,63400.0,4534.0,762.0,14111.0
01025,"Clarke County, Alabama",343.0,53000.0,8584.0,1994.0,12631.0,"Clarke County, Alabama",444.0,73300.0,7316.0,1828.0,26255.0
01027,"Clay County, Alabama",272.0,58000.0,4451.0,1314.0,6612.0,"Clay County, Alabama",398.0,82900.0,4260.0,1591.0,14040.0
01029,"Cleburne County, Alabama",378.0,62100.0,4496.0,1094.0,6189.0,"Cleburne County, Alabama",557.0,87900.0,4041.0,1356.0,14823.0
01031,"Coffee County, Alabama",415.0,70200.0,12436.0,4985.0,19837.0,"Coffee County, Alabama",586.0,116700.0,13192.0,5736.0,48349.0
01033,"Colbert County, Alabama",414.0,68200.0,17006.0,5455.0,24980.0,"Colbert County, Alabama",572.0,94700.0,16293.0,5872.0,54446.0
01035,"Conecuh County, Alabama",289.0,48700.0,4695.0,1097.0,7265.0,"Conecuh County, Alabama",514.0,72500.0,3966.0,895.0,13382.0
01037,"Coosa County, Alabama",295.0,53300.0,3971.0,711.0,6142.0,"Coosa County, Alabama",457.0,73100.0,3819.0,742.0,11470.0
01039,"Covington County, Alabama",340.0,52900.0,12155.0,3485.0,18578.0,"Covington County, Alabama",499.0,85700.0,10857.0,3806.0,37608.0
01041,"Crenshaw County, Alabama",279.0,48200.0,4274.0,1303.0,6644.0,"Crenshaw County, Alabama",473.0,71900.0,3827.0,1814.0,13928.0
01043,"Cullman County, Alabama",398.0,78800.0,23971.0,6735.0,35233.0,"Cullman County, Alabama",563.0,102200.0,23361.0,7902.0,79941.0
01045,"Dale County, Alabama",398.0,62800.0,12127.0,6751.0,21779.0,"Dale County, Alabama",612.0,93900.0,11958.0,7587.0,49730.0
01047,"Dallas County, Alabama",350.0,57100.0,11720.0,6121.0,20450.0,"Dallas County, Alabama",538.0,70300.0,10509.0,6286.0,44066.0
01049,"DeKalb County, Alabama",370.0,61700.0,19771.0,5342.0,28051.0,"DeKalb County, Alabama",514.0,84400.0,20103.0,5834.0,70038.0
01051,"Elmore County, Alabama",486.0,88300.0,18507.0,4230.0,25733.0,"Elmore County, Alabama",685.0,136500.0,21545.0,6217.0,77650.0
01053,"Escambia County, Alabama",351.0,56700.0,11018.0,3279.0,16544.0,"Escambia County, Alabama",545.0,83800.0,10152.0,3652.0,37996.0
01055,"Etowah County, Alabama",395.0,66500.0,30957.0,10658.0,45959.0,"Etowah County, Alabama",587.0,98200.0,30348.0,11236.0,104066.0
01057,"Fayette County, Alabama",283.0,56100.0,5786.0,1707.0,8472.0,"Fayette County, Alabama",448.0,71500.0,5442.0,1722.0,17472.0
01059,"Franklin County, Alabama",335.0,60700.0,9110.0,3149.0,13749.0,"Franklin County, Alabama",481.0,78200.0,8557.0,3810.0,31383.0
01061,"Geneva County, Alabama",319.0,52400.0,8446.0,2031.0,12115.0,"Geneva County, Alabama",522.0,77200.0,7677.0,3043.0,26541.0
01063,"Greene County, Alabama",235.0,42600.0,2972.0,959.0,5117.0,"Greene County, Alabama",466.0,71500.0,2505.0,1017.0,9255.0
01065,"Hale County, Alabama",295.0,50500.0,5146.0,1269.0,7756.0,"Hale County, Alabama",466.0,70600.0,4342.0,1501.0,16168.0
01067,"Henry County, Alabama",336.0,57900.0,5279.0,1246.0,8037.0,"Henry County, Alabama",497.0,89700.0,5450.0,1206.0,17148.0
01069,"Houston County, Alabama",413.0,74500.0,24893.0,10941.0,39571.0,"Houston County, Alabama",600.0,116300.0,25642.0,12393.0,99029.0
01071,"Jackson County, Alabama",370.0,62400.0,16845.0,4770.0,24168.0,"Jackson County, Alabama",485.0,86300.0,16226.0,4947.0,53386.0
01073,"Jefferson County, Alabama",500.0,88100.0,174982.0,88283.0,288162.0,"Jefferson County, Alabama",748.0,138300.0,173937.0,86504.0,656912.0
01075,"Lamar County, Alabama",282.0,49400.0,4972.0,1496.0,7517.0,"Lamar County, Alabama",389.0,68200.0,4464.0,1480.0,14743.0
01077,"Lauderdale County, Alabama",420.0,80900.0,26432.0,9656.0,40424.0,"Lauderdale County, Alabama",548.0,107400.0,27521.0,10192.0,91762.0
01079,"Lawrence County, Alabama",361.0,64700.0,11246.0,2292.0,15009.0,"Lawrence County, Alabama",487.0,97600.0,10558.0,2854.0,34235.0
01081,"Lee County, Alabama",449.0,85500.0,28376.0,17326.0,50329.0,"Lee County, Alabama",650.0,139500.0,34686.0,19330.0,135010.0
01083,"Limestone County, Alabama",392.0,80700.0,19083.0,5605.0,26897.0,"Limestone County, Alabama",564.0,122300.0,23140.0,6888.0,78614.0
01085,"Lowndes County, Alabama",298.0,46700.0,4096.0,813.0,5801.0,"Lowndes County, Alabama",505.0,64000.0,3170.0,1035.0,11731.0
01087,"Macon County, Alabama",352.0,61100.0,6022.0,2928.0,10627.0,"Macon County, Alabama",558.0,79200.0,5422.0,2547.0,21699.0
01089,"Madison County, Alabama",503.0,98300.0,76816.0,33139.0,120288.0,"Madison County, Alabama",670.0,155600.0,89162.0,37402.0,323080.0
01091,"Marengo County, Alabama",305.0,53800.0,6944.0,1823.0,10127.0,"Marengo County, Alabama",449.0,79000.0,6241.0,2253.0,21296.0
01093,"Marion County, Alabama",328.0,55900.0,9885.0,2812.0,14416.0,"Marion County, Alabama",397.0,74700.0,9665.0,3079.0,30792.0
01095,"Marshall County, Alabama",406.0,76200.0,24323.0,8224.0,36331.0,"Marshall County, Alabama",550.0,101300.0,24955.0,9478.0,90867.0
01097,"Mobile County, Alabama",476.0,76600.0,103402.0,46777.0,165101.0,"Mobile County, Alabama",695.0,120700.0,104815.0,48487.0,408620.0
01099,"Monroe County, Alabama",351.0,51900.0,7548.0,1835.0,11343.0,"Monroe County, Alabama",510.0,80400.0,6784.0,2407.0,23329.0
01101,"Montgomery County, Alabama",526.0,84900.0,55126.0,30942.0,95437.0,"Montgomery County, Alabama",760.0,121000.0,56083.0,32689.0,228018.0
01103,"Morgan County, Alabama",429.0,82800.0,31881.0,11721.0,47388.0,"Morgan County, Alabama",564.0,115300.0,33909.0,12466.0,117632.0
