model,reference,group,stat,estimate,se,n_cell,boot_draws,reported
A_christian_ref,Christian,Other,empgap_adj_origin,-0.0252549451332827,0.03857356817341732,192,500,True
A_christian_ref,Christian,Buddhist,loggap_earnC_unadj,-0.0009217531222791213,0.12260442992154219,93,500,True
A_christian_ref,Christian,Hindu,loggap_earnC_unadj,0.4877992550703043,0.15057104804359692,272,500,True
A_christian_ref,Christian,Jewish,loggap_earnC_unadj,0.8644576700968577,0.13865075779209451,42,500,False
A_christian_ref,Christian,Muslim,loggap_earnC_unadj,0.12253461965517559,0.08040863746574285,231,500,True
A_christian_ref,Christian,No religion,loggap_earnC_unadj,0.3749602654282734,0.08002230449371865,404,500,True
A_christian_ref,Christian,Other,loggap_earnC_unadj,0.2871569435117166,0.10164211482493006,82,500,True
A_christian_ref,Christian,Buddhist,loggap_earnC_adj,0.059798105926012,0.13094230952299152,93,500,True
A_christian_ref,Christian,Hindu,loggap_earnC_adj,-0.05441390711980624,0.137403384043816,272,500,True
A_christian_ref,Christian,Jewish,loggap_earnC_adj,0.4733668459876353,0.14772441470247522,42,500,False
A_christian_ref,Christian,Muslim,loggap_earnC_adj,0.050837944845647104,0.07213574191826992,231,500,True
A_christian_ref,Christian,No religion,loggap_earnC_adj,0.17545191273011826,0.07217423013150549,404,500,True
A_christian_ref,Christian,Other,loggap_earnC_adj,0.16335075927372802,0.08635848100144072,82,500,True
A_christian_ref,Christian,Buddhist,loggap_earnC_adj_origin,0.02814691677289216,0.14661001883229238,93,500,True
A_christian_ref,Christian,Hindu,loggap_earnC_adj_origin,-0.2060664546069732,0.18235964155030288,272,500,True
A_christian_ref,Christian,Jewish,loggap_earnC_adj_origin,0.43366527842403546,0.1365743971558489,42,500,False
A_christian_ref,Christian,Muslim,loggap_earnC_adj_origin,0.039932461937677466,0.07947095189474135,231,500,True
A_christian_ref,Christian,No religion,loggap_earnC_adj_origin,0.1155571533831188,0.07010540297832848,404,500,True
A_christian_ref,Christian,Other,loggap_earnC_adj_origin,0.09701804974125106,0.09291899566084334,82,500,True
A_christian_ref,Christian,Buddhist,loggap_earnFT_unadj,0.06402339649691331,0.10730908407357098,82,500,True
A_christian_ref,Christian,Hindu,loggap_earnFT_unadj,0.5506140275716814,0.12868616701445623,262,500,True
A_christian_ref,Christian,Jewish,loggap_earnFT_unadj,0.8380329072131347,0.1365040380008905,37,500,False
A_christian_ref,Christian,Muslim,loggap_earnFT_unadj,0.1205718033773241,0.07804082637236223,206,500,True
A_christian_ref,Christian,No religion,loggap_earnFT_unadj,0.35507812069533934,0.07714587033401171,370,500,True
A_christian_ref,Christian,Other,loggap_earnFT_unadj,0.17108110824681003,0.10653368522754876,76,500,True
A_christian_ref,Christian,Buddhist,loggap_earnFT_adj,0.06943476259347525,0.11820393071914638,82,500,True
A_christian_ref,Christian,Hindu,loggap_earnFT_adj,0.022266421307802504,0.11501886311178339,262,500,True
A_christian_ref,Christian,Jewish,loggap_earnFT_adj,0.4807282833935194,0.13199433033266494,37,500,False
A_christian_ref,Christian,Muslim,loggap_earnFT_adj,0.04374544203126413,0.06957751094731761,206,500,True
A_christian_ref,Christian,No religion,loggap_earnFT_adj,0.15428054084189569,0.06963457719000526,370,500,True
A_christian_ref,Christian,Other,loggap_earnFT_adj,0.11062608197669023,0.0850908995535127,76,500,True
