anchor,published,reproduced,unit,exact,note
rows in DS0002,8573.0,8573.0,respondents,True,"38031-Documentation-questionnaires_intro.pdf: 8,573 completed adult interviews"
rows in DS0003,8573.0,8573.0,respondents,True,"38031-Documentation-questionnaires_intro.pdf: 8,573 completed adult interviews"
rows in DS0006,8573.0,8573.0,respondents,True,"38031-Documentation-questionnaires_intro.pdf: 8,573 completed adult interviews"
rows in DS0007,8573.0,8573.0,respondents,True,"38031-Documentation-questionnaires_intro.pdf: 8,573 completed adult interviews"
rows in DS0011,8573.0,8573.0,respondents,True,"38031-Documentation-questionnaires_intro.pdf: 8,573 completed adult interviews"
rows in DS0012,8573.0,8573.0,respondents,True,"38031-Documentation-questionnaires_intro.pdf: 8,573 completed adult interviews"
rows in DS0013,8573.0,8573.0,respondents,True,"38031-Documentation-questionnaires_intro.pdf: 8,573 completed adult interviews"
rows in DS0017,8573.0,8573.0,respondents,True,"38031-Documentation-questionnaires_intro.pdf: 8,573 completed adult interviews"
rows in DS0053(spouse),4915.0,4915.0,respondents,True,"38031-Documentation-questionnaires_intro.pdf: 8,573 completed adult interviews"
rows in DS0054(spouse),4915.0,4915.0,respondents,True,"38031-Documentation-questionnaires_intro.pdf: 8,573 completed adult interviews"
sampling frame total (weights Table 1),289478.0,289478.0,immigrants,True,
cases sampled total (weights Table 1),12488.0,12488.0,cases,True,
completed adult interviews (weights Table 1),8573.0,8573.0,respondents,True,
distinct design weights reconstructed from Table 1,32.0,32.0,weight values,True,
max |NISWGTSAMP1 - documented design weight|,0.0,4.796163466380676e-14,weight units,True,"weight = (frame/sampled) x (12488/289478), sampling-weights doc steps 1-3"
stratum agrees for every design-weight cell,32.0,32.0,cells,True,
stratum x replicate completed-case counts,32.0,30.0,cells,False,two cells differ by one case (s4r4 661 vs 662; s1r4 213 vs 212); totals agree
"completed cases, stratum 1 (Spouse of U.S. Citizen)",1427.0,1428.0,respondents,False,
"completed cases, stratum 2 (Employment principal)",1369.0,1369.0,respondents,True,
"completed cases, stratum 3 (Diversity)",1235.0,1235.0,respondents,True,
"completed cases, stratum 4 (Other)",4542.0,4541.0,respondents,False,
share adjusting status (weighted),0.57,0.5738,share,True,overview: 'approximately 57%'; unweighted 0.5135
"home ownership, ages 25-64 at admission, Spouse of U.S. Citizen",0.406,0.3742,share,False,overview Figures 1/3; n=666; Section H missing for 6375/8573 adults (financial-respondent path)
"home ownership, ages 25-64 at admission, Employment principal",0.38,0.3736,share,False,overview Figures 1/3; n=1107; Section H missing for 6375/8573 adults (financial-respondent path)
"home ownership, ages 25-64 at admission, Diversity",0.05,0.0443,share,False,overview Figures 1/3; n=844; Section H missing for 6375/8573 adults (financial-respondent path)
"home ownership, ages 25-64 at admission, Other",0.21,0.1992,share,False,overview Figures 1/3; n=2576; Section H missing for 6375/8573 adults (financial-respondent path)
