arm,A_consumer_surplus_bn,A_consumer_surplus_broad_bn,A_native_lowskill_wage_offset_bn,A_net_bn,B_private_earnings_bn,B_tax_revenue_bn,defensible_native_total_bn,fiscal_only_bn,per_mex_lowskill_worker_total,per_mex_lowskill_worker_fiscal,pct_of_gap_vs_third_plus_whites_main,pct_of_gap_vs_all_natives_main,pct_of_complete_gap_vs_whites,pct_of_complete_absolute,fiscal_pct_of_gap_vs_third_plus_whites_main,fiscal_pct_of_gap_vs_all_natives_main,fiscal_pct_of_complete_gap_vs_whites,fiscal_pct_of_complete_absolute
central (published JPE 2008 + hours|H>0),23.763383073919883,30.037921876151376,10.731117734028455,13.032265339891428,24.935864729957167,8.727552655485008,21.759817995376437,8.727552655485008,6872.981438175953,2756.654831147819,7.488151001540466,10.120845579244856,6.14198317584296,8.566857478494661,3.0033905693537317,4.0593268165046545,2.4634618537555064,3.4360443525531528
working-paper elasticity + unconditional hours,15.027007297614425,21.30154609984592,10.731117734028455,4.29588956358597,11.475586727766007,4.016455354718102,8.31234491830407,4.016455354718102,2625.508740163143,1268.6238049465985,2.860506183386927,3.866206938746079,2.3462642312024586,3.2725767394897916,1.3821725987536053,1.8681187696363262,1.1336952000446263,1.581281635715788
"conservative (half elasticity, half hours)",11.48499732610165,14.611883213431785,5.312177769220671,6.172819556880979,12.467932364978584,4.363776327742504,10.536595884623484,4.363776327742504,3328.0530173536285,1378.3274155739095,3.6259320295342183,4.9007422719179,2.9740871301296954,4.1482660963084586,1.5016952846768659,2.0296634082523273,1.2317309268777532,1.7180221762765764
