geo,numerator,labor_force,count,count_se,share,share_se
US,fb_dropout,175478713.0,6635078.0,48352.00997166509,0.03781129851345559,0.00028234684846591195
US,fb_nocollege,175478713.0,17731374.0,86376.36080606777,0.10104572626994364,0.0005094709746334617
US,mexborn_dropout,175478713.0,3165994.0,32097.83486623358,0.01804204023310793,0.00018672885601456952
US,mexborn_nocollege,175478713.0,6212483.0,41128.301856507525,0.035403057691675684,0.0002418836513559796
US,mexborn_all,175478713.0,7533981.0,42389.57218644699,0.04293387426428184,0.0002497033255610761
CA,fb_dropout,20459205.0,1673645.0,17573.944150360785,0.08180400949108238,0.0008735747535774159
CA,fb_nocollege,20459205.0,3872809.0,25038.353673913945,0.18929420766838204,0.001182818430033997
CA,mexborn_dropout,20459205.0,1151742.0,14249.739718675566,0.05629456276526874,0.0007094252116496232
CA,mexborn_nocollege,20459205.0,2175738.0,19140.7216125725,0.10634518789952982,0.0008987334747759616
CA,mexborn_all,20459205.0,2574819.0,21043.765788232868,0.12585137105767305,0.0009754645073730139
TX,fb_dropout,16033250.0,951184.0,14381.276801800319,0.059325713751110974,0.0008886086962331042
TX,fb_nocollege,16033250.0,2185300.0,19887.64321632908,0.13629800570689038,0.0012231015489017909
TX,mexborn_dropout,16033250.0,619533.0,12724.498204251515,0.03864051268457736,0.000801161211636576
TX,mexborn_nocollege,16033250.0,1242056.0,15148.28476098862,0.07746751282491074,0.0009488674201067269
TX,mexborn_all,16033250.0,1555229.0,16405.950095925564,0.09700023388894953,0.0010199452940954175
