geo,group,employment,employment_se,share_of_total_employment,mexborn,mexborn_share,mexborn_dropout,mexborn_dropout_share,mexborn_nocollege,mexborn_nocollege_share,fb_dropout,fb_dropout_share,fb_nocollege,fb_nocollege_share
US,t1_private_households,608254.0,10630.781053149389,0.0036338595579421744,76803.0,0.1262679735768281,41702.0,0.06856017387472997,71240.0,0.11712212332347999,90537.0,0.14884735653197512,204132.0,0.3356032183923164
US,t1_bldg_dwelling_services,1742733.0,21618.405432640033,0.01041151717702019,279162.0,0.16018632802615201,156632.0,0.08987722158242255,260367.0,0.14940154343780718,312857.0,0.17952090193965456,624425.0,0.35830216103097834
US,t1_landscaping,1292248.0,15786.314504975504,0.0077202085741017055,274537.0,0.21244915836588643,176931.0,0.1369172171286007,264640.0,0.20479041174759025,282850.0,0.21888213407952653,436162.0,0.337521899821087
US,t1_drycleaning_laundry,219522.0,6629.612055014984,0.0013114786222179911,28407.0,0.12940388662639735,15656.0,0.07131859221399221,27077.0,0.12334526835579122,33517.0,0.15268173577135777,69690.0,0.3174624866755952
US,t1_child_care,1573664.0,14469.54405985206,0.009401457232323197,67279.0,0.04275309087581593,19479.0,0.012378118836041238,49940.0,0.03173485572523741,47725.0,0.030327312564816886,161850.0,0.10284914695894422
US,t1_barber_beauty_nail_other,1776284.0,18233.45338245062,0.010611959133881169,53554.0,0.03014945808215353,13135.0,0.007394650855381234,46886.0,0.02639555386413434,122236.0,0.06881557228461214,389918.0,0.2195133210680274
US,t2_household_goods_repair,151662.0,4736.096515063856,0.0009060662293657355,9093.0,0.05995569094433675,5065.0,0.03339663198428083,8715.0,0.05746330656327887,9974.0,0.06576466089066477,25814.0,0.17020743495404253
US,t2_auto_repair_carwash,1544158.0,17379.988670882383,0.009225181104066511,120312.0,0.07791430669659452,54938.0,0.03557796546726436,111005.0,0.07188707373209219,114718.0,0.07429162041708168,263428.0,0.17059653222014845
US,t3_food_services,9760808.0,55734.39566999897,0.05831347667921368,657593.0,0.06737075455228707,305438.0,0.03129228645825222,606447.0,0.062130819497730104,677805.0,0.06944148476232705,1635286.0,0.16753592530454445
US,t3_construction,11580357.0,52369.31815481275,0.06918391160408738,1368370.0,0.11816302381696868,736560.0,0.06360425675996,1284216.0,0.11089606304883347,1317394.0,0.11376108698548758,2586902.0,0.22338706829159066
US,occ_maids_housekeeping,1314375.0,17992.323497814283,0.007852400734677035,253811.0,0.19310394674274844,152820.0,0.11626818830242511,240619.0,0.1830672372800761,325332.0,0.24751840228245364,620591.0,0.47215672848311935
US,occ_bldg_cleaning_other,3834258.0,30515.975322771515,0.022906803869627238,546138.0,0.14243642446595925,328148.0,0.08558318193507061,520169.0,0.13566353646520396,582132.0,0.15182389917423397,1062505.0,0.2771083740322117
US,occ_grounds_maintenance,1127138.0,15833.808966891069,0.006733800672777863,244759.0,0.21715087238652234,159399.0,0.1414192405898834,236928.0,0.2102031871873719,253201.0,0.22464063850211774,390367.0,0.346334699034191
US,occ_childcare_workers,947403.0,13057.153380427144,0.005660019410925517,54252.0,0.057263909867289846,21871.0,0.023085212945283054,45914.0,0.04846300887795373,49145.0,0.051873384399247206,147919.0,0.15613102343986668
US,occ_cooks_food_prep,3196705.0,25640.564133809537,0.019097904852531242,375149.0,0.11735490137500958,205597.0,0.06431528714723442,355267.0,0.11113537220356585,379626.0,0.11875540595707142,777327.0,0.24316507153459577
US,t1_all,7212705.0,34072.51093403596,0.043090480297486425,779742.0,0.1081067366542788,423535.0,0.05872068800817446,720150.0,0.0998446491295568,889722.0,0.12335483012267935,1886177.0,0.26150757586786094
US,t12_all,8908525.0,36990.12070066817,0.053221727630918675,909147.0,0.10205359473088979,483538.0,0.054278121237803116,839870.0,0.09427711096954883,1014414.0,0.1138700289890863,2175419.0,0.2441951950519306
US,t123_all,30249690.0,92871.21226381187,0.18071911591421974,2935110.0,0.09702942410318915,1525536.0,0.05043145896701751,2730533.0,0.09026647876391461,3009613.0,0.09949235843408644,6397607.0,0.21149330786530374
CA,t1_private_households,115023.0,4206.403071508958,0.0059744597727084325,30916.0,0.26878102640341495,19113.0,0.16616676664667065,29362.0,0.2552706849934361,33231.0,0.28890743590412354,57390.0,0.498943689522965
CA,t1_bldg_dwelling_services,235818.0,6040.423586140297,0.012248725512989203,94463.0,0.4005758678302759,56430.0,0.23929471032745592,90250.0,0.38271039530485373,78548.0,0.333087380946323,133111.0,0.5644649687470846
CA,t1_landscaping,173955.0,5906.035032066776,0.009035472468649707,92295.0,0.5305682504095887,64262.0,0.3694173780575436,89213.0,0.5128510246902934,78498.0,0.45125463481934985,108773.0,0.6252938978471444
