row,item,mean_all_cu
3,Item,"All
consumer
units"
4129,Fireworks [D],6.73
4135,Souvenirs [D],2.37
4141,Visual goods [D],3.0
4147,Pinball and electronic video games [D],6.12
4153,Live entertainment for catered affairs [I],26.85
4159,Rental of party supplies for catered affairs [I],25.03
4166,Personal care products and services,977.71
4173,Personal care products,499.2
4180,Products for the hair [D],101.14
4186,Wigs and hairpieces [I],7.43
4192,Nonelectric dental and shaving products [D],61.47
4198,"Cosmetics, perfume, and bath preparations [D]",257.03
4204,"Deodorants, feminine hygiene, and miscellaneous personal care [D]",57.93
4210,Electric personal care appliances [I],14.21
4217,Personal care services,478.51
4224,Personal care services [I],478.51
4230,Repair of personal care appliances [D],d/
4237,Reading,125.41
4244,Newspapers [D],24.21
4250,Magazines [D],28.24
4256,Newsletters [D],d/
4262,Books through book clubs [D],1.54
4268,"Books, digital books, or book subscriptions [I]",44.71
4274,Encyclopedias and other sets of reference books [D],d/
4280,Digital book readers [I],26.71
4287,Education,1569.4
4294,College tuition [I],984.77
4300,Elementary and high school tuition [I],281.26
4306,Vocational and technical school tuition [I],37.32
4312,"Finance, late, and interest charges for student loans [I]",67.88
4318,Test preparation and tutoring services [I],31.85
4324,"Educational books, supplies, and other expenditures [I]",40.3
4330,Prepaid tuition [I],67.78
4336,"School supplies, etc., unspecified [D]",58.24
4343,Tobacco products and smoking supplies,352.38
4350,Cigarettes [I],243.03
4356,Other tobacco products [I],93.87
4362,Smoking accessories [D],4.34
4368,Marijuana [D],11.14
4375,Miscellaneous,1218.33
4382,Miscellaneous fees [D],4.26
4388,Lotteries and pari-mutuel losses [D],31.18
4394,Legal fees [I],175.53
4400,Funeral expenses [I],109.42
4406,Safe deposit box rental [I],5.04
4412,"Checking accounts, other bank service charges [I]",29.43
4418,"Cemetery lots, vaults, and maintenance fees [I]",17.01
4424,Accounting fees [I],128.35
4430,Miscellaneous personal services [D],73.67
4436,Dating services [I],1.11
4442,"Finance, late, and interest charges for credit cards [I]",385.69
4448,"Finance, late, and interest charges for other loans [I]",40.33
4454,Occupational expenses [I],61.24
4460,Expenses for other properties [I],38.12
4466,"Interest paid, home equity line of credit (other property) [I]",d/
4472,Late fee mortgage pay (other) (new UCC Q20242) [I],d/
4478,Credit card memberships [I],18.31
4484,Shopping club membership fees [I],76.3
4490,Vacation clubs [I],15.3
4496,Other taxes [I],8.05
4503,Cash contributions [I],2291.58
4510,Support for college students [I],133.51
4516,Alimony expenditures [I],72.8
4522,Child support expenditures [I],145.41
4528,"Gift to non-CU members of stocks, bonds, and mutual funds [I]",184.41
4534,Cash contributions to charities and other organizations [I],322.24
4540,Cash contributions to churches and other religious organizations [I],780.78
4546,Cash contribution to educational institutions [I],70.47
4552,Cash contribution to political organizations [I],35.08
4558,Other cash gifts [I],546.88
4565,Personal insurance and pensions [I],9797.41
4572,Life and other personal insurance [I],575.2
4579,"Life, endowment, annuity, and other personal insurance [I]",530.15
4585,Other non-health insurance [I],45.04
4592,"Retirement, pensions, and Social Security [I]",9222.21
4599,Deductions for government retirement [I],196.28
4605,Deductions for railroad retirement [I],6.66
4611,Deductions for private pensions [I],343.62
4617,Contributions to retirement plans [I],1991.18
4623,Deductions for Social Security [I],6684.46
4632,Income before taxes [I],104207.25
4639,Wages and salaries [I],80864.43
4645,Self-employment income [I],7084.0
4652,Self-employment income [I],7084.0
4659,"Social Security, private and government retirement [I]",11646.25
4666,Social Security and railroad retirement income [I],8706.8
4672,"Retirement, survivors, and disability income [I]",2939.44
4679,"Interest, dividends, rental income, and other property income [I]",3066.09
4686,Interest and dividends [I],1713.97
4692,Net room/rental income [I],644.9
4698,"Royalty, estate, and trust income [I]",707.22
4705,"Public assistance, Supplemental Security Income, Supplementary Nutrition Assistance Program (SNAP) [I]",620.2
4712,Supplemental Security Income [I],243.7
4718,Public assistance [I],23.19
4724,Supplementary Nutrition Assistance Program (SNAP) [I],353.31
4731,"Unemployment and workers' compensation, veterans' benefits, and regular contributions for support [I]",635.15
4738,Other regular income [I],635.15
4745,Other income [I],291.12
4752,Meals as pay [I],45.48
4758,Rent as pay [I],75.74
4764,Other income [I],169.91
4773,Net change in total assets and liabilities,20436.06
4780,Net change in total assets [I],31810.62
4787,Change in accounts [I],6917.62
4794,"Change in value of savings, checking, money market, and CDs [I]",1694.71
4801,"Value of savings, checking, money market, and CDs [I]",22203.91
4807,"Value of savings, checking, money market, and CDs one year ago [I]",-20509.2
4814,Change in securities [I],5222.9
4821,"Value of stocks, bonds, and mutual funds [I]",42844.59
4827,"Value of stocks, bonds, and mutual funds one year ago [I]",-37621.69
4834,Change in surrender of insurance policies [I],461.61
4841,Surrender value of whole life insurance policies [I],4322.93
4847,Surrender value of whole life insurance policies one year ago [I],-3861.31
4854,Change in value of retirement plans [I],14585.92
4861,Value of retirement plans [I],128374.14
4867,Value of retirement plans one year ago [I],-113788.22
4874,Change in value of other financial assets [I],719.79
4881,Value of other financial assets [I],9484.75
4887,Value of other financial assets one year ago [I],-8764.96
4894,Change in net property holdings (owned home) [I],6686.84
4901,Purchase price of property (owned home) [I],8647.28
4907,Closing costs purchase of property (owned home) [I],184.69
4913,Special assessments (owned home) [I],9.79
4919,Sale price of property or trade-in amount (owned home) [I],-2011.98
4925,Total expenses in sale of property (owned home) [I],-142.94
4932,Change in capital improvements (owned home) [I],2487.93
4939,Capital improvements: labor and materials (owned home) [I],2074.45
4945,Capital improvement material (owned home) [I],413.48
4952,"Materials and supplies purchased for insulation, dwellings under construction, additions, finishing, remodeling, landscaping, etc. [I]",406.12
4958,"Dishwasher, disposal, or range hood [I]",4.85
4964,Labor and materials for dwellings under construction and additions [I],2.5
4971,Change in net property holdings (owned vacation) [I],546.93
4978,Purchase price of property (owned vacation) [I],943.2
4984,Closing costs on purchase of property (owned vacation) [I],16.15
4990,Special assessments (owned vacation) [I],12.74
4996,Sale price of property or trade-in amount (owned vacation) [I],-404.32
5002,Mortgage principal held after sale of real estate (owned vacation) [I],d/
5008,Total expenses in sale of property (owned vacation) [I],-20.85
5015,Change in capital improvements (owned vacation) [I],114.42
5022,Capital improvements: labor and materials (owned vacation) [I],102.44
5028,"Supplies purchased for additions, maintenance, repairs, and new construction [I]",11.98
5035,Change in net property holdings (other property) [I],-84.54
5042,Purchase price of property (other property) [I],91.08
5048,Closing costs purchase of property (other property) [I],1.61
5054,Special assessments (other property) [I],0.03
5060,Sale price of property or trade-in amount (other property) [I],-175.48
5066,Total expenses in sale of property (other property) [I],-1.78
5073,Change in capital improvements (other property) [I],0.56
5080,"Property management, security, parking (other property) [I]",0.54
5086,"Capital improvement services, labor, materials, and equipment (other property) [I]",0.02
5093,"Contractors labor and materials, supplies CU obtained, appliances provided by contractor, and other property [I]",d/
5099,Management services and improvements of other properties [I],0.02
5105,"Dishwasher, disposal, and range hood capital improvement (other property) [I]",d/
5112,Change in vehicle sales [I],-626.45
5119,Sale of automobiles [I],-204.74
5125,"Sale of trucks, including vans [I]",-350.53
5131,Sale of motor camper (through Q20241) [I],d/
5137,Sale of other vehicles [I],-3.27
5143,Sale of trailer type and other attachable campers (through Q20241) [I],d/
5149,Sale of campers and motor homes (new UCC Q20242) [I],-23.74
5155,Sale of motorcycles [I],-12.23
5161,"Sale of boats, with motors (through Q20241) [I]",d/
5167,"Sale of boats, without motors and boat trailers (through Q20241) [I]",d/
5173,Sale of trailers and boats (new UCC Q20242) [I],-31.94
5179,Sale of aircraft [I],d/
5186,Net change in total liabilities [I],11374.56
5193,Change in amount owed to creditors [I],679.82
5200,Amount owed on credit cards [I],2589.53
5206,Amount owed on credit cards one year ago [I],-2344.94
5212,Amount owed on student loans [I],5541.01
5218,Amount owed on student loans one year ago [I],-5383.46
5224,Amount owed on other loans [I],790.23
5230,Amount owed on other loans one year ago [I],-512.55
5237,Change in mortgage principal (owned home) [I],9899.75
5244,Special lump sum mortgage payment (owned home) [I],-319.46
5250,Reduction of mortgage principal (owned home) [I],-2462.69
5256,"Reduction of mortgage principal, home equity loan (owned home) [I]",-55.39
5262,Original loan amount (mortgage obtained during interview quarter) (owned home) [I],12608.43
5268,"Original loan amount, home equity loan (loan obtained during interview quarter) (owned home) [I]",408.59
5274,"Principal paid, home equity line of credit (owned home) [I]",-279.73
5281,Change in mortgage principal (owned vacation) [I],21.03
5288,Special lump sum mortgage payment (owned vacation) [I],-17.99
5294,Reduction of mortgage principal (owned vacation) [I],-73.08
5300,"Reduction mortgage principal, home equity loan (owned vacation) [I]",-0.23
5306,Original loan amount (mortgage obtained during interview quarter) (owned vacation) [I],156.1
5312,"Original loan amount, home equity loan (loan obtained during interview quarter) (owned vacation) [I]",d/
5318,"Principal paid, home equity line of credit (owned vacation) [I]",-43.77
5325,Change in mortgage principal (other property) [I],18.75
5332,Special lump sum mortgage payments (other property) [I],d/
5338,Reduction of mortgage principal (other property) [I],-8.95
5344,"Reduction mortgage principal, home equity loan (other property) [I]",d/
5350,Original loan amount (mortgage obtained during interview quarter) (other property) [I],27.7
5356,"Original loan amount, home equity loan (loan obtained during interview quarter) (other property) [I]",d/
5362,"Principal paid, home equity line of credit (other property) [I]",d/
5369,Change in principal on vehicles [I],755.21
5376,Reduction of vehicle loan principal [I],-2198.48
5382,Vehicle principal balance (loan obtained during interview quarter) [I],2953.68
5390,Other money receipts [I],941.62
5397,Lump sum payment received [I],941.62
5404,Mortgage principal paid on owned property [I],-2923.84
5411,Reduction of mortgage principal (owned home) [I],-2462.69
5417,Reduction of mortgage principal (owned vacation) [I],-73.08
5423,Reduction of mortgage principal (other property) [I],-8.95
5429,"Reduction of mortgage principal, home equity loan (owned home) [I]",-55.39
5435,"Reduction mortgage principal, home equity loan (owned vacation) [I]",-0.23
5441,"Reduction mortgage principal, home equity loan (other property) [I]",d/
5447,"Principal paid, home equity line of credit (owned home) [I]",-279.73
5453,"Principal paid, home equity line of credit (owned vacation) [I]",-43.77
5459,"Principal paid, home equity line of credit (other property) [I]",d/
5466,Estimated market value of owned home [I],310670.04
5472,Estimated monthly rental value of owned home [I],1556.05
5478,Estimated monthly rental value of vacation home not available for rent [I],63.28
5484,Estimated monthly rental value of vacation home available for rent [I],18.44
5490,Estimated annual rental value of timeshare [I],1220.04
5496,All CU column weight interview,135760053.0
5497,All CU column weight diary,135316106.0
