arm,shock,scope,beta_intensive,beta_nontraded,dln_share,price_rise_intensive,price_rise_nontraded,annual_loss_bn,per_mexborn_dropout_worker,loss_bn_q1_lowest,loss_bn_q2_second,loss_bn_q3_third,loss_bn_q4_fourth,loss_bn_q5_highest
published_jpe_2008,lf_adjusted,narrow_immigrant_intensive,-0.2119679908168919,-0.02100512951274732,-0.6302730590177434,0.14293294121233702,0.013326990376001602,23.763383073919883,7505.82062818814,2.0297517319472007,2.5967424776324632,3.681502667360174,5.1662167120720355,10.289169484908006
published_jpe_2008,lf_adjusted,broad_incl_other_nontraded,-0.2119679908168919,-0.02100512951274732,-0.6302730590177434,0.14293294121233702,0.013326990376001602,30.037921876151376,9487.674921731177,2.5575340773032593,3.3743878008841697,4.721243905367086,6.6664678198904825,12.718288272706376
published_jpe_2008,lf_fixed,narrow_immigrant_intensive,-0.2119679908168919,-0.02100512951274732,-0.6484798413898364,0.1473523332657385,0.013714597028863906,24.49813116927183,7737.895640128133,2.092510313688126,2.6770320384085937,3.7953322960987133,5.325952717571028,10.607303803505367
published_jpe_2008,lf_fixed,broad_incl_other_nontraded,-0.2119679908168919,-0.02100512951274732,-0.6484798413898364,0.1473523332657385,0.013714597028863906,30.9551607601038,9777.390847899207,2.6356428575925133,3.4772946587660583,4.865313716602678,6.869837631218705,13.107071895923847
working_paper_2005,lf_adjusted,narrow_immigrant_intensive,-0.13729110128131042,-0.02100512951274732,-0.6302730590177434,0.09038504088353205,0.013326990376001602,15.027007297614425,4746.378956376552,1.2835333249242111,1.642075458701582,2.3280341555964608,3.2669075775900542,6.506456780802117
working_paper_2005,lf_adjusted,broad_incl_other_nontraded,-0.13729110128131042,-0.02100512951274732,-0.6302730590177434,0.09038504088353205,0.013326990376001602,21.30154609984592,6728.233249919588,1.8113156702802702,2.419720781953288,3.367775393603372,4.767158685408501,8.935575568600484
working_paper_2005,lf_fixed,narrow_immigrant_intensive,-0.13729110128131042,-0.02100512951274732,-0.6484798413898364,0.09311400845646522,0.013714597028863906,15.480713079373846,4889.684907606851,1.3222866494595262,1.6916541349438186,2.398323770528318,3.365544307250894,6.702904217191288
working_paper_2005,lf_fixed,broad_incl_other_nontraded,-0.13729110128131042,-0.02100512951274732,-0.6484798413898364,0.09311400845646522,0.013714597028863906,21.937742670205818,6929.180115377925,1.865419193363913,2.491916755301284,3.4683051910322824,4.90942922089857,9.20267230960977
half_published,lf_adjusted,narrow_immigrant_intensive,-0.10598399540844596,-0.01050256475637366,-0.6302730590177434,0.06908041849635294,0.006641440819918687,11.48499732610165,3627.6118420002217,0.9809921904448106,1.2550224990866117,1.7792941417113244,2.496866079195919,4.972822415662986
half_published,lf_adjusted,broad_incl_other_nontraded,-0.10598399540844596,-0.01050256475637366,-0.6302730590177434,0.06908041849635294,0.006641440819918687,14.611883213431785,4615.259287740844,1.2440099546650172,1.6425582627923456,2.2974441294750028,3.2445089202634634,6.183361946235956
half_published,lf_fixed,narrow_immigrant_intensive,-0.10598399540844596,-0.01050256475637366,-0.6484798413898364,0.07114533713485316,0.0068339470979630335,11.82830134130597,3736.0466701156,1.0103155370944779,1.2925370278996924,1.8324799462644332,2.57150119891574,5.121467631131625
half_published,lf_fixed,broad_incl_other_nontraded,-0.10598399540844596,-0.01050256475637366,-0.6484798413898364,0.07114533713485316,0.0068339470979630335,15.045821953895416,4752.3216891426255,1.28095703420977,1.6913057558827431,2.3656488325348857,3.340814931065948,6.36709540020207
