population,arm,beta_hours_per_logpoint,beta_se,shock,dln_share,women,mean_weeks,mean_hours_week,hourly_wage,d_hours_week,d_hours_year,pct_of_mean_hours,aggregate_hours_mn,earnings_change_bn,tax_bn_cbo_economywide_federal_2018,tax_bn_high_earner_buildup,tax_bn_incl_employer_payroll,per_mexborn_dropout_worker_earnings,per_mexborn_dropout_worker_tax_35
topq_native_college_women,hours_given_working_addl_controls,0.98,0.497,lf_adjusted,-0.6302730590177434,12141678.0,49.32146915772268,38.87698504275933,67.41474534008947,-0.6176675978373886,-30.464273376461417,-0.015887744308310928,-369.8873978409673,-24.935864729957167,-6.732683477088436,-8.727552655485008,-10.722421833881583,-7876.156660422341,-2756.654831147819
topq_native_college_women,hours_given_working_addl_controls,0.98,0.497,lf_fixed,-0.6484798413898364,12141678.0,49.32146915772268,38.87698504275933,67.41474534008947,-0.6355102445620396,-31.344298926583438,-0.01634669570860667,-380.57238470232176,-25.656190398177582,-6.927171407507948,-8.979666639362154,-11.03216187121636,-8103.676254022459,-2836.286688907861
topq_native_college_women,usual_hours_addl_controls,0.451,0.563,lf_adjusted,-0.6302730590177434,12141678.0,49.32146915772268,38.87698504275933,67.41474534008947,-0.2842531496170023,-14.019782951820511,-0.007311604778620641,-170.2236902308942,-11.475586727766007,-3.098408416496822,-4.016455354718102,-4.934502292939382,-3624.639442704568,-1268.6238049465987
topq_native_college_women,usual_hours_addl_controls,0.451,0.563,lf_fixed,-0.6484798413898364,12141678.0,49.32146915772268,38.87698504275933,67.41474534008947,-0.2924644084668162,-14.424774301927684,-0.007522816086307764,-175.14096479668072,-11.807083540385806,-3.1879125559041674,-4.132479239135032,-5.077045922365897,-3729.3448883307437,-1305.2707109157602
topq_native_college_women,half_hours_given_working,0.49,,lf_adjusted,-0.6302730590177434,12141678.0,49.32146915772268,38.87698504275933,67.41474534008947,-0.3088337989186943,-15.232136688230709,-0.007943872154155464,-184.94369892048366,-12.467932364978584,-3.366341738544218,-4.363776327742504,-5.3612109169407915,-3938.0783302111704,-1378.3274155739095
topq_native_college_women,half_hours_given_working,0.49,,lf_fixed,-0.6484798413898364,12141678.0,49.32146915772268,38.87698504275933,67.41474534008947,-0.3177551222810198,-15.672149463291719,-0.008173347854303336,-190.28619235116088,-12.828095199088791,-3.463585703753974,-4.489833319681077,-5.51608093560818,-4051.8381270112295,-1418.1433444539305
topq_native_women,hours_given_working_addl_controls,0.98,0.497,lf_adjusted,-0.6302730590177434,16635278.0,48.32858519106203,37.46174094595834,65.46988586379504,-0.6176675978373886,-29.851001121842877,-0.016487957639993965,-496.57970224016816,-32.511016427941136,-8.777974435544108,-11.378855749779396,-13.979737064014689,-10268.81807986406,-3594.0863279524206
topq_native_women,hours_given_working_addl_controls,0.98,0.497,lf_fixed,-0.6484798413898364,16635278.0,48.32858519106203,37.46174094595834,65.46988586379504,-0.6355102445620396,-30.7133109941092,-0.016964247483287436,-510.92446668746294,-33.45016651904855,-9.031544960143108,-11.707558281666993,-14.383571603190877,-10565.454804730694,-3697.909181655743
topq_native_women,usual_hours_addl_controls,0.451,0.563,lf_adjusted,-0.6302730590177434,16635278.0,48.32858519106203,37.46174094595834,65.46988586379504,-0.2842531496170023,-13.737552557092998,-0.007587825403711509,-228.52800582685288,-14.961702458164748,-4.039659663704482,-5.236595860357661,-6.433532057010841,-4725.751993896623,-1654.0131978638183
topq_native_women,usual_hours_addl_controls,0.451,0.563,lf_fixed,-0.6484798413898364,16635278.0,48.32858519106203,37.46174094595834,65.46988586379504,-0.2924644084668162,-14.134391079942091,-0.0078070159336353405,-235.1295249755569,-15.393903163358058,-4.156353854106675,-5.38786610717532,-6.619378360243964,-4862.265425442391,-1701.7928989048366
topq_native_women,half_hours_given_working,0.49,,lf_adjusted,-0.6302730590177434,16635278.0,48.32858519106203,37.46174094595834,65.46988586379504,-0.3088337989186943,-14.925500560921439,-0.008243978819996983,-248.28985112008408,-16.255508213970568,-4.388987217772054,-5.689427874889698,-6.989868532007344,-5134.40903993203,-1797.0431639762103
topq_native_women,half_hours_given_working,0.49,,lf_fixed,-0.6484798413898364,16635278.0,48.32858519106203,37.46174094595834,65.46988586379504,-0.3177551222810198,-15.3566554970546,-0.008482123741643718,-255.46223334373147,-16.725083259524276,-4.515772480071554,-5.853779140833496,-7.191785801595438,-5282.727402365347,-1848.9545908278715
