quintile,households,native_head_households,native_head_share,mexborn_head_households,mexborn_head_share
q1_lowest,22951027.0,19215472.0,0.8372380024649877,894657.0,0.03898113143259341
q2_second,24323057.0,20405190.0,0.838923742192439,1107035.0,0.045513810208971675
q3_third,27763289.0,23405671.0,0.8430438843178847,1176783.0,0.042386296522721065
q4_fourth,28569058.0,24152834.0,0.8454193344421786,1021433.0,0.03575312143648558
q5_highest,29130668.0,24016157.0,0.8244286399474259,605355.0,0.020780676914103034
