STATE,PUMA,group,persons,workers,commuters,car_commuters,drove_alone,carpooled,transit_commuters,vehicles,vehicle_minutes,car_person_minutes,commuter_minutes,transit_minutes,vehicles_peak,vehicle_minutes_peak,vehicles_narrow_peak,vehicles_before_6am,personal_income,means_car_truck_van,means_bus,means_subway,means_commuter_rail,means_light_rail,means_ferry,means_taxi_ridehail,means_motorcycle,means_bicycle,means_walked,means_worked_from_home,means_other,carpool_2,carpool_3,carpool_4,carpool_7plus,carpool_5_6
01,00100,group,8980.0,5906.0,5784.0,5766.0,5533.0,233.0,0.0,5591.25,296172.5,297920.0,298100.0,0.0,4287.25,167069.5,889.25,755.0,200953813.32500002,5766.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,122.0,0.0,0.0,0.0,233.0,0.0,0.0
01,00100,other,179199.0,83262.0,75998.0,73135.0,64657.0,8478.0,393.0,68790.65,1476169.3333333333,1597718.0,1647122.0,7860.0,45909.25,893872.3333333334,28461.75,11120.0,6698180090.66275,73135.0,393.0,0.0,0.0,0.0,0.0,0.0,309.0,188.0,955.0,7264.0,1018.0,6541.0,1224.0,393.0,140.0,180.0
01,00200,group,5791.0,2747.0,2036.0,2036.0,1642.0,394.0,0.0,1839.0,38890.0,42830.0,42830.0,0.0,730.0,17970.0,519.0,117.0,92854663.475,2036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.0,0.0,394.0,0.0,0.0,0.0,0.0
01,00200,other,113208.0,54853.0,48905.0,48309.0,46373.0,1936.0,95.0,47299.5,1313581.5,1329819.0,1343358.0,190.0,30810.0,883448.0,17388.5,8993.5,4561336581.165,48309.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,488.0,5948.0,13.0,1687.0,249.0,0.0,0.0,0.0
01,00300,group,9845.0,4682.0,4330.0,4196.0,2717.0,1479.0,0.0,3316.8333333333335,95760.16666666667,121483.0,142253.0,0.0,1210.0,33195.0,199.66666666666666,1282.0,198645642.45,4196.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,352.0,134.0,641.0,838.0,0.0,0.0,0.0
01,00300,other,149786.0,64832.0,59651.0,57420.0,52695.0,4725.0,461.0,55563.2,1497987.3333333333,1575702.0,1622148.0,21180.0,33175.36666666667,903475.3333333334,16073.0,13178.333333333334,5332175529.6725,57420.0,461.0,0.0,0.0,0.0,0.0,0.0,659.0,0.0,632.0,5181.0,479.0,4014.0,441.0,24.0,0.0,246.0
01,00401,group,1506.0,799.0,564.0,564.0,564.0,0.0,0.0,564.0,30450.0,30450.0,30450.0,0.0,239.0,9345.0,239.0,325.0,103087490.055,564.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.0,0.0,0.0,0.0,0.0,0.0,0.0
01,00401,other,126404.0,59422.0,53591.0,52033.0,49268.0,2765.0,654.0,50403.666666666664,1418252.1666666667,1451372.0,1463692.0,6402.0,36395.0,1017960.5,21516.833333333332,7232.0,5596405469.3125,52033.0,0.0,0.0,0.0,531.0,123.0,0.0,0.0,0.0,693.0,5831.0,211.0,1338.0,1319.0,108.0,0.0,0.0
01,00402,group,5962.0,2670.0,2490.0,2352.0,2118.0,234.0,0.0,2314.5,62179.0,60169.0,65689.0,0.0,1595.0,45172.0,782.0,58.5,165703521.125,2352.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,180.0,0.0,0.0,0.0,234.0,0.0,0.0
01,00402,other,157254.0,90952.0,80862.0,76383.0,71319.0,5064.0,142.0,75233.83333333333,1645816.0,1666403.0,1725486.0,8520.0,54032.333333333336,1153288.5,33964.666666666664,9867.5,8093097085.3185,76383.0,142.0,0.0,0.0,0.0,0.0,1386.0,70.0,53.0,1954.0,10090.0,874.0,4656.0,346.0,62.0,0.0,0.0
01,00403,group,7368.0,2988.0,2988.0,2988.0,1225.0,1763.0,0.0,2092.3333333333335,43089.166666666664,62895.0,62895.0,0.0,1313.8333333333333,30151.666666666668,1088.8333333333333,148.5,122160159.3,2988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1678.0,85.0,0.0,0.0,0.0
01,00403,other,109510.0,53333.0,47667.0,46062.0,43187.0,2875.0,128.0,44860.666666666664,843199.5,869408.0,896151.0,7680.0,35142.0,677778.6666666666,21396.333333333332,4473.0,5112205990.4445,46062.0,128.0,0.0,0.0,0.0,0.0,272.0,75.0,44.0,710.0,5666.0,376.0,2292.0,501.0,0.0,0.0,82.0
01,00501,group,13757.0,5207.0,5189.0,5189.0,4553.0,636.0,0.0,4845.166666666667,117625.5,127703.0,127703.0,0.0,2744.0,75240.0,1731.0,1368.5,280589363.4125,5189.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,481.0,155.0,0.0,0.0,0.0
01,00501,other,103800.0,44313.0,42383.0,41285.0,36113.0,5172.0,0.0,38277.083333333336,972962.5,1050557.0,1064430.0,0.0,26041.916666666668,647423.5,14329.25,6094.166666666667,3593335828.845,41285.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,526.0,1930.0,559.0,3368.0,796.0,35.0,16.0,957.0
