approach,f_beta,f_vot,f_tau,f_nhts,f_pi_source,f_fill_in,note,is_central,umr_eq_a4_hours_per_other_car_commuter,others_passenger_hours_m,others_truck_person_hours_m,time_bn,fuel_bn,total_bn,usd_per_other_commuter,hours_per_other_commuter,usd_per_other_car_commuter,usd_per_other_resident,f_variant,f_theta,f_sigma,f_hours,areas_at_free_flow_cap,uncapped_others_passenger_hours_m,f_elasticity,f_share,f_residual,f_elasticity_value
"A1 BPR, DT fill-in",low,low,high,2017 southwest,nhts,DT 0.32,,False,7.726140995993209,849.7691658497471,52.94766596330156,14.002917975555025,1.1885658185115981,15.191483794066624,172.36709007696112,9.641733509392644,195.59866068269758,73.10550926274196,,,,,,,,,,
"A1 BPR, trips fixed",low,low,high,2017 southwest,acs,trips fixed,,False,18.547010999604183,2073.3694696172033,122.87721745072405,33.97800624261682,2.8307752729526587,36.808781515569486,417.64337474364305,23.52506621321037,473.9331893714985,177.1337648457823,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,high,2017 southwest,acs,DT 0.48,,False,10.577632043058653,1185.9893769463254,72.5013642062333,19.501745556703636,1.6465971424008332,21.148342699104465,239.9553816078669,13.456587950037457,272.29647634677906,101.77151778188194,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,high,2017 southwest,acs,DT 0.44,,False,9.838429921220404,1103.4131851329173,67.68493337339505,18.15080774070415,1.534361625540813,19.68516936624496,223.3537821142279,12.519653935858193,253.45731961044115,94.73033384696339,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,high,2017 southwest,acs,DT 0.32,,False,7.4845732677821655,840.1563649629173,52.145245230579064,13.838452192754525,1.1742336389242995,15.012685831678823,170.33839525647807,9.532663813580625,193.29653914868993,72.2450853388718,,,,,,,,,,
"A1 BPR, trips fixed",low,low,high,2022 national,nhts,trips fixed,,False,17.6247331240259,1957.5651200692535,114.42526740358294,32.032892368275675,2.691601634223721,34.72449400249939,393.99442916454456,22.211115645877932,447.09684793436963,167.10361228409008,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,high,2022 national,nhts,DT 0.48,,False,9.939729107773395,1105.2268785767646,66.58580618551433,18.144584564649353,1.544374916081427,19.688959480730777,223.39678587961612,12.54023264070661,253.50611940691326,94.74857289809268,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,high,2022 national,nhts,DT 0.44,,False,9.235711479460917,1027.0511681581181,62.08462615654859,16.867383391236384,1.4373060292562607,18.304689420492647,207.69044636740216,11.653227796267107,235.68288545056413,88.08709275022191,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,high,2022 national,nhts,DT 0.32,,False,7.003596072022325,779.0852189627993,47.64266204796934,12.811317309121758,1.0956168200945657,13.906934129216323,157.79220780798485,8.83973244055589,179.05938134493726,66.92391050022717,,,,,,,,,,
"A1 BPR, trips fixed",low,low,high,2022 national,acs,trips fixed,,False,17.411315918983572,1948.2575121461437,113.7122085259582,31.8755513431457,2.6781140428253885,34.55366538597109,392.05615691069414,22.10550876013644,444.8973360860099,166.28153899768543,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,high,2022 national,acs,DT 0.48,,False,9.793173519278461,1099.0070254385907,66.11499849658973,18.039610403429503,1.5351877986328597,19.57479820206236,222.10147808280792,12.469660338443955,252.03623051968768,94.19919809519159,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,high,2022 national,acs,DT 0.44,,False,9.097387241510104,1021.1951412206706,61.64125786955892,16.76854663973871,1.4286413219002747,18.197187961638985,206.47070286552838,11.586783574208011,234.2987453851003,87.56976679296065,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,high,2022 national,acs,DT 0.32,,False,6.893618842271043,774.4652668182658,47.292042429547266,12.733317844516343,1.0887428931634489,13.82206073767979,156.82920908301313,8.78731309046192,177.96659001940344,66.51547689392218,,,,,,,,,,
"A1 BPR, trips fixed",low,low,high,2017 national,nhts,trips fixed,,False,20.017574660620088,2175.8829975814665,131.725808418658,35.74059385346386,2.965419719437279,38.70601357290113,439.169933528553,24.688215168786694,498.3610895324616,186.26375620284784,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,high,2017 national,nhts,DT 0.48,,False,11.660265308869526,1261.1211676599721,78.88135118924902,20.79040821686633,1.7496799427154093,22.540088159581735,255.746539232903,14.309055576842983,290.21596016882023,108.46897156793268,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,high,2017 national,nhts,DT 0.44,,False,10.866764581268463,1174.755856310858,73.74151812230228,19.374430440264028,1.6325964630638896,21.00702690332792,238.35197058955498,13.329129086275167,270.4769582034626,101.0914681331999,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,high,2017 national,nhts,DT 0.32,,False,8.318621083825153,897.9722975041044,57.05681940268682,14.830172410925446,1.2547272387880717,16.084899649713517,182.50405190070475,10.188660567242211,207.10187835163072,77.40486684991748,,,,,,,,,,
"A1 BPR, trips fixed",low,low,high,2017 national,acs,trips fixed,,False,19.248067137840504,2150.332391068258,129.0682281308614,35.28781454930067,2.927688108867953,38.21550265816862,433.6044509088464,24.398310393579457,492.0454932896905,183.90328564535963,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,high,2017 national,acs,DT 0.48,,False,11.078596576564447,1241.3658526520721,76.91870664258991,20.44307189247089,1.7197199972155035,22.162791889686392,251.46562362121324,14.084905901431066,285.35806438507,106.65332035653458,,,,,,,,,,
"A1 BPR, DT fill-in",low,low,high,2017 national,acs,DT 0.44,,False,10.313063968761764,1155.913356373797,71.87424609127768,19.043282767498066,1.6039540060699682,20.647236773568036,234.26968484671366,13.11533648194806,265.84446354646445,99.3600611804388,,,,,,,,,,
