area_group,name,state,size,pop_k,auto_commuters_k,freeway_dvmt_k,arterial_dvmt_k,vot,commercial_vot,gas_price,diesel_price,fuel_kgal,delay_kph,delay_per_auto_commuter,tti,cost_musd,cost_per_auto_commuter,truck_delay_kph,truck_fuel_kgal,truck_cost_musd,ua,ua_name,match,ua_pop20,acs_group_car_commuters,acs_other_car_commuters,acs_group_car_person_minutes,acs_other_car_person_minutes,acs_group_carpool_2,acs_other_carpool_2,acs_group_carpool_3,acs_other_carpool_3,acs_group_carpool_4,acs_other_carpool_4,acs_group_carpool_5_6,acs_other_carpool_5_6,acs_group_carpool_7plus,acs_other_carpool_7plus,acs_group_carpooled,acs_other_carpooled,acs_group_commuter_minutes,acs_other_commuter_minutes,acs_group_commuters,acs_other_commuters,acs_group_drove_alone,acs_other_drove_alone,acs_group_means_bicycle,acs_other_means_bicycle,acs_group_means_bus,acs_other_means_bus,acs_group_means_car_truck_van,acs_other_means_car_truck_van,acs_group_means_commuter_rail,acs_other_means_commuter_rail,acs_group_means_ferry,acs_other_means_ferry,acs_group_means_light_rail,acs_other_means_light_rail,acs_group_means_motorcycle,acs_other_means_motorcycle,acs_group_means_other,acs_other_means_other,acs_group_means_subway,acs_other_means_subway,acs_group_means_taxi_ridehail,acs_other_means_taxi_ridehail,acs_group_means_walked,acs_other_means_walked,acs_group_means_worked_from_home,acs_other_means_worked_from_home,acs_group_personal_income,acs_other_personal_income,acs_group_persons,acs_other_persons,acs_group_transit_commuters,acs_other_transit_commuters,acs_group_transit_minutes,acs_other_transit_minutes,acs_group_vehicle_minutes,acs_other_vehicle_minutes,acs_group_vehicle_minutes_peak,acs_other_vehicle_minutes_peak,acs_group_vehicles,acs_other_vehicles,acs_group_vehicles_before_6am,acs_other_vehicles_before_6am,acs_group_vehicles_narrow_peak,acs_other_vehicles_narrow_peak,acs_group_vehicles_peak,acs_other_vehicles_peak,acs_group_workers,acs_other_workers,in_scope,s,c_commute,phi_commute_route,phi_population_route,q,persons,other_persons,group_persons,other_commuters,other_car_commuters,urbansize,h_other_2022,h_other_2017,passenger_delay_ph,truck_delay_ph,passenger_fuel_gal,truck_fuel_gal,w_truck
101,Akron OH,OH,Med,560,275,6335.0,5051.0,24.01,80.15999999999998,3.6,4.02,5098,16202,42,1.2,454,933,1002,1409,76,00766,"Akron, OH",exact,541879.0,1671.279585191481,222420.47312141786,34489.69813842616,5123295.662434797,33.19801040895911,17993.929071872815,0.0,2272.960176872313,198.6684,623.162707709229,0.0,547.9538785821418,0.0,432.1562792220778,231.8664104089591,21870.162114258575,34489.69813842616,5482861.70990323,1671.279585191481,237088.40104272572,1439.4131747825218,200550.31100715927,0.0,1268.8641772522749,0.0,3346.9874545345465,1671.279585191481,222420.47312141786,0.0,0.0,0.0,133.434,0.0,0.0,0.0,137.54775296470353,0.0,3220.5821339966,0.0,0.0,0.0,304.7053578442156,0.0,6255.807044715529,321.7023225377462,30513.30839109089,150674305.3747029,20505208849.492363,5957.346432426757,534894.4527341767,0.0,3480.4214545345462,0.0,137879.1791180182,31416.25573229177,4888617.79283508,27749.537781566843,3240669.0358016444,1505.6792799870013,211068.66941146317,125.97475520447955,25341.75774558306,1037.9363664033597,95577.00333759107,1358.6463609989,142049.07163360264,1992.981907729227,267601.7094338166,True,0.011424574281918502,0.006622954382846461,0.005703090261009149,0.010003262407822082,1.035403785034832,560000.0,553602.2384021257,6397.7615978743615,245417.84296489012,230230.61487654987,3,303.794226077386,360.5279398245528,15200000.0,1002000.0,3689000.0,1409000.0,0.07981519834315755
101,Albany-Schenectady NY,NY,Med,605,277,6022.0,5574.0,24.01,80.15999999999998,3.56,4.4,4665,16049,43,1.13,436,940,719,850,54,00970,"Albany--Schenectady, NY",exact,593142.0,1370.2980905909408,239788.91736710328,36860.52051181882,5352559.031267513,170.4505,17968.82011571843,0.0,4195.754454834517,0.0,2347.2469,0.0,919.6729,0.0,351.65867679232076,170.4505,25783.153047345266,41511.944491120885,6019468.812374832,1758.152986451355,263127.4613188381,1199.8475905909409,214005.76431975802,159.8655,637.8290195780422,0.0,10480.012997620239,1370.2980905909408,239788.91736710328,0.0,198.9319411558844,0.0,0.0,0.0,0.0,0.0,25.655686951304872,0.0,1229.6612386461352,0.0,345.8782,0.0,2061.926563613639,227.98939586041396,8358.648304169583,55.46301279872013,37528.57768418158,108045780.31069288,28540803083.838146,2976.474542415758,598372.9354054495,0.0,11024.823138776123,0.0,458710.65462136787,34729.88926181882,5068859.508827102,28176.29745,3938525.7892625085,1285.0728405909408,227276.27140814497,0.0,17720.91972748904,767.4228499999999,122517.14389083587,1017.31525,174466.1491405959,1813.615999250075,300656.0390030197,True,0.005133821113932197,0.007058186351348832,0.006078242607182681,0.0044915753232894935,1.0060706637301786,605000.0,601894.038226071,3105.9617739289793,264659.0069006425,241193.30102775383,3,303.794226077386,360.5279398245528,15330000.0,719000.0,3815000.0,850000.0,0.05812543452602306
101,Albuquerque NM,NM,Med,770,365,6771.0,8808.0,24.01,80.15999999999998,3.27,3.8,6676,23163,48,1.21,623,1281,956,1206,72,01171,"Albuquerque, NM",exact,769837.0,103813.3289,201573.0688,2544913.9208,4878023.0856,11254.1191,15510.156799999999,4107.9984,3114.6283,1176.9092,1517.7443,711.5486000000001,1100.1488,191.0278,139.6078,17441.6031,21382.286,2639069.8323,5185029.5962,107273.6234,214329.1662,86371.7258,180190.7828,391.4302,1605.5154,555.0796,958.6084,103813.3289,201573.0688,59.994,184.6251,0.0,0.0,0.0,0.0,139.3365,461.2141,1215.8735,4026.5759,0.0,0.0,115.93039999999999,654.7071000000001,982.6503,4864.8514000000005,10454.4349,38411.185900000004,8014410547.067123,24835181165.53339,238188.6201,527474.177,615.0736,1143.2334999999998,20781.796000000002,54420.268,2275078.9606345235,4615567.584008333,1413919.2423761904,3183738.4431916666,94085.6948092857,190701.71721944443,13833.107483333333,20870.028633333335,39596.43389261905,89617.20922777777,63062.69823428571,133903.47197777778,117728.0583,252740.3521,True,0.32266280976353995,0.34245376821892654,0.30941890913415293,0.29403777865033043,1.0056646384236343,770000.0,521549.6364820742,248450.36351792575,211529.32185901,198830.44234145715,3,303.794226077386,360.5279398245528,22207000.0,956000.0,5470000.0,1206000.0,0.053607516715900354
101,Allentown PA-NJ,PA,Med,685,322,6776.0,6331.0,24.01,80.15999999999998,3.75,4.509999999999999,4232,15292,36,1.15,421,832,801,827,60,01495,"Allentown--Bethlehem, PA--NJ",first_city,621703.0,2688.1440618917018,253237.78079032045,68405.06932308247,7006097.894285095,6.247999999999999,19152.182078809714,125.08893510648934,3797.724010466058,0.0,2139.512719143624,0.0,539.9483716828317,0.2595740425957404,1276.5300316831683,131.59650914908508,26905.8972117854,113555.06932308247,7387126.728588443,4266.144061891701,268853.3003605627,2556.5475527426165,226331.88357853505,0.0,236.49819305933497,1366.0,4303.264012486145,2688.1440618917018,253237.78079032045,0.0,294.80009018317486,0.0,51.0,0.0,0.1752175217521752,0.0,55.64269134358691,0.0,2421.7450594362376,0.0,90.50216286832162,0.0,2442.2375398260174,212.0,5719.654603517653,187.21922832283227,39331.63144766501,272720080.18529105,26560209034.59378,12272.38891740273,625091.3823224436,1366.0,4739.7414830593925,41970.0,165568.06391791214,67029.52510350442,6580851.850325162,45743.996097005074,4093652.456627936,2601.3938218490393,240454.77373129365,852.867200179982,38887.91450940309,484.5132636806737,97357.67986862792,1744.323029628261,155833.21789738667,4453.363290214534,308184.9318082277,True,0.01997133904086519,0.010457992588156951,0.00901031019496112,0.017505567262029894,1.0747394673335262,685000.0,671319.6327570073,13680.367242992656,288776.65886796976,272057.1445189321,3,303.794226077386,360.5279398245528,14491000.0,801000.0,3405000.0,827000.0,0.0677999959370789
101,Anchorage AK,AK,Sml,265,123,975.0,2051.0,24.01,80.15999999999998,4.37,3.95,1718,5737,34,1.15,157,1250,248,336,19,02305,"Anchorage, AK",exact,249252.0,5363.560100000001,106249.0429,101853.84909999999,1868086.2384000001,271.81710000000004,11903.7862,81.3148,2115.9949,0.0,689.0482,0.0,1029.5043,0.0,81.3148,353.13190000000003,15819.648400000002,104307.6851,2091054.9715,5480.1353,114534.0025,5010.4282,90429.3945,0.0,864.0192,0.0,1685.7536,5363.560100000001,106249.0429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2100.1928,0.0,0.0,0.0,1927.6281,116.57520000000001,1707.3659000000002,564.3081,10972.2185,461565544.8705748,13266337915.179585,11960.5515,236007.04100000003,0.0,1685.7536,0.0,65279.94,98902.40776666667,1734181.0888666667,74959.93386666667,1302002.3758666667,5173.4416833333335,99390.53928333333,603.5001,10241.54798,1772.3838999999998,47755.03071333333,3644.754183333333,72439.82035333333,6044.4434,125506.22099999999,True,0.050028989205884875,0.05596159261956769,0.048523804202187264,0.04401882045820553,1.0686880383371065,265000.0,251742.31786044053,13257.682139559492,122183.21347943203,113333.81160149592,2,293.6911726184126,351.3603531069761,5489000.0,248000.0,1382000.0,336000.0,0.056113167588310364
101,Atlanta GA,GA,Vlg,5275,2327,60813.0,58556.0,24.01,80.15999999999998,3.4300000000000006,4.0,70423,261228,87,1.3,7003,2222,10426,11787,780,03817,"Atlanta, GA",exact,4999259.0,132603.0215261856,1868968.2572502499,4488527.861472291,59979483.9497543,24500.562374796827,136981.5921567769,6106.81435720428,30123.75146819488,4232.5411,14519.480740980813,631.9092,4790.8551440116125,256.2554,2101.3812217078294,35728.08243200111,188517.060731672,4853659.710734384,64260171.75286881,144673.11591680654,2001796.0124621734,96874.93909418448,1680451.1965185779,217.0,3833.825280371963,2357.004390620938,30124.55467860214,132603.0215261856,1868968.2572502499,182.0,986.424,0.0,7.1859,0.0,1402.066,47.0,2744.122886551345,3267.7649,32142.964090668254,774.9929999999999,14182.2568,2766.7164000000002,18911.721439764766,2457.6157,28492.63413596505,11340.970569057956,516090.7283906546,8466423631.959751,249446715428.76907,328157.3949178579,4866467.938542705,3313.997390620938,46702.48737860214,159389.11106209378,2310127.4294930105,3744997.709266338,57108243.566948615,2671949.6893636244,40852454.3375736,115187.53605453987,1785450.6590469046,15118.402701971747,210809.79456858488,47541.4120851128,804103.434243362,79944.55024533356,1257227.511384674,156014.08648586448,2517886.740852828,True,0.06552294586034979,0.0638312412252553,0.05540889739823338,0.057764612781790854,1.0154726590234937,5275000.0,4929366.460586655,345633.53941334516,2027302.9766271638,1892876.0637749925,4,261.4965547607672,364.7870800038054,250802000.0,10426000.0,58636000.0,11787000.0,0.0518614819908442
101,Austin TX,TX,Lrg,1750,874,20063.0,15784.0,24.01,80.15999999999998,3.27,3.67,21134,72973,64,1.34,1980,1544,3401,3823,253,04384,"Austin, TX",exact,1809888.0,178491.29710952906,607779.4647157785,5094973.317815139,16336739.534974342,21674.55949530047,50722.542955624434,3633.6502942405764,13367.787596960305,1296.4883448555145,2062.123088851115,1172.8826606139387,1387.0231073792622,304.4202579742026,644.5476,28082.001052984702,68184.02434881512,5450458.912647165,17587042.07182077,193225.59770439955,663423.3400073192,150409.29605654435,539595.4403669633,407.37028269173084,5546.690990510949,4439.4178999999995,12380.124352824718,178491.29710952906,607779.4647157785,71.8692,278.5008,0.0,80.2224,0.0,117.0178,198.0453,2176.5709589941007,2812.5633329567045,11437.977456664334,0.0,685.8951999999999,783.036207159284,5117.549056574343,6021.998372062793,17823.326275972402,37498.07901018898,231996.47831697832,16008455441.988338,106337833209.20332,431530.61569026095,1548939.5026436257,4511.2871,13541.760552824719,167862.436,486851.28796948306,4636509.559783265,15454393.23534396,3254002.8395848162,11888207.550792377,164031.8230093861,577566.9807180194,20449.63939892361,50947.72351317335,68775.35709140144,286641.0911742437,114482.32843565563,439095.4178174937,230723.67671458854,895419.8183242976,True,0.2260001708017153,0.23936307513227964,0.21305071983605275,0.20337572773630574,0.8836285808100076,1750000.0,1354499.7010969983,395500.29890300176,579867.1100130852,531183.013836149,5,282.92661513740046,334.9344494131314,69572000.0,3401000.0,17311000.0,3823000.0,0.06043458884222183
101,Bakersfield CA,CA,Med,575,279,2894.0,5136.0,24.01,80.15999999999998,5.46,5.45,4158,12745,34,1.16,361,900,698,894,54,04681,"Bakersfield, CA",exact,570235.0,106380.6775070507,105248.18894966497,2520940.6754470947,2454590.419042514,8914.342779917992,9220.718421112111,2333.7866793979397,2063.4091637863785,1300.638379957996,822.7261485048505,130.5136281328133,605.7328,265.119,784.1921,12944.40046740674,13496.77863340334,2602358.186982478,2527716.7007059907,109684.52066930693,109609.41533140314,93436.27703964396,91751.41031626162,39.5773,311.73725990599064,663.6835679067907,701.5687765576558,106380.6775070507,105248.18894966497,10.0594,0.0,0.0,190.3752,0.0,0.0,0.0,122.9904,1301.636214231423,1062.8993726772678,0.0,0.0,455.97,602.892,832.9166801180118,1368.7633725972598,7836.5194292729275,10488.04347939794,7114305255.284735,10994213546.530514,290066.5450231423,285719.7204691069,673.7429679067907,891.9439765576558,29674.471518601862,21708.08183348335,2336750.4186165244,2300931.398455492,1294668.1762896443,1477364.2581637157,99514.14197287548,98194.49722461078,21798.36294074991,16373.770170779935,39438.78464846139,44886.789815873155,62061.13938384944,66338.96380053963,117521.04009857986,120097.45881080108,True,0.5225186419282041,0.5226089325622759,0.4850141150568148,0.488962654494515,0.9986344490319214,575000.0,274551.78089128266,300448.21910871734,105384.27652191567,101151.76392196349,3,303.794226077386,360.5279398245528,12047000.0,698000.0,3264000.0,894000.0,0.07083619181385305
101,Baltimore MD,MD,Lrg,2595,1192,32287.0,19867.0,24.01,80.15999999999998,3.69,4.1,28771,107302,68,1.25,2915,1502,4974,5481,372,04843,"Baltimore, MD",exact,2212038.0,17996.08161539154,847475.5417256525,560313.4979333034,24381751.29270902,3488.015030733073,66856.09749920992,1303.9986000000001,17316.05726409641,0.0,5338.28443190319,651.0345,3461.2214616461647,0.0,906.6736560756076,5443.048130733073,93878.3343129313,621592.1793967896,27677143.144956496,19469.197137363735,949782.9930579058,12553.033484658466,753597.2074127212,91.0,4622.800786578658,448.5003,29505.76111068107,17996.08161539154,847475.5417256525,359.0567,7310.842631323132,0.0,332.0,0.0,1383.3624460846086,0.0,919.1510000000001,357.65176517651764,11231.884254485449,0.0,6788.254351345135,0.0,8546.122497519751,216.90675679567954,31667.272254235424,2501.7347,170102.8578639064,1370547143.657775,112024887294.34991,50774.9297450145,2155074.0791255827,807.557,45320.22053943394,41942.369,2389060.0341355237,444806.8313159726,23028526.49577091,304577.61453838984,16461135.124297326,14853.380320025002,804382.0863579573,2394.7030666666665,100739.78317104919,5428.007278722873,363242.2947559619,9839.423866689669,575896.6651241184,21970.931837363736,1119885.8509218122,True,0.023874759099975017,0.019654505930684484,0.01695557916349395,0.02093734565556882,1.1764177827061018,2595000.0,2533045.0001355647,61954.999864435165,1116489.4164609278,996197.5911540996,4,261.4965547607672,364.7870800038054,102328000.0,4974000.0,23290000.0,5481000.0,0.06011364306563627
101,Baton Rouge LA,LA,Med,630,321,6247.0,9809.0,24.01,80.15999999999998,3.18,3.7400000000000007,10451,29287,68,1.25,918,1840,3851,5136,290,05680,"Baton Rouge, LA",exact,631326.0,5746.549945325467,255496.01114616537,177288.14466151386,6805502.998578432,357.4332,17664.074506139386,224.63653634636538,3171.759601379862,605.6557,2338.9759816818314,49.690799999999996,297.58389999999997,0.0,314.8743,1237.4162363463654,23787.26828920108,184958.44066151383,7140473.148969873,6126.544445325468,267380.99231101887,4509.133708979102,231708.7428569643,0.0,2045.110281681832,118.5121,1587.4233240175981,5746.549945325467,255496.01114616537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.9341,0.0,875.6078676832317,0.0,0.0,196.5864,1307.8197,64.896,6049.085891470852,263.0614,25704.32800127987,246320017.91612414,23669978676.143337,12470.4275549945,626160.2728541446,118.5121,1587.4233240175981,4740.484,67483.69466868314,168292.1065185623,6560661.918104323,109376.85445732094,4257791.105117866,5120.66763942789,243611.42911448583,1429.5771364948505,47092.3218802803,1481.4294454487883,102069.43549477057,3166.2389788554474,164529.85314450948,6389.605845325467,293085.3203122988,True,0.02025335616521801,0.025940696588368298,0.02239828176143553,0.01775339575475066,0.986485616172837,630000.0,617240.3856159126,12759.614384087346,263542.6330861472,251832.2175098118,3,303.794226077386,360.5279398245528,25436000.0,3851000.0,5315000.0,5136000.0,0.16611768603369115
