group,item,estimate,se
group,persons,39429519.0,75333.5097977653
group,workers,18625879.0,50188.16805483141
group,commuters,17199374.0,50136.881485090395
group,car_commuters,15839854.0,46897.804907586025
group,drove_alone,13053399.0,40739.94313385821
group,carpooled,2786455.0,22097.655214976996
group,transit_commuters,527322.0,10029.80176523943
group,vehicles,14352242.882936506,42162.61555012084
group,vehicle_minutes,385906136.6277778,1694193.933670659
group,car_person_minutes,430484334.0,1974523.227601248
group,commuter_minutes,471752638.0,2143882.423558403
group,transit_minutes,24983806.0,572730.5671438796
group,vehicles_peak,9094980.394047618,35424.356771748644
group,vehicle_minutes_peak,240376045.88095233,1438782.945339342
group,vehicles_narrow_peak,5541069.634523808,29359.379958405916
group,vehicles_before_6am,2792456.4484126987,21526.808050843036
group,personal_income,1094950110019.7755,4351063802.766433
group,means_car_truck_van,15839854.0,46897.804907586025
group,means_bus,330900.0,8602.505085729388
group,means_subway,141669.0,6492.70884146209
group,means_commuter_rail,35261.0,2666.9392569010643
group,means_light_rail,16434.0,1523.202465202837
group,means_ferry,3058.0,725.630518928194
group,means_taxi_ridehail,77275.0,3634.4305055950654
group,means_motorcycle,23746.0,1955.686145576534
group,means_bicycle,71508.0,3670.194701919777
group,means_walked,397979.0,9469.89117149717
group,means_worked_from_home,1426505.0,17777.252199088587
group,means_other,261690.0,8382.830333485224
group,carpool_2,1885517.0,17116.50496888895
group,carpool_3,513553.0,10426.177616940928
group,carpool_4,227513.0,8677.177974433855
group,carpool_7plus,48681.0,3320.841128389011
group,carpool_5_6,111191.0,6226.297595682365
group,mean_one_way_minutes_commuters,27.428477222484958,0.09151382102938463
group,mean_one_way_minutes_car,27.177291785643984,0.08789830204556025
group,vehicles_per_car_commuter,0.9060842911138263,0.0007638887419039662
group,peak_share_of_vehicles,0.6336974971947215,0.0017121989244419699
group,peak_share_of_vehicle_minutes,0.6228873372718735,0.0024379587827138543
group,narrow_peak_share_of_vehicles,0.3860769135332589,0.0016643676105012823
group,before_6am_share_of_vehicles,0.19456585783763958,0.0013734910740515946
group,car_share_of_commuters,0.920955262674095,0.001001199187572446
group,wfh_share_of_workers,0.07658725797585177,0.0009398092981131454
