group,item,estimate,se
group,commuters_per_person,0.4362055240897055,0.0008566750861411783
group,vehicle_minutes_per_person,9.787239266798508,0.03547018390884817
other,persons,300681471.0,75332.95037797205
other,workers,146824216.0,119922.48114594695
other,commuters,126203045.0,115463.06854769624
other,car_commuters,113866059.0,110243.61728576399
other,drove_alone,101471118.0,111120.51802952505
other,carpooled,12394941.0,54780.78035041122
other,transit_commuters,5565727.0,29415.697410566354
other,vehicles,107785381.36190479,107159.65388071828
other,vehicle_minutes,2852019587.5412707,4692893.234067436
other,car_person_minutes,3022519575.0,4897482.282512832
other,commuter_minutes,3427519897.0,5224751.498468927
other,transit_minutes,279565447.0,1856239.5391791977
other,vehicles_peak,74979135.72182539,97378.63298377286
other,vehicle_minutes_peak,1954313672.948413,4084045.2388514876
other,vehicles_narrow_peak,47829421.40912699,86115.98659820472
other,vehicles_before_6am,15110321.080555558,57775.72237759293
other,personal_income,14312822636763.21,21578499389.548935
other,means_car_truck_van,113866059.0,110243.61728576399
other,means_bus,2437565.0,23334.49875184809
other,means_subway,2265995.0,19068.220124070314
other,means_commuter_rail,650803.0,10056.256356119806
other,means_light_rail,145956.0,6094.321951620213
other,means_ferry,65408.0,3438.920266595316
other,means_taxi_ridehail,617784.0,11372.943266806531
other,means_motorcycle,189473.0,5751.360586852471
other,means_bicycle,732831.0,11549.527243571489
other,means_walked,3657560.0,27095.346969544422
other,means_worked_from_home,20621171.0,59879.88069335142
other,means_other,1573611.0,20936.048343706127
other,carpool_2,9198830.0,41328.35457346445
other,carpool_3,1858688.0,22914.837599249968
other,carpool_4,754102.0,16003.288899473133
other,carpool_7plus,175773.0,5996.553589354472
other,carpool_5_6,407548.0,10907.017135770899
other,mean_one_way_minutes_commuters,27.158773363986583,0.03147324851156929
other,mean_one_way_minutes_car,26.544517317491422,0.0319893935149617
other,vehicles_per_car_commuter,0.9465979793144925,0.00031685174678341857
other,peak_share_of_vehicles,0.6956336265125996,0.0006426738958208483
other,peak_share_of_vehicle_minutes,0.6852385171145436,0.0008428881446835828
other,narrow_peak_share_of_vehicles,0.44374683101535717,0.000683020090366333
other,before_6am_share_of_vehicles,0.14018896523472418,0.0005169110500749841
other,car_share_of_commuters,0.902244941871252,0.0003677528457754151
other,wfh_share_of_workers,0.1404480239145292,0.0003863374717586836
other,commuters_per_person,0.41972338561560385,0.00035615438757411225
other,vehicle_minutes_per_person,9.485185695201254,0.0151001178316281
all,persons,340110990.0,4.0
all,workers,165450095.0,114934.53433759586
all,commuters,143402419.0,110158.04427775576
all,car_commuters,129705913.0,109241.01443780171
all,drove_alone,114524517.0,108029.79147855466
all,carpooled,15181396.0,59320.32150199458
all,transit_commuters,6093049.0,31665.865907945736
all,vehicles,122137624.24484129,104291.88158965697
all,vehicle_minutes,3237925724.1690483,4791278.922124198
all,car_person_minutes,3453003909.0,4977560.799005137
all,commuter_minutes,3899272535.0,5257228.593704981
all,transit_minutes,304549253.0,2078672.5269992265
all,vehicles_peak,84074116.11587301,99645.0632159849
all,vehicle_minutes_peak,2194689718.8293653,4115581.864678007
all,vehicles_narrow_peak,53370491.0436508,87346.53279035214
all,vehicles_before_6am,17902777.528968256,61254.653922172416
all,personal_income,15407772746782.986,22434345916.64868
all,means_car_truck_van,129705913.0,109241.01443780171
all,means_bus,2768465.0,24902.065051918886
all,means_subway,2407664.0,20026.214312745185
all,means_commuter_rail,686064.0,10878.586934891866
all,means_light_rail,162390.0,6508.001283036137
all,means_ferry,68466.0,3449.1823886248753
all,means_taxi_ridehail,695059.0,11202.52373128484
all,means_motorcycle,213219.0,6180.2714098977885
all,means_bicycle,804339.0,12533.165521926214
all,means_walked,4055539.0,28022.54637073512
all,means_worked_from_home,22047676.0,61955.442705221634
all,means_other,1835301.0,21407.797321303282
all,carpool_2,11084347.0,45201.38591791185
all,carpool_3,2372241.0,24743.81592438806
all,carpool_4,981615.0,20609.952595772753
all,carpool_7plus,224454.0,6473.888711585951
all,carpool_5_6,518739.0,13669.301571404445
all,mean_one_way_minutes_commuters,27.191121057727763,0.029413644953938015
all,mean_one_way_minutes_car,26.621792554669423,0.02943537203160392
all,vehicles_per_car_commuter,0.9416503952664155,0.0002945285632816341
all,peak_share_of_vehicles,0.6883555876879932,0.000581438071226033
all,peak_share_of_vehicle_minutes,0.6778073080699188,0.0007625988914353085
all,narrow_peak_share_of_vehicles,0.43697010952712223,0.0006175271687903599
all,before_6am_share_of_vehicles,0.14657872739590652,0.0004908024091609994
all,car_share_of_commuters,0.9044890170227882,0.0003395552652407435
all,wfh_share_of_workers,0.13325876905661493,0.00035332871370382437
all,commuters_per_person,0.42163418182987855,0.00032388959446879987
all,vehicle_minutes_per_person,9.520203167116264,0.014087454013671067
group_share,persons,0.11593132877005827,0.0002214966513602139
group_share,workers,0.11257702209237172,0.00030423333429028995
group_share,commuters,0.11993782336405358,0.0003507397475617393
group_share,car_commuters,0.12212129450104561,0.00035624354922461366
group_share,drove_alone,0.11397907925688959,0.000359932447267578
group_share,carpooled,0.1835440561592623,0.0013523427497914794
group_share,transit_commuters,0.08654484807195872,0.0015348724883266487
group_share,vehicles,0.11750877726396171,0.0003463938449568065
group_share,vehicle_minutes,0.11918313435889986,0.0005113802850895145
group_share,car_person_minutes,0.12466951829332551,0.0005568294126903577
group_share,commuter_minutes,0.12098478210115672,0.0005380121142241118
group_share,transit_minutes,0.08203535472142498,0.0016687056073206496
group_share,vehicles_peak,0.1081781268031732,0.00040971336234950205
group_share,vehicle_minutes_peak,0.10952620947673984,0.0006470725907268751
group_share,vehicles_narrow_peak,0.10382272162330047,0.0005405158600586412
group_share,vehicles_before_6am,0.1559789504111449,0.0011420189426675214
group_share,personal_income,0.07106478840352781,0.00027097456704876455
group_share,means_car_truck_van,0.12212129450104561,0.00035624354922461366
group_share,means_bus,0.11952471857148275,0.00291606738142228
group_share,means_subway,0.05884085154739199,0.0025869964157917455
group_share,means_commuter_rail,0.05139607966603699,0.0036249585128466637
group_share,means_light_rail,0.1012008128579346,0.008743116648363207
group_share,means_ferry,0.04466450500978588,0.010562094496704644
group_share,means_taxi_ridehail,0.11117761226025416,0.005341415511558161
group_share,means_motorcycle,0.11136906185658876,0.008534829675670782
group_share,means_bicycle,0.08890281336600613,0.004207435663790814
group_share,means_walked,0.09813220881367433,0.0022515198577652243
group_share,means_worked_from_home,0.06470092358033563,0.0007790866585392582
group_share,means_other,0.14258696529888013,0.004454959472335221
group_share,carpool_2,0.1701062768966002,0.0014118480037364906
group_share,carpool_3,0.21648432853154465,0.004107824814152951
group_share,carpool_4,0.23177416808015364,0.006585859395308535
group_share,carpool_7plus,0.21688631078082815,0.013623697359973113
group_share,carpool_5_6,0.21434864160974978,0.009551679312229343
