survey,urbansize,label,cut,persons_5plus,sample_persons,pov_hours_per_person,driver_vmt_per_person
2022,1,50k-199k,hispanic,6636363.25948056,184,391.0758984031035,4980.207721225281
2022,1,50k-199k,non_hispanic,23155700.007234894,1481,288.4986958715603,5504.489994203925
2022,2,200k-499k,hispanic,7013555.950287601,189,215.39992546722576,2789.720451359491
2022,2,200k-499k,non_hispanic,26740012.43566788,1665,293.6911726184126,6212.256652564401
2022,3,500k-999k,hispanic,8125126.5833887,234,237.18908583199018,3666.249006249662
2022,3,500k-999k,non_hispanic,22408288.903146543,1420,303.794226077386,6735.488956865579
2022,4,1m+ with heavy rail,hispanic,12579232.9399298,386,220.8497835484593,3023.5808685564607
2022,4,1m+ with heavy rail,non_hispanic,50285584.881062455,2731,261.4965547607672,4624.565865298291
2022,5,1m+ without heavy rail,hispanic,13015419.58494178,410,255.33394216975242,4964.597510265871
2022,5,1m+ without heavy rail,non_hispanic,50797491.63628905,3245,282.92661513740046,5515.240299193026
2022,6,not in an urbanized area,hispanic,9346192.9452836,319,369.1072538165913,7120.972760458177
2022,6,not in an urbanized area,non_hispanic,75457955.87334824,4733,332.556996117695,8471.0148735621
2017,1,50k-199k,hispanic,5424134.60458008,3139,336.66770296434004,5817.435121109901
2017,1,50k-199k,non_hispanic,23247312.233358197,35022,326.3128586241594,6463.330760162293
2017,2,200k-499k,hispanic,4928003.638244014,2611,325.8670060100887,11824.882789488822
2017,2,200k-499k,non_hispanic,25366343.466091983,28080,351.3603531069761,6962.451752991378
2017,3,500k-999k,hispanic,5717953.529795093,2630,338.0123505995434,5856.208050029381
2017,3,500k-999k,non_hispanic,21027237.234306097,16582,360.5279398245528,6890.70045680879
2017,4,1m+ with heavy rail,hispanic,11763344.886600535,7364,348.08894929165376,5838.040826258453
2017,4,1m+ with heavy rail,non_hispanic,49166141.99585873,48000,364.78708000380533,6941.6811674723285
2017,5,1m+ without heavy rail,hispanic,16587427.792864386,3751,341.0935513330753,5315.716160791774
2017,5,1m+ without heavy rail,non_hispanic,56058540.89962931,27447,334.9344494131314,5676.50979151901
2017,6,not in an urbanized area,hispanic,7477168.099142174,4563,330.54521969687505,6627.793376070259
2017,6,not in an urbanized area,non_hispanic,74534379.76525101,84644,389.82176888226934,8627.2848787017
