name,ua,ua_name,match,pop_k,s,phi_commute_route,passenger_delay_ph,truck_delay_ph,delay_per_auto_commuter,cost_musd,other_commuters,other_persons,A1_bn,A1_hours_per_other_commuter,A1_usd_per_other_commuter,A1_umr_eq_a4_hours,A1_fill-in_bn,A1_fill-in_hours_per_other_commuter,A1_fill-in_usd_per_other_commuter,A1_fill-in_umr_eq_a4_hours,A2_bn,A2_hours_per_other_commuter,A2_usd_per_other_commuter,B1_bn,B1_hours_per_other_commuter,B1_usd_per_other_commuter,B2_bn,B2_hours_per_other_commuter,B2_usd_per_other_commuter,B3_bn,B3_hours_per_other_commuter,B3_usd_per_other_commuter,A1_cumulative_share,A1_fill-in_cumulative_share,A2_cumulative_share,B1_cumulative_share,B2_cumulative_share,B3_cumulative_share
Los Angeles-Long Beach-Anaheim CA,51445,"Los Angeles--Long Beach--Anaheim, CA",exact,12150,0.3654385023033682,0.34115749383558563,1050061000.0,39562000.0,137,29541,3202665.1149658696,7709922.197014077,13.158917035117055,169.7686292889771,4108.7396161484985,132.77675433712153,8.341300559727452,107.61418228440701,2604.487281779489,84.34951790292543,0.9326455452683415,12.01310268856118,291.2091997724466,2.4557402720970822,31.63158845802384,766.7802233276121,1.4894976297724813,19.185732534300556,465.08066760153747,1.1216834878154098,14.448038691176048,350.2343977751054,0.21766801811892847,0.24610311345117888,0.12785933253193857,0.1281520270230383,0.1252760283103127,0.12401354859933825
Chicago IL-IN,16264,"Chicago, IL--IN",exact,8665,0.19943467011641516,0.18692788477419242,396995000.0,25241000.0,87,11824,2916192.8397805165,6936898.583441263,4.333432994201728,60.23835175398152,1485.989861537373,51.64351138532733,2.3334799527442467,32.43727063154635,800.1802627428002,27.854032806161875,0.395591832239658,5.498346907611021,135.65352292320685,1.11513620236256,15.499323267399369,382.39453411677994,0.6726503794688846,9.34919488331476,230.66045917577617,0.5054963840319665,7.025914726841225,173.34120608773324,0.2893494314891795,0.314950492518051,0.18209227009526158,0.18634505596966203,0.18185011496673675,0.17990132894816904
Houston TX,40429,"Houston, TX",exact,5800,0.27856537271965226,0.24645776904801273,255560000.0,12480000.0,77,7267,1775987.5310175521,4184320.838226017,3.0170953640693066,71.05018249724701,1698.8268844098593,54.315421780147666,1.7311609671665833,40.76736012501458,974.7596404433732,31.219414878604447,0.35145801685817163,8.249625962749095,197.89441689199458,1.03226804005945,24.229992816544744,581.2360852939164,0.6242078486105429,14.651767855753102,351.47085084144874,0.4695289124462062,11.021054352391305,264.3762437775617,0.3392566667593904,0.36602695246026073,0.23027476308680347,0.2402136361561777,0.23434988304357382,0.2318125385139323
Dallas-Fort Worth-Arlington TX,22042,"Dallas--Fort Worth--Arlington, TX",exact,5955,0.2710771292206629,0.25140914379683893,217198000.0,14118000.0,69,6424,1884143.2583246143,4340735.695490953,2.641375263849595,56.80177950134346,1401.8972560495818,43.12498301131001,1.5185722592315434,32.656223316565246,805.9749451227303,24.834438707179736,0.379125723010378,8.14400866500944,201.21915960227872,1.0687431687219706,22.957697403462966,567.2303122387308,0.6461056992712667,13.879011879215444,342.91750184950683,0.48595560781005426,10.438823958950096,257.91860871671054,0.38294893393123747,0.41083115994822167,0.28225030956930813,0.2959856593603202,0.2886913967563048,0.28553988677297226
Phoenix-Mesa AZ,69184,"Phoenix--Mesa--Scottsdale, AZ",first_city,4185,0.2567464608768624,0.24139539899116697,192535000.0,10704000.0,76,5632,1249380.6644166247,3110516.061230331,2.313203265108828,75.4011892755635,1851.4799620249732,57.16061944642176,1.3187270130730075,42.9851247843373,1055.5045796941022,32.64506037764137,0.25924180657632384,8.448188130407635,207.49625311143427,0.7152563611874756,23.30881882279881,572.4887390677295,0.432206216614105,14.084763091683937,345.9363738560143,0.3250187580644577,10.591731520091763,260.1438995505979,0.42121274917368945,0.4497391001891432,0.3177905901414796,0.3333110856559206,0.32504263166005715,0.32147402504527983
San Francisco-Oakland CA,78904,"San Francisco--Oakland, CA",exact,3525,0.1449267892470979,0.13562493893458494,259986000.0,7497000.0,134,7138,1278093.3863211442,3014133.0679039797,2.2784794212955655,76.75732480652015,1782.7174803352407,71.84106642488038,1.1658462903351918,39.27496461964206,912.1761389368864,36.81091335592997,0.1153930796290111,3.8872287618144408,90.28532724135113,0.3223363164519511,10.858493458340186,252.20091106156326,0.19412806323460463,6.539561933063858,151.8887941305929,0.14580101567149956,4.9115761832698395,114.07696591809481,0.45890218050262227,0.4841364222617065,0.33361019300670863,0.35013210406972134,0.34137001094519187,0.33759381421862816
San Diego CA,78661,"San Diego, CA",exact,3175,0.31667923572749285,0.2990315024754563,157819000.0,4594000.0,88,4337,903631.1928708954,2169543.4265652103,1.9257632195958798,90.40785042017028,2131.1384940991293,70.46627037622271,1.1720493115243733,55.02349342591404,1297.0438833576518,42.975751789177686,0.23359763018047006,10.96336969277044,258.5099231007233,0.6115764877122032,28.702941571003695,676.7987786800328,0.37029415661707793,17.37890804341333,409.7846107333117,0.2786702130772555,13.078748127576217,308.3893244011442,0.4907571623569123,0.5187167592989662,0.3656348321929967,0.3820470290601483,0.372514055971024,0.3684036481762903
New York-Newark NY-NJ-CT,63217,"New York--Jersey City--Newark, NY--NJ",first_city,18990,0.035118057404986996,0.021108339214032372,853603000.0,39490000.0,99,24180,7822591.469002703,18323108.089879297,1.913240715175786,10.496629585946105,244.57888702958226,11.686197866015466,0.8662861910042186,4.752713565556899,110.74158665154744,5.292774243874377,0.12123916945753259,0.6642169357151013,15.498594032162757,0.4527517994366022,2.480431152793533,57.877469535594095,0.27188411977278887,1.489535417580835,34.75627237471615,0.20397868391387708,1.1175109247835326,26.07558949258054,0.5224050034022943,0.5442758105787185,0.38225589403391996,0.4056737380795763,0.3953812039308251,0.3909555718745248
Riverside-San Bernardino CA,75340,"Riverside--San Bernardino, CA",exact,2115,0.5443804054899741,0.5238715879871779,126672000.0,6966000.0,95,3731,381588.3298402578,963635.4423887047,1.4622677081263253,144.1370091905101,3832.0556310997936,107.0455660366401,1.0952051768015172,107.95428327953557,2870.1223049981554,80.34422220860196,0.261209429678103,25.727881590276922,684.53201854326,0.6177365282046243,60.8440984355843,1618.8559237732031,0.37761134304625266,37.192914256624334,989.5778081167472,0.28520262166572474,28.091096437424767,747.4091825216917,0.5465930815805935,0.5765889255358793,0.41806592229077644,0.43791012282884567,0.4271406699119717,0.42248763021968744
Denver-Aurora CO,23527,"Denver--Aurora, CO",exact,2720,0.19582235646765783,0.183598231257459,126271000.0,5513000.0,76,3532,950538.1391583079,2187363.190407971,1.3069252781794867,58.774598771662426,1374.9319720477035,46.075942054117064,0.7029123371229288,31.611095435913505,739.4888307641718,24.816681285950757,0.12706356441575445,5.713820562894259,133.6753983677793,0.353552489634675,15.898621250125982,371.94981986492644,0.21324005287155143,9.589022663833438,224.3361355919641,0.16024331756647858,7.205854543650877,168.58168122361977,0.5682115654095956,0.5973277675678285,0.43548546888889256,0.4563601473369481,0.44507548656858464,0.4402041631513196
