item,table_cell,pums,published,moe90,difference
workers 16+ (total),B08301_001E,165450095.0,165360450.0,170737.0,0.000542118747257847
"car, truck or van",B08301_002E,129705913.0,129643168.0,167691.0,0.0004839823105835528
drove alone,B08301_003E,114524517.0,114469546.0,171228.0,0.00048022379681667005
carpooled,B08301_004E,15181396.0,15173622.0,86362.0,0.0005123364744423764
2-person carpool,B08301_005E,11084347.0,11066823.0,65751.0,0.0015834716069824673
3-person carpool,B08301_006E,2372241.0,2382096.0,35641.0,-0.004137112861950176
4-person carpool,B08301_007E,981615.0,969379.0,27776.0,0.01262251400123171
5-6-person carpool,B08301_008E,518739.0,532261.0,19456.0,-0.02540482958548529
7+-person carpool,B08301_009E,224454.0,223063.0,10621.0,0.0062359064479542425
public transportation,B08301_010E,6093049.0,6097425.0,45794.0,-0.0007176800042640874
bus,B08301_011E,2768465.0,2771518.0,34452.0,-0.001101562392883615
subway or elevated rail,B08301_012E,2407664.0,2411200.0,29691.0,-0.001466489714664898
taxi or ride-hailing,B08301_016E,695059.0,693439.0,17463.0,0.0023361824183525393
motorcycle,B08301_017E,213219.0,211280.0,9555.0,0.009177394926164428
bicycle,B08301_018E,804339.0,803184.0,17630.0,0.0014380266539173459
walked,B08301_019E,4055539.0,4048560.0,42195.0,0.0017238227913134452
other means,B08301_020E,1835301.0,1837023.0,29152.0,-0.0009373861949469875
worked from home,B08301_021E,22047676.0,22026371.0,86199.0,0.0009672496663204466
"aggregate one-way travel time, minutes",B08133_001E,3899272535.0,3895171370.0,7663316.0,0.0010528843561510293
