approach,central_label,central_bn,factorial_min_bn,factorial_max_bn,min_bn,max_bn,central_time_bn,central_fuel_bn,central_others_passenger_hours_m,central_hours_per_other_commuter,central_usd_per_other_commuter,central_usd_per_other_resident,n_rows
"A1 BPR, trips fixed",trips fixed,60.45406738590023,33.738368022567194,93.31809007466383,21.76298588846051,93.31809007466383,57.05436942618874,3.399697959711484,2490.59205416721,28.25899765717911,685.9298156704102,290.92124529511074,169
"A1 BPR, DT fill-in",DT 0.44,33.89351903255044,13.50997456415071,60.28927670438618,10.386250479262243,60.28927670438618,31.955047927263262,1.93847110528718,1390.0030570067674,15.77138779741281,384.5659401875274,163.10473704673922,489
"A2 CDT supply curve, lanes fixed",,7.294309510300092,2.4005050423917127,49.24707034517508,2.4005050423917127,49.24707034517508,6.868272312842818,0.4260371974572741,290.1781506503084,3.292447538998332,82.76340359209655,35.10218084679948,650
"B1 population elasticity, lanes fixed",,19.162711110731056,8.047943973203898,35.25151421805585,8.047943973203898,35.25151421805585,18.068843786668328,1.0938673240627257,775.1834954413533,8.795462325878932,217.4258154711808,92.21612408604553,326
"B2 population elasticity, lanes as across metros",,11.889725830730745,6.880747557903327,17.37018351684591,6.880747557903327,17.37018351684591,11.205384470808522,0.6843413599222238,477.89793161369164,5.422371964628206,134.90436293368367,57.216561175507834,109
"B3 proportional capacity, residual",,9.044846313037407,1.0900735587293142,19.292812573047364,1.0900735587293142,19.292812573047364,8.522488977295664,0.5223573357417434,362.03338193048086,4.107738348669457,102.6255144201585,43.526235151308335,919
