level,personal_local,business,all_purposes_local,truck_driver
low,13.993269230769231,27.667874213836484,14.622301059990324,29.79049920909522
central,19.990384615384617,34.5848427672956,20.661729690372518,37.238124011369024
high,23.98846153846154,41.50181132075472,24.794075628447025,44.68574881364283
brief_literal,11.9,34.5848427672956,12.943502767295598,37.238124011369024
