outcome,label,n,estimator,coef,se,lo,hi,F,hansen_J,hansen_p
ssi_rate,household SSI receipt,334,"corr(Z, Z2) weighted",0.6527879965987118,,,,,,
ssi_rate,household SSI receipt,334,Mexico share of var(Z2),0.3268167052273912,,,,,,
ssi_rate,household SSI receipt,334,first-stage on Z,0.15296841468112732,0.028361494765078696,0.0973809063938518,0.20855592296840283,29.090105698792776,,
ssi_rate,household SSI receipt,334,first-stage on Z2,0.31472532904053996,0.039362983931631616,0.23757529821051315,0.39187535987056676,63.9274478587943,,
ssi_rate,household SSI receipt,334,first-stage on Z2_exmex,0.4422399133948015,0.05777448082013453,0.3290040117618377,0.5554758150277653,58.592734886270314,,
ssi_rate,household SSI receipt,334,first-stage on Z2_mex,0.8332199656107778,0.134230043692962,0.5701339143293345,1.0963060168922212,38.53185105186032,,
ssi_rate,household SSI receipt,334,first-stage on Z2_1990s,0.174922107599288,0.03276191046493127,0.11070994302329681,0.2391342721752792,28.506963827155634,,
ssi_rate,household SSI receipt,334,"first-stage on both, coefficient on Z",-0.016442945950592633,0.10240864091876468,-0.2171601938570663,0.18427430195588101,37.02589592148563,,
ssi_rate,household SSI receipt,334,"first-stage on both, coefficient on Z2",0.32830401071081106,0.10442984275050259,0.12362528000864473,0.5329827414129774,37.02589592148563,,
ssi_rate,household SSI receipt,334,partial F of Z2 given Z,,,,,9.883326176744507,,
ssi_rate,household SSI receipt,334,Z on baseline level (exogeneity test),0.13201828296206486,0.03467589113072818,0.06405478521400573,0.19998178071012399,,,
ssi_rate,household SSI receipt,334,Z2 on baseline level (exogeneity test),-0.08505126730745247,0.0828112429611756,-0.24735832102635272,0.07725578641144779,,,
ssi_rate,household SSI receipt,334,OLS,-0.1436947563378436,0.03245827708228572,-0.20731181041934543,-0.08007770225634175,,,
ssi_rate,household SSI receipt,334,IV with Z,-0.4424594432676656,0.0984070827066551,-0.6353373253727096,-0.24958156116262162,29.090105698792776,,
ssi_rate,household SSI receipt,334,IV with Z + baseline level,-0.424183804748159,0.08785811375411458,-0.5963857077062236,-0.2519819017900944,,,
ssi_rate,household SSI receipt,334,IV with Z2,-0.2804549647326997,0.06485628222312131,-0.4075732778900175,-0.15333665157538193,63.9274478587943,,
ssi_rate,household SSI receipt,334,IV with Z2 + baseline level,-0.27909549856092575,0.06907768485128178,-0.41448776086943806,-0.14370323625241346,,,
ssi_rate,household SSI receipt,334,IV with Z2_exmex,-0.29224519569669116,0.06563928296617141,-0.4208981903103871,-0.1635922010829952,58.592734886270314,,
ssi_rate,household SSI receipt,334,IV with Z2_exmex + baseline level,-0.291553259488577,0.0682441539277285,-0.42531180118692485,-0.1577947177902292,,,
ssi_rate,household SSI receipt,334,IV with Z+Z2,-0.2738879297105834,0.06410306560153692,-0.39952993828959577,-0.14824592113157103,37.02589592148563,6.492286771727972,0.010834352101889766
ssi_rate,household SSI receipt,334,IV with Z+Z2 + baseline level,-0.2859726166127401,0.06891173075089245,-0.4210396088844893,-0.1509056243409909,,10.67870699288918,0.001083757874026814
pa_rate,household public assistance receipt,334,"corr(Z, Z2) weighted",0.6527879965987118,,,,,,
pa_rate,household public assistance receipt,334,Mexico share of var(Z2),0.3268167052273912,,,,,,
pa_rate,household public assistance receipt,334,first-stage on Z,0.15296841468112732,0.028361494765078696,0.0973809063938518,0.20855592296840283,29.090105698792776,,
pa_rate,household public assistance receipt,334,first-stage on Z2,0.31472532904053996,0.039362983931631616,0.23757529821051315,0.39187535987056676,63.9274478587943,,
pa_rate,household public assistance receipt,334,first-stage on Z2_exmex,0.4422399133948015,0.05777448082013453,0.3290040117618377,0.5554758150277653,58.592734886270314,,
pa_rate,household public assistance receipt,334,first-stage on Z2_mex,0.8332199656107778,0.134230043692962,0.5701339143293345,1.0963060168922212,38.53185105186032,,
pa_rate,household public assistance receipt,334,first-stage on Z2_1990s,0.174922107599288,0.03276191046493127,0.11070994302329681,0.2391342721752792,28.506963827155634,,
pa_rate,household public assistance receipt,334,"first-stage on both, coefficient on Z",-0.016442945950592633,0.10240864091876468,-0.2171601938570663,0.18427430195588101,37.02589592148563,,
