cbsa,pred_2000s_all,pred_2000s_mex,pred_1990s_all,ancestry_2010_all,counties
10100,444.43661922211106,157.72290697766545,130.847242628696,29207.88,2
10140,719.0593530350618,119.40607439634195,659.6889901858722,46915.895,1
10180,2740.1778680080265,784.8438063970419,3407.7930197337505,88117.6,3
10220,380.28779318814236,97.47719141746839,309.6210046703903,12102.986,1
10300,974.8600317913446,228.7608683093126,696.9476938224133,68600.94,1
10420,11953.522439399017,4787.005515375307,11776.542451654805,460418.88,2
10460,2256.7696648119536,626.5748231046695,2759.413505018135,40624.133,1
10500,1164.1709543032787,295.1029531195938,1810.8135639758295,38950.96,5
10540,2187.4374133183337,637.0982060151922,2609.184915389142,76315.69,1
10580,21232.569128366093,9286.19797025852,19997.23467762297,644000.25,5
10620,413.82320653171433,39.566323693077614,918.5678058018952,23348.5,1
10660,441.9807359719169,89.54711794318817,1113.6851858152124,26094.865,1
10700,1440.0120266618485,115.20797194708172,1178.3021408585578,40966.703,1
10740,20294.195038725135,3470.8409442825437,20736.76736871058,620920.0,4
10780,1293.5740386007774,377.50472990768975,1477.8105245034133,53274.07,2
10820,133.87283336327886,31.985172571302115,161.797143954619,27611.818,1
10860,196.8015634988498,18.345354892984318,442.5805811162836,22373.95,1
10900,17600.05392309756,5841.284889827916,17307.578659648967,627144.75,4
10940,335.9782973792811,129.04890856923095,394.55022125555,29468.998,1
10980,70.45272553227588,23.162236553077676,126.10344830739098,23273.836,1
11020,764.9649824580051,323.51981239134506,585.2715114091382,90167.43,1
11060,365.1907024032643,54.7033177647639,348.7332481285896,14337.131,1
11100,8005.4327955975605,2332.2500265471267,5416.174194347922,139748.12,5
11140,485.2727396038115,146.0520972336568,471.31510660229804,10140.348,2
11180,4791.435963781951,1904.8431962276363,3640.0221141197003,73103.13,1
11220,253.23494867511747,83.19944823717425,539.5584723073939,34893.15,1
11260,8632.181919938099,2948.0339533949586,9266.314833643308,239908.3,2
11380,241.60447369009762,24.489672367338624,319.46274636021076,7830.708,1
11420,219.77874975459926,46.777909024946496,500.6136216155399,20534.977,1
11460,22520.05404529867,9175.487690578855,25806.668660975636,239536.58,1
11500,1276.4713133750845,295.21543835017115,796.9943917328437,39365.438,1
11540,2297.499052749754,808.865935646961,2534.717882123157,179036.72,2
11580,1324.185542560668,79.56453371355418,1406.9809926492485,20551.0,1
11620,493.6718461840985,126.54033450858957,401.93552715835824,15711.531,1
11660,146.20072544852687,25.109629279274092,218.16924028772053,11773.661,1
11680,169.34846277277396,54.09873291083321,464.3172849019615,18455.555,1
11700,8173.830273821124,2426.569457766632,7225.047437856577,234677.98,4
11740,594.5246851873865,183.27723419662487,361.56071900203807,33795.68,1
11780,764.8758809602735,184.53487572943303,581.0568952508074,66418.805,1
11820,363.0344391262384,73.03309462700416,297.93226294118017,26550.04,1
