case_id,allocation,normalization,profile,education_split,school_response,net_cost_bn,se_cps_fiscal_keys_bn,se_production_term_bn,se_school_correction_bn,se_meps_donor_bn,se_combined_independent_bn,se_all_positive_correlation_bn,ci95_low_bn,ci95_high_bn,ci95_envelope_low_bn,ci95_envelope_high_bn
personal_0,personal,gdp,proportional_reference,reference,1.0,284.18366116924074,9.792387782969467,1.124282551880874,2.096842699154899,6.741772658416773,12.124484221247872,20.092142960514032,260.41967209559493,307.94765024288654,244.80306096663324,323.56426137184826
personal_0,personal,cash,proportional_reference,reference,1.0,288.7156313920319,9.792387782969467,0.7373582935572889,2.096842699154899,6.741772658416773,12.094742809497959,19.70521870219045,265.00993548541595,312.4213272986479,250.09340273573864,327.3378600483252
personal_1,personal,gdp,school_response_only,national_school_share_low,0.63,231.36317430798303,9.792387782969673,1.124282551880874,1.5418686333080032,6.741772658416773,12.040918868951511,19.448012446375607,207.76297332483807,254.963375291128,193.24506991308684,269.4812787028792
personal_1,personal,cash,school_response_only,national_school_share_low,0.63,235.89514453077425,9.792387782969673,0.7373582935572889,1.5418686333080032,6.741772658416773,12.01097053552653,19.061088188052025,212.35364228114224,259.43664678040625,198.53541168219226,273.25487737935623
personal_2,personal,gdp,cbo_category_lag_non_school_fixed,national_school_share_low,0.63,131.757320584814,10.00157084545941,1.124282551880874,0.9449558418474177,6.741772658416773,12.15071482481689,18.964388823074188,107.9419195281729,155.5727216414551,94.5871184915886,168.92752267803942
personal_2,personal,cash,cbo_category_lag_non_school_fixed,national_school_share_low,0.63,136.2892908076052,10.001570845459408,0.7373582935572889,0.9449558418474177,6.741772658416773,12.121037775316058,18.5774645647506,112.53205676798572,160.04652484722467,99.87746026069402,172.70112135451637
personal_3,personal,gdp,cbo_category_lag_non_school_full,national_school_share_low,0.63,188.56938838936367,10.001570845459199,1.124282551880874,1.5418686333080032,6.741772658416773,12.211645593176959,19.657195508865136,164.63456302673683,212.5042137519905,150.041285191988,227.09749158673932
personal_3,personal,cash,cbo_category_lag_non_school_full,national_school_share_low,0.63,193.10135861215485,10.001570845459199,0.7373582935572889,1.5418686333080032,6.741772658416773,12.182116978997213,19.270271250541548,169.22440933332032,216.97830789098938,155.33162696109343,230.87109026321627
personal_4,personal,gdp,school_response_only,national_school_share_low,0.66,235.6459164859229,9.792387782969653,1.124282551880874,1.586866530538833,6.741772658416773,12.046763619829079,19.500239244819262,212.0342597910579,259.2575731807879,197.42544756607714,273.86638540576865
personal_4,personal,cash,school_response_only,national_school_share_low,0.66,240.17788670871408,9.792387782969653,0.7373582935572889,1.586866530538833,6.741772658416773,12.016829852696233,19.113314986495677,216.62490019742947,263.73087321999867,202.71578933518256,277.63998408224563
personal_5,personal,gdp,cbo_category_lag_non_school_fixed,national_school_share_low,0.66,136.04006276275382,10.001570845459396,1.124282551880874,0.9899537390782471,6.741772658416773,12.154297084426483,19.016615621517843,112.21764047727791,159.86248504822973,98.76749614457884,173.3126293809288
personal_5,personal,cash,cbo_category_lag_non_school_fixed,national_school_share_low,0.66,140.57203298554504,10.001570845459396,0.7373582935572889,0.9899537390782471,6.741772658416773,12.124628803106182,18.62969136319426,116.80776053145692,164.33630543963315,104.05783791368428,177.08622805740578
personal_6,personal,gdp,cbo_category_lag_non_school_full,national_school_share_low,0.66,192.8521305673035,10.001570845459183,1.124282551880874,1.586866530538833,6.741772658416773,12.21740866946519,19.70942230730879,168.90600957515173,216.79825155945528,154.22166284497828,231.48259828962873
personal_6,personal,cash,cbo_category_lag_non_school_full,national_school_share_low,0.66,197.3841007900947,10.001570845459183,0.7373582935572889,1.586866530538833,6.741772658416773,12.1878940179728,19.322498048985207,173.495828514868,221.27237306532137,159.51200461408368,235.2561969661057
personal_7,personal,gdp,school_response_only,national_school_share_high,0.63,220.29935790234077,9.792387782969717,1.124282551880874,1.4256233743320488,6.741772658416773,12.026585979892058,19.313092414903377,196.72724938175233,243.87146642292922,182.44569676913017,258.1530190355514
personal_7,personal,cash,school_response_only,national_school_share_high,0.63,224.83132812513196,9.792387782969717,0.7373582935572889,1.4256233743320488,6.741772658416773,11.996601865876443,18.92616815657979,201.31798846801414,248.3446677822498,187.73603853823556,261.92661771202836
