epsilon,profile,net_cost_min_bn,net_cost_max_bn,change_min_bn,change_max_bn,se_max_bn
5.0,cbo_category_lag_non_school_fixed,112.58647215603862,154.89188192843358,-8.207600376297526,-5.415607348257089,12.228754981641472
5.0,cbo_category_lag_non_school_full,156.91240017268098,191.9684934418376,-8.207600376297526,-5.415607348257089,12.273020907612695
5.0,education_fixed_diagnostic,25.445066103251897,40.93609772261214,-8.207600376297526,-5.415607348257089,12.1745572958454
5.0,education_full_diagnostic,218.81052614279366,240.50623812515545,-8.207600376297526,-5.415607348257089,12.3493176377462
5.0,proportional_reference,261.60431206141305,283.30002404377484,-8.207600376297526,-5.415607348257089,12.180520729150446
5.0,school_response_only,199.70618609130037,234.762279360457,-8.207600376297526,-5.415607348257089,12.103159972255694
7.0,cbo_category_lag_non_school_fixed,114.95537452154282,156.45495084867204,-5.838698010793324,-3.852538428018626,12.207013363107624
7.0,cbo_category_lag_non_school_full,159.28130253818517,193.53156236207607,-5.838698010793324,-3.852538428018626,12.251357844939688
7.0,education_fixed_diagnostic,27.8139684687561,42.499166642850604,-5.838698010793324,-3.852538428018626,12.152718716233391
7.0,education_full_diagnostic,221.17942850829786,242.0693070453939,-5.838698010793324,-3.852538428018626,12.327788648578315
7.0,proportional_reference,263.97321442691725,284.8630929640133,-5.838698010793324,-3.852538428018626,12.15869286063805
7.0,school_response_only,202.07508845680456,236.32534828069547,-5.838698010793324,-3.852538428018626,12.081192331888413
inf,cbo_category_lag_non_school_fixed,120.79407253233614,160.30748927669066,-0.0,-0.0,12.17294051571134
inf,cbo_category_lag_non_school_full,165.1200005489785,197.3841007900947,-0.0,-0.0,12.217408669465218
inf,education_fixed_diagnostic,33.652666479549424,46.35170507086923,-0.0,-0.0,12.118493212765685
inf,education_full_diagnostic,227.0181265190912,245.92184547341253,-0.0,-0.0,12.294050533326066
inf,proportional_reference,269.8119124377106,288.7156313920319,-0.0,-0.0,12.124484221247899
inf,school_response_only,207.9137864675979,240.17788670871408,-0.0,-0.0,12.046763619829104
