epsilon,epsilon_sourced,case_id,allocation,normalization,profile,production_term_bn,net_cost_bn,change_vs_headline_bn,se_combined_independent_bn
inf,True,personal_0,personal,gdp,proportional_reference,13.322597919257818,284.18366116924074,-0.0,12.124484221247899
inf,True,personal_0,personal,cash,proportional_reference,8.790627696466178,288.7156313920319,-0.0,12.09474280949797
inf,True,personal_1,personal,gdp,school_response_only,13.322597919257818,231.36317430798303,-0.0,12.040918868951538
inf,True,personal_1,personal,cash,school_response_only,8.790627696466178,235.89514453077425,-0.0,12.010970535526539
inf,True,personal_2,personal,gdp,cbo_category_lag_non_school_fixed,13.322597919257818,131.757320584814,-0.0,12.150714824816916
inf,True,personal_2,personal,cash,cbo_category_lag_non_school_fixed,8.790627696466178,136.2892908076052,-0.0,12.121037775316069
inf,True,personal_3,personal,gdp,cbo_category_lag_non_school_full,13.322597919257818,188.56938838936367,-0.0,12.211645593176987
inf,True,personal_3,personal,cash,cbo_category_lag_non_school_full,8.790627696466178,193.10135861215485,-0.0,12.182116978997223
inf,True,personal_4,personal,gdp,school_response_only,13.322597919257818,235.6459164859229,-0.0,12.046763619829104
inf,True,personal_4,personal,cash,school_response_only,8.790627696466178,240.17788670871408,-0.0,12.01682985269624
inf,True,personal_5,personal,gdp,cbo_category_lag_non_school_fixed,13.322597919257818,136.04006276275382,-0.0,12.15429708442651
inf,True,personal_5,personal,cash,cbo_category_lag_non_school_fixed,8.790627696466178,140.57203298554504,-0.0,12.12462880310619
inf,True,personal_6,personal,gdp,cbo_category_lag_non_school_full,13.322597919257818,192.8521305673035,-0.0,12.217408669465218
inf,True,personal_6,personal,cash,cbo_category_lag_non_school_full,8.790627696466178,197.3841007900947,-0.0,12.187894017972809
inf,True,personal_7,personal,gdp,school_response_only,13.322597919257818,220.29935790234077,-0.0,12.026585979892083
inf,True,personal_7,personal,cash,school_response_only,8.790627696466178,224.83132812513196,-0.0,11.99660186587645
inf,True,personal_8,personal,gdp,cbo_category_lag_non_school_fixed,13.322597919257818,150.5957106809076,-0.0,12.16770807551082
inf,True,personal_8,personal,cash,cbo_category_lag_non_school_fixed,8.790627696466178,155.12768090369875,-0.0,12.13807257382591
inf,True,personal_9,personal,gdp,cbo_category_lag_non_school_full,13.322597919257818,177.50557198372138,-0.0,12.19751332101845
inf,True,personal_9,personal,cash,cbo_category_lag_non_school_full,8.790627696466178,182.03754220651257,-0.0,12.167950411348496
inf,True,personal_10,personal,gdp,school_response_only,13.322597919257818,225.47916627533263,-0.0,12.033158610873665
inf,True,personal_10,personal,cash,school_response_only,8.790627696466178,230.01113649812385,-0.0,12.003190915379815
inf,True,personal_11,personal,gdp,cbo_category_lag_non_school_fixed,13.322597919257818,155.77551905389947,-0.0,12.17294051571134
inf,True,personal_11,personal,cash,cbo_category_lag_non_school_fixed,8.790627696466178,160.30748927669066,-0.0,12.143317783689112
inf,True,personal_12,personal,gdp,cbo_category_lag_non_school_full,13.322597919257818,182.68538035671327,-0.0,12.2039938970457
inf,True,personal_12,personal,cash,cbo_category_lag_non_school_full,8.790627696466178,187.21735057950443,-0.0,12.174446724009359
inf,True,personal_13,personal,gdp,education_fixed_diagnostic,13.322597919257818,41.81973484807803,-0.0,12.11391469389606
inf,True,personal_13,personal,cash,education_fixed_diagnostic,8.790627696466178,46.35170507086923,-0.0,12.084147268533448
inf,True,personal_14,personal,gdp,education_full_diagnostic,13.322597919257818,241.38987525062137,-0.0,12.294050533326066
inf,True,personal_14,personal,cash,education_full_diagnostic,8.790627696466178,245.92184547341253,-0.0,12.264720319379014
inf,True,shared_0,shared,gdp,proportional_reference,13.322597919257818,269.8119124377106,-0.0,12.076217086743691
inf,True,shared_0,shared,cash,proportional_reference,8.790627696466178,274.3438826605018,-0.0,12.046356508205035
inf,True,shared_1,shared,gdp,school_response_only,13.322597919257818,218.6336263432168,-0.0,12.003543810636243
inf,True,shared_1,shared,cash,school_response_only,8.790627696466178,223.165596566008,-0.0,11.973501994424069
inf,True,shared_2,shared,gdp,cbo_category_lag_non_school_fixed,13.322597919257818,120.79407253233614,-0.0,12.150377746661283
inf,True,shared_2,shared,cash,cbo_category_lag_non_school_fixed,8.790627696466178,125.32604275512736,-0.0,12.120699871838056
inf,True,shared_3,shared,gdp,cbo_category_lag_non_school_full,13.322597919257818,175.8398404245974,-0.0,12.203197929530969
inf,True,shared_3,shared,cash,cbo_category_lag_non_school_full,8.790627696466178,180.3718106473886,-0.0,12.173648824568682
inf,True,shared_4,shared,gdp,school_response_only,13.322597919257818,222.7832171076352,-0.0,12.008624659280079
inf,True,shared_4,shared,cash,school_response_only,8.790627696466178,227.3151873304264,-0.0,11.978595585630359
inf,True,shared_5,shared,gdp,cbo_category_lag_non_school_fixed,13.322597919257818,124.94366329675456,-0.0,12.1534821937158
inf,True,shared_5,shared,cash,cbo_category_lag_non_school_fixed,8.790627696466178,129.47563351954574,-0.0,12.123811918269778
inf,True,shared_6,shared,gdp,cbo_category_lag_non_school_full,13.322597919257818,179.98943118901582,-0.0,12.208195685723377
inf,True,shared_6,shared,cash,cbo_category_lag_non_school_full,8.790627696466178,184.521401411807,-0.0,12.178658706833376
